faithfulness,naturalness,score
0.5831,0.4676,0.2726
0.7052,0.6421,0.4528
0.7161,0.6395,0.4580
0.5977,0.5982,0.3575
0.6765,0.5294,0.3582
0.6313,0.5640,0.3561
0.6530,0.6838,0.4465
0.6874,0.6797,0.4673
0.6534,0.6130,0.4005
0.6783,0.6391,0.4335
0.5397,0.4749,0.2563
0.7074,0.5913,0.4183
0.5460,0.5432,0.2966
0.6970,0.6694,0.4666
0.6546,0.5571,0.3647
0.6742,0.6504,0.4385
0.7402,0.6790,0.5026
0.6339,0.5915,0.3750
0.6598,0.5968,0.3938
0.6807,0.6208,0.4226
0.6740,0.6269,0.4225
0.6956,0.6251,0.4348
0.6749,0.6263,0.4227
0.6400,0.5495,0.3516
0.6789,0.5956,0.4043
0.4795,0.6360,0.3050
0.7251,0.6480,0.4699
0.5919,0.5439,0.3219
0.6160,0.5543,0.3414
0.7030,0.5787,0.4068
0.6341,0.6464,0.4099
0.6156,0.5374,0.3308
0.5377,0.5610,0.3016
0.6918,0.6690,0.4629
0.5703,0.5572,0.3177
0.5380,0.5672,0.3051
0.6406,0.5912,0.3787
0.6622,0.5754,0.3811
0.6821,0.6351,0.4332
0.6057,0.5476,0.3317
0.6654,0.6458,0.4297
0.7266,0.6662,0.4840
0.6494,0.6084,0.3951
0.5808,0.5686,0.3303
0.6376,0.6147,0.3920
0.6652,0.5946,0.3956
0.4467,0.5601,0.2502
0.6317,0.5726,0.3617
0.6703,0.6261,0.4197
0.6749,0.6345,0.4282
0.5295,0.5339,0.2827
0.5157,0.5456,0.2813
0.6308,0.5418,0.3418
0.6454,0.5754,0.3714
0.4963,0.4598,0.2282
0.6100,0.4879,0.2976
0.6825,0.6448,0.4400
0.6551,0.6037,0.3955
0.6809,0.6339,0.4316
0.6365,0.5678,0.3614
0.5948,0.5291,0.3147
0.7001,0.6592,0.4615
0.6080,0.5485,0.3335
0.6499,0.6613,0.4298
0.6268,0.5763,0.3612
0.6791,0.6399,0.4346
0.6496,0.5689,0.3696
0.5582,0.6271,0.3500
0.5999,0.6209,0.3725
0.5744,0.5790,0.3326
0.7085,0.6530,0.4627
0.7082,0.6352,0.4499
0.6619,0.5857,0.3877
0.5686,0.5436,0.3091
0.7183,0.6670,0.4791
0.5710,0.5684,0.3246
0.6904,0.6354,0.4386
0.6886,0.5873,0.4044
0.5515,0.4793,0.2643
0.6469,0.6463,0.4181
0.6775,0.6481,0.4391
0.6528,0.5346,0.3490
0.7065,0.6200,0.4380
0.6551,0.5491,0.3598
0.6895,0.6281,0.4331
0.6881,0.6558,0.4512
0.5657,0.6042,0.3418
0.5371,0.6453,0.3466
0.6816,0.5491,0.3743
0.7594,0.7326,0.5563
0.5758,0.4915,0.2830
0.6223,0.6574,0.4091
0.6963,0.6044,0.4208
0.5284,0.6092,0.3219
0.7076,0.6506,0.4604
0.6723,0.6363,0.4278
0.6519,0.5769,0.3761
0.6323,0.6687,0.4228
0.6524,0.5450,0.3556
0.6765,0.5693,0.3851
