faithfulness,naturalness,score
0.7508,0.5579,0.4188
0.7616,0.5355,0.4079
0.8059,0.5737,0.4624
0.6741,0.5216,0.3516
0.7374,0.4560,0.3362
0.6642,0.4366,0.2900
0.7633,0.4862,0.3711
0.7046,0.5020,0.3538
0.7638,0.5189,0.3963
0.7269,0.5287,0.3843
0.7781,0.5431,0.4225
0.7841,0.5505,0.4316
0.7474,0.5101,0.3813
0.7270,0.5072,0.3687
0.7815,0.5296,0.4139
0.7438,0.5006,0.3724
0.7319,0.4677,0.3423
0.6314,0.3417,0.2158
0.6384,0.4768,0.3044
0.7780,0.5336,0.4151
0.6937,0.4870,0.3378
0.7852,0.5845,0.4590
0.7394,0.4802,0.3550
0.7781,0.5685,0.4423
0.6708,0.3791,0.2543
0.7283,0.4350,0.3168
0.4961,0.3668,0.1820
0.7348,0.4805,0.3530
0.6937,0.4141,0.2873
0.6324,0.4497,0.2844
0.6776,0.4832,0.3275
0.6678,0.3810,0.2544
0.7048,0.4714,0.3322
0.7723,0.5336,0.4121
0.7757,0.5170,0.4011
0.7125,0.4757,0.3390
0.7408,0.4884,0.3618
0.7783,0.5584,0.4346
0.7446,0.5255,0.3913
0.6832,0.3959,0.2705
0.7653,0.4982,0.3813
0.7609,0.4650,0.3539
0.7249,0.5927,0.4297
0.7236,0.4532,0.3279
0.7538,0.4630,0.3490
0.7143,0.4459,0.3185
0.7675,0.5253,0.4031
0.7725,0.5718,0.4417
0.7199,0.4594,0.3307
0.7558,0.4564,0.3449
0.7612,0.4737,0.3606
0.7765,0.5377,0.4175
0.7250,0.4947,0.3587
0.7564,0.5286,0.3998
0.5933,0.3925,0.2329
0.7002,0.4648,0.3254
0.7729,0.4763,0.3681
0.7446,0.5287,0.3936
0.7066,0.4659,0.3292
0.7409,0.5382,0.3988
0.7482,0.5302,0.3967
0.6996,0.5159,0.3610
0.7348,0.4732,0.3477
0.6995,0.4880,0.3413
0.6868,0.4334,0.2977
0.7594,0.5003,0.3800
0.7400,0.4653,0.3443
0.7164,0.4601,0.3296
0.7210,0.4512,0.3253
0.6744,0.4604,0.3105
0.7338,0.4688,0.3440
0.7062,0.5228,0.3692
0.7223,0.4935,0.3565
0.7229,0.4985,0.3603
0.7311,0.4613,0.3373
0.7661,0.5332,0.4085
0.7607,0.5175,0.3937
0.7106,0.4761,0.3383
0.7372,0.4386,0.3233
0.7131,0.4933,0.3518
0.7270,0.5265,0.3828
0.7599,0.4944,0.3757
0.7420,0.4556,0.3380
0.7252,0.4993,0.3621
0.7177,0.4541,0.3259
0.7632,0.4867,0.3714
0.7546,0.4887,0.3687
0.7971,0.5513,0.4394
0.7245,0.5551,0.4022
0.7264,0.5537,0.4022
0.7996,0.5626,0.4498
0.7348,0.4638,0.3408
0.7280,0.4766,0.3469
0.7444,0.4975,0.3703
0.6927,0.5247,0.3635
0.7580,0.5787,0.4387
0.7781,0.5787,0.4503
0.7300,0.5066,0.3699
0.7187,0.4861,0.3494
0.7876,0.5493,0.4326
