faithfulness,naturalness,score
0.4723,0.5475,0.2586
0.5047,0.5626,0.2839
0.5193,0.5711,0.2966
0.3953,0.5559,0.2198
0.4691,0.5349,0.2509
0.4616,0.4786,0.2209
0.4402,0.5703,0.2511
0.5245,0.4931,0.2586
0.4188,0.5833,0.2443
0.4156,0.5413,0.2249
0.4687,0.5374,0.2518
0.4856,0.5452,0.2647
0.5121,0.5651,0.2894
0.5415,0.5621,0.3044
0.5660,0.5946,0.3365
0.4318,0.5202,0.2246
0.5333,0.5942,0.3169
0.5426,0.5790,0.3142
0.5227,0.5328,0.2785
0.4245,0.5632,0.2390
0.4148,0.4996,0.2072
0.5061,0.5620,0.2844
0.4404,0.5553,0.2446
0.4109,0.5741,0.2359
0.4891,0.5244,0.2565
0.5434,0.5351,0.2907
0.5605,0.5995,0.3360
0.4822,0.5501,0.2653
0.4828,0.5626,0.2716
0.4548,0.5392,0.2452
0.4695,0.5956,0.2797
0.4637,0.5426,0.2516
0.4745,0.5537,0.2627
0.4121,0.5215,0.2149
0.4137,0.5478,0.2266
0.5112,0.5465,0.2793
0.4463,0.4678,0.2088
0.4816,0.5176,0.2493
0.5612,0.5960,0.3345
0.3872,0.4813,0.1864
0.4693,0.4383,0.2057
0.4092,0.5379,0.2201
0.4687,0.5638,0.2642
0.5035,0.5394,0.2716
0.4855,0.5383,0.2614
0.4891,0.6292,0.3077
0.4854,0.5312,0.2578
0.5431,0.6715,0.3647
0.4656,0.5790,0.2696
0.4894,0.5594,0.2738
0.4541,0.5516,0.2505
0.5722,0.6548,0.3747
0.5425,0.4832,0.2621
0.4530,0.6119,0.2772
0.3945,0.5111,0.2016
0.4190,0.5366,0.2248
0.4313,0.4668,0.2013
0.4677,0.5564,0.2602
0.4289,0.5722,0.2454
0.4551,0.5498,0.2502
0.4450,0.4672,0.2079
0.5242,0.4567,0.2394
0.4746,0.6028,0.2861
0.3739,0.5193,0.1942
0.4275,0.5100,0.2180
0.5187,0.4939,0.2562
0.4203,0.6182,0.2599
0.4294,0.5342,0.2294
0.4944,0.5193,0.2568
0.5543,0.6623,0.3671
0.5315,0.5550,0.2950
0.4277,0.5516,0.2359
0.4504,0.5112,0.2302
0.4809,0.5572,0.2680
0.4493,0.5447,0.2447
0.4021,0.5284,0.2125
0.4799,0.6038,0.2898
0.4035,0.5220,0.2106
0.5909,0.5687,0.3361
0.4707,0.5149,0.2424
0.4777,0.4909,0.2345
0.4287,0.4887,0.2095
0.4055,0.4945,0.2005
0.4808,0.5731,0.2755
0.4446,0.5377,0.2391
0.4582,0.5072,0.2324
0.4878,0.5606,0.2735
0.4758,0.6068,0.2887
0.4847,0.4429,0.2147
0.5993,0.6115,0.3665
0.4246,0.5107,0.2169
0.5765,0.5687,0.3278
0.5828,0.6422,0.3743
0.4536,0.4980,0.2259
0.5732,0.5433,0.3114
0.5232,0.5441,0.2847
0.4940,0.5459,0.2697
0.3668,0.5242,0.1923
0.3837,0.4854,0.1862
0.4978,0.5604,0.2789
