faithfulness,naturalness,score
0.3287,0.4716,0.1550
0.3065,0.3964,0.1215
0.4622,0.4425,0.2045
0.3045,0.4849,0.1477
0.3394,0.4849,0.1646
0.3550,0.4964,0.1762
0.3933,0.4980,0.1959
0.4185,0.4718,0.1974
0.3808,0.4988,0.1899
0.2972,0.4295,0.1276
0.3256,0.4573,0.1489
0.3274,0.4571,0.1496
0.3700,0.4935,0.1826
0.3220,0.4387,0.1412
0.2948,0.4782,0.1410
0.3594,0.5181,0.1862
0.3046,0.4221,0.1286
0.3442,0.5295,0.1822
0.2890,0.4407,0.1274
0.4334,0.4143,0.1796
0.2905,0.4746,0.1379
0.2986,0.4508,0.1346
0.3312,0.5110,0.1693
0.3542,0.4234,0.1500
0.2901,0.4259,0.1235
0.3325,0.4752,0.1580
0.3427,0.4928,0.1689
0.3327,0.4495,0.1495
0.3491,0.4563,0.1593
0.2905,0.4018,0.1167
0.2520,0.4511,0.1137
0.3003,0.4529,0.1360
0.3269,0.4377,0.1431
0.2797,0.4534,0.1268
0.3098,0.5070,0.1570
0.3116,0.4587,0.1429
0.2648,0.4489,0.1189
0.3243,0.4044,0.1311
0.3736,0.4793,0.1791
0.3047,0.4987,0.1520
0.2882,0.5342,0.1540
0.3154,0.4164,0.1313
0.3098,0.4270,0.1323
0.2370,0.4216,0.0999
0.5329,0.4234,0.2256
0.3054,0.4802,0.1467
0.2899,0.4044,0.1173
0.2751,0.4494,0.1236
0.2832,0.4321,0.1224
0.2557,0.4386,0.1121
0.2963,0.4623,0.1370
0.2691,0.4164,0.1121
0.3151,0.4678,0.1474
0.4189,0.4562,0.1911
0.3016,0.4483,0.1352
0.3622,0.4271,0.1547
0.3150,0.3756,0.1183
0.3617,0.4639,0.1678
0.3430,0.4626,0.1587
0.3628,0.5430,0.1970
0.4387,0.4436,0.1946
0.3070,0.4391,0.1348
0.3461,0.5416,0.1874
0.3241,0.4944,0.1602
0.3102,0.4735,0.1469
0.3037,0.4821,0.1464
0.3622,0.4618,0.1673
0.3426,0.4835,0.1657
0.3093,0.4868,0.1506
0.2743,0.4237,0.1162
0.2768,0.4443,0.1230
0.3181,0.4578,0.1456
0.2552,0.4248,0.1084
0.2871,0.4388,0.1260
0.3272,0.4578,0.1498
0.3134,0.4357,0.1365
0.2883,0.4136,0.1193
0.2618,0.4406,0.1154
0.3180,0.5328,0.1694
0.4192,0.4280,0.1794
0.3449,0.5116,0.1765
0.3479,0.4416,0.1536
0.2453,0.4490,0.1101
0.3332,0.4407,0.1468
0.2645,0.4310,0.1140
0.2491,0.4177,0.1041
0.3323,0.5055,0.1680
0.2904,0.4502,0.1308
0.3016,0.5249,0.1583
0.3051,0.4587,0.1399
0.4503,0.5251,0.2364
0.3699,0.3819,0.1413
0.3229,0.4538,0.1465
0.3257,0.4311,0.1404
0.2747,0.4935,0.1356
0.2546,0.3967,0.1010
0.3368,0.4578,0.1542
0.2833,0.4618,0.1309
0.2907,0.4753,0.1382
0.3708,0.5078,0.1883
