faithfulness,naturalness,score
0.5343,0.4012,0.2143
0.4033,0.5973,0.2409
0.6594,0.5490,0.3620
0.4415,0.5661,0.2499
0.4667,0.5147,0.2402
0.3705,0.4288,0.1589
0.4376,0.4693,0.2054
0.4411,0.4996,0.2204
0.4828,0.4416,0.2132
0.5858,0.4577,0.2681
0.5037,0.4301,0.2166
0.5741,0.4512,0.2590
0.4871,0.4647,0.2264
0.4417,0.5451,0.2408
0.5529,0.4423,0.2445
0.4449,0.4544,0.2021
0.4898,0.3785,0.1854
0.4567,0.4513,0.2061
0.3966,0.4281,0.1698
0.6658,0.4427,0.2947
0.4579,0.4656,0.2132
0.6719,0.5140,0.3454
0.4195,0.5148,0.2159
0.4065,0.5302,0.2155
0.4951,0.5183,0.2566
0.4339,0.4854,0.2106
0.4568,0.5642,0.2577
0.5394,0.4154,0.2240
0.4677,0.5514,0.2579
0.4322,0.5869,0.2537
0.4124,0.5488,0.2263
0.4505,0.4148,0.1869
0.4187,0.5057,0.2117
0.4312,0.4071,0.1755
0.4232,0.3929,0.1663
0.5212,0.4176,0.2176
0.4689,0.4934,0.2314
0.4234,0.4483,0.1898
0.4949,0.5083,0.2516
0.4013,0.5558,0.2231
0.4600,0.4195,0.1930
0.4035,0.5203,0.2100
0.5005,0.4601,0.2303
0.4084,0.4925,0.2012
0.4917,0.5978,0.2939
0.6897,0.5336,0.3681
0.4237,0.5445,0.2307
0.4654,0.4385,0.2041
0.5489,0.3614,0.1984
0.3964,0.4293,0.1702
0.3739,0.5666,0.2119
0.5082,0.4465,0.2269
0.4370,0.3560,0.1556
0.5395,0.4303,0.2322
0.4208,0.5194,0.2186
0.3686,0.4928,0.1817
0.4232,0.3638,0.1540
0.5667,0.4036,0.2287
0.3618,0.4532,0.1640
0.4446,0.4643,0.2064
0.4789,0.5031,0.2409
0.4735,0.5260,0.2491
0.4046,0.5269,0.2132
0.6167,0.5202,0.3208
0.4731,0.5232,0.2476
0.4391,0.5736,0.2519
0.5943,0.5049,0.3001
0.4277,0.4941,0.2113
0.3754,0.5424,0.2036
0.4260,0.6296,0.2682
0.4240,0.5029,0.2132
0.4681,0.3737,0.1749
0.3808,0.4744,0.1806
0.3724,0.4575,0.1704
0.4302,0.5313,0.2286
0.4873,0.4948,0.2411
0.4371,0.4664,0.2039
0.5191,0.3512,0.1823
0.6776,0.5537,0.3751
0.4521,0.5197,0.2350
0.4240,0.5033,0.2134
0.3790,0.4206,0.1594
0.6228,0.4253,0.2648
0.4006,0.4624,0.1853
0.4064,0.4379,0.1780
0.3147,0.4174,0.1313
0.4539,0.5369,0.2437
0.4520,0.5502,0.2487
0.5058,0.3934,0.1990
0.4656,0.5370,0.2501
0.4026,0.5099,0.2053
0.5292,0.4285,0.2268
0.4496,0.4883,0.2195
0.4330,0.5062,0.2192
0.5127,0.4295,0.2202
0.4053,0.5803,0.2352
0.4079,0.4515,0.1842
0.3972,0.5478,0.2176
0.5421,0.3775,0.2047
0.4670,0.5522,0.2579
