faithfulness,naturalness,score
0.6906,0.5684,0.3926
0.6550,0.5396,0.3534
0.6649,0.5334,0.3546
0.6048,0.4948,0.2992
0.6312,0.5247,0.3312
0.6200,0.4672,0.2897
0.6885,0.5861,0.4035
0.7019,0.6017,0.4223
0.6420,0.5678,0.3646
0.7218,0.6299,0.4546
0.6489,0.5352,0.3473
0.7211,0.6298,0.4542
0.5659,0.4937,0.2794
0.7019,0.5384,0.3779
0.6834,0.6060,0.4141
0.6562,0.5640,0.3701
0.6678,0.4902,0.3273
0.5944,0.4893,0.2908
0.6724,0.5100,0.3429
0.5542,0.5063,0.2806
0.6479,0.6015,0.3897
0.6911,0.5570,0.3849
0.6524,0.5876,0.3833
0.6982,0.5915,0.4130
0.6939,0.5827,0.4043
0.7306,0.6039,0.4412
0.6703,0.4372,0.2931
0.6016,0.4471,0.2690
0.5972,0.5439,0.3248
0.5904,0.5138,0.3033
0.6299,0.5208,0.3280
0.6151,0.4549,0.2798
0.6755,0.5205,0.3516
0.6832,0.4997,0.3414
0.6791,0.6333,0.4301
0.6698,0.5442,0.3645
0.6372,0.5194,0.3309
0.5959,0.5032,0.2999
0.6621,0.4848,0.3210
0.6571,0.5465,0.3591
0.6980,0.5803,0.4051
0.6818,0.5676,0.3870
0.6549,0.6046,0.3960
0.6038,0.5096,0.3077
0.5410,0.4597,0.2487
0.6375,0.5213,0.3323
0.6956,0.5478,0.3810
0.6578,0.6120,0.4026
0.6576,0.5589,0.3675
0.7324,0.5200,0.3808
0.6343,0.4104,0.2603
0.6784,0.5191,0.3521
0.6372,0.4447,0.2834
0.6990,0.5881,0.4111
0.6899,0.5555,0.3832
0.6804,0.5567,0.3788
0.7084,0.6261,0.4436
0.6207,0.5053,0.3136
0.6522,0.6260,0.4083
0.7252,0.6108,0.4430
0.6790,0.6143,0.4171
0.6862,0.5538,0.3800
0.6427,0.5200,0.3342
0.6474,0.5471,0.3542
0.6556,0.6000,0.3934
0.6411,0.4726,0.3030
0.7285,0.5890,0.4291
0.6989,0.6493,0.4538
0.5715,0.5067,0.2896
0.5811,0.5415,0.3147
0.5465,0.5466,0.2987
0.6714,0.5488,0.3685
0.6961,0.4498,0.3131
0.7039,0.5536,0.3897
0.6734,0.5578,0.3756
0.6637,0.5695,0.3780
0.6602,0.6186,0.4084
0.6291,0.5777,0.3635
0.5707,0.5269,0.3007
0.6325,0.5644,0.3570
0.7171,0.5563,0.3989
0.6673,0.5461,0.3644
0.6622,0.5687,0.3766
0.6768,0.5523,0.3738
0.7266,0.6232,0.4528
0.6329,0.5908,0.3739
0.5743,0.4924,0.2828
0.6550,0.4244,0.2780
0.7545,0.6500,0.4904
0.7059,0.5769,0.4072
0.7814,0.6645,0.5192
0.6950,0.5641,0.3921
0.6369,0.5952,0.3791
0.6152,0.5167,0.3179
0.6445,0.5421,0.3494
0.6745,0.6248,0.4214
0.6570,0.5845,0.3840
0.5503,0.4447,0.2448
0.7122,0.6741,0.4801
0.6438,0.5705,0.3673
