faithfulness,naturalness,score
0.5749,0.5762,0.3312
0.5003,0.5705,0.2854
0.4915,0.5705,0.2804
0.4593,0.5015,0.2303
0.5326,0.6208,0.3307
0.4776,0.5088,0.2430
0.4195,0.5262,0.2208
0.5531,0.6084,0.3365
0.3948,0.5741,0.2266
0.4404,0.5707,0.2514
0.5767,0.4802,0.2769
0.5877,0.5585,0.3282
0.5308,0.6396,0.3395
0.4987,0.5543,0.2764
0.5016,0.5180,0.2598
0.5256,0.5452,0.2865
0.5317,0.5819,0.3094
0.4819,0.4980,0.2400
0.5995,0.6351,0.3808
0.5421,0.5768,0.3127
0.5516,0.5700,0.3144
0.4633,0.5410,0.2507
0.6322,0.5887,0.3722
0.5787,0.5162,0.2987
0.4818,0.5339,0.2572
0.4310,0.5496,0.2369
0.5945,0.7017,0.4172
0.4727,0.5906,0.2792
0.5227,0.6486,0.3390
0.4894,0.6162,0.3016
0.4764,0.5422,0.2583
0.3913,0.4457,0.1744
0.4158,0.6287,0.2614
0.5997,0.7157,0.4291
0.5069,0.4751,0.2408
0.4029,0.5977,0.2408
0.5073,0.4863,0.2467
0.4227,0.5519,0.2333
0.6587,0.5293,0.3486
0.4789,0.4800,0.2299
0.4626,0.5445,0.2519
0.5698,0.5799,0.3304
0.4815,0.5145,0.2477
0.4726,0.6002,0.2836
0.5129,0.5827,0.2989
0.5496,0.5051,0.2776
0.4696,0.5530,0.2597
0.4443,0.5420,0.2408
0.4663,0.5817,0.2712
0.5176,0.6430,0.3328
0.4542,0.4802,0.2181
0.4630,0.5775,0.2674
0.5307,0.5771,0.3063
0.4919,0.5932,0.2918
0.4131,0.6159,0.2545
0.5945,0.6361,0.3782
0.5283,0.4194,0.2216
0.4496,0.5260,0.2365
0.5507,0.4916,0.2707
0.5351,0.5589,0.2991
0.5209,0.6573,0.3424
0.4684,0.5500,0.2576
0.4069,0.6096,0.2480
0.5215,0.5688,0.2967
0.5086,0.5290,0.2690
0.4740,0.5995,0.2842
0.4940,0.5784,0.2857
0.5074,0.5155,0.2615
0.4742,0.6236,0.2957
0.5093,0.6302,0.3210
0.5561,0.4862,0.2703
0.5695,0.5200,0.2962
0.5439,0.5518,0.3001
0.5002,0.6230,0.3116
0.6488,0.6117,0.3969
0.6046,0.5720,0.3458
0.4461,0.5838,0.2605
0.4486,0.4884,0.2191
0.4654,0.5517,0.2567
0.3451,0.5141,0.1774
0.4686,0.5890,0.2760
0.4672,0.5894,0.2754
0.4372,0.5891,0.2576
0.5631,0.5736,0.3230
0.5290,0.4947,0.2617
0.4865,0.5201,0.2530
0.4916,0.5841,0.2871
0.4764,0.5958,0.2838
0.6213,0.6207,0.3857
0.5035,0.6318,0.3181
0.4427,0.5465,0.2419
0.6712,0.4935,0.3312
0.4340,0.5731,0.2487
0.6160,0.5600,0.3450
0.4584,0.4673,0.2142
0.5507,0.6670,0.3673
0.5298,0.4684,0.2481
0.4234,0.5661,0.2397
0.5252,0.6077,0.3192
0.5060,0.5768,0.2918
