faithfulness,naturalness,score
0.5558,0.5257,0.2922
0.6180,0.6440,0.3980
0.6730,0.6374,0.4290
0.7096,0.5957,0.4227
0.7074,0.6574,0.4650
0.4778,0.5415,0.2587
0.5004,0.5302,0.2653
0.5573,0.6384,0.3558
0.6805,0.5847,0.3979
0.6932,0.6272,0.4348
0.5864,0.6813,0.3995
0.4880,0.5294,0.2583
0.5852,0.6305,0.3690
0.4533,0.5759,0.2611
0.4190,0.5148,0.2157
0.5783,0.6343,0.3669
0.5466,0.5989,0.3274
0.6299,0.6240,0.3931
0.5155,0.5438,0.2803
0.5750,0.6269,0.3605
0.6886,0.6802,0.4684
0.4782,0.5468,0.2615
0.5859,0.5686,0.3332
0.5147,0.5374,0.2766
0.5700,0.5556,0.3167
0.5353,0.5507,0.2948
0.6254,0.6261,0.3915
0.6359,0.5737,0.3648
0.5506,0.5857,0.3225
0.5742,0.7282,0.4182
0.6083,0.7100,0.4319
0.6026,0.5840,0.3519
0.5652,0.5577,0.3152
0.6395,0.6562,0.4197
0.6070,0.6569,0.3987
0.4572,0.5321,0.2433
0.6912,0.5909,0.4084
0.6519,0.6296,0.4104
0.6464,0.6168,0.3987
0.6453,0.6712,0.4331
0.4987,0.6094,0.3039
0.5928,0.7089,0.4203
0.5528,0.6067,0.3354
0.5450,0.5972,0.3255
0.6441,0.6365,0.4099
0.6522,0.5954,0.3883
0.5725,0.5509,0.3154
0.5569,0.5227,0.2911
0.5736,0.6125,0.3513
0.7044,0.5695,0.4012
0.7556,0.6802,0.5140
0.5522,0.5659,0.3125
0.7199,0.6784,0.4884
0.5429,0.6249,0.3393
0.5659,0.6152,0.3481
0.5012,0.5672,0.2843
0.6695,0.6824,0.4568
0.5673,0.6271,0.3557
0.6651,0.6509,0.4330
0.6065,0.5830,0.3536
0.5830,0.5946,0.3466
0.5701,0.6090,0.3472
0.7044,0.7458,0.5253
0.4770,0.5685,0.2712
0.6352,0.5948,0.3778
0.5347,0.6110,0.3267
0.6109,0.6761,0.4131
0.5890,0.5695,0.3354
0.5609,0.5882,0.3299
0.6924,0.7165,0.4961
0.5404,0.6393,0.3455
0.5615,0.5641,0.3167
0.6555,0.5866,0.3845
0.5533,0.6579,0.3640
0.5835,0.6031,0.3519
0.6188,0.5940,0.3676
0.5908,0.5832,0.3445
0.5701,0.6058,0.3453
0.6243,0.6364,0.3973
0.5673,0.5811,0.3297
0.5293,0.5905,0.3126
0.4621,0.5620,0.2597
0.6137,0.5991,0.3677
0.5359,0.4899,0.2626
0.5324,0.5840,0.3109
0.4598,0.5383,0.2475
0.6906,0.6105,0.4216
0.6255,0.6358,0.3976
0.5440,0.5845,0.3180
0.4683,0.5468,0.2561
0.6459,0.6865,0.4434
0.5539,0.5275,0.2922
0.5947,0.6098,0.3627
0.5945,0.6151,0.3657
0.6157,0.5818,0.3582
0.5393,0.6066,0.3271
0.7103,0.6629,0.4709
0.6960,0.7346,0.5113
0.7730,0.6601,0.5102
0.5495,0.5357,0.2944
