faithfulness,naturalness,score
0.5860,0.4453,0.2609
0.4672,0.5097,0.2381
0.6537,0.5498,0.3594
0.5915,0.6804,0.4025
0.5387,0.5286,0.2848
0.5596,0.5619,0.3144
0.5494,0.5835,0.3206
0.4755,0.5673,0.2698
0.5922,0.6446,0.3817
0.5211,0.5622,0.2929
0.5266,0.5454,0.2872
0.4607,0.5882,0.2710
0.5757,0.5218,0.3004
0.5540,0.5917,0.3278
0.5884,0.4989,0.2935
0.5327,0.5273,0.2809
0.5674,0.5816,0.3300
0.5504,0.5158,0.2839
0.6408,0.5447,0.3491
0.5909,0.5296,0.3129
0.5183,0.5729,0.2969
0.4826,0.5733,0.2767
0.5865,0.5193,0.3045
0.5686,0.5534,0.3147
0.5615,0.5605,0.3147
0.5465,0.5941,0.3247
0.5526,0.5883,0.3251
0.5289,0.6259,0.3310
0.4964,0.4814,0.2390
0.5909,0.4381,0.2589
0.5659,0.6523,0.3692
0.5069,0.6068,0.3076
0.5430,0.6094,0.3309
0.5471,0.5353,0.2929
0.5639,0.5617,0.3167
0.5524,0.5989,0.3308
0.5836,0.6207,0.3623
0.5280,0.5416,0.2860
0.5672,0.6080,0.3449
0.5063,0.5154,0.2610
0.5620,0.6290,0.3535
0.5458,0.5524,0.3015
0.5311,0.5195,0.2759
0.5386,0.5929,0.3193
0.6236,0.5630,0.3511
0.4191,0.5837,0.2447
0.5785,0.5799,0.3355
0.5634,0.5218,0.2940
0.5625,0.5731,0.3224
0.4564,0.5656,0.2581
0.5402,0.5521,0.2983
0.5106,0.6146,0.3138
0.5656,0.4890,0.2766
0.5501,0.5977,0.3288
0.5447,0.5136,0.2797
0.4928,0.5302,0.2613
0.5807,0.5286,0.3070
0.5314,0.4606,0.2448
0.5589,0.5936,0.3318
0.5011,0.5331,0.2671
0.5710,0.5178,0.2956
0.5607,0.6728,0.3772
0.4786,0.5247,0.2511
0.5495,0.6416,0.3525
0.6423,0.4864,0.3124
0.4847,0.5887,0.2854
0.5650,0.5482,0.3097
0.5299,0.5111,0.2709
0.6083,0.5047,0.3070
0.4853,0.5716,0.2774
0.5802,0.5853,0.3396
0.5792,0.4798,0.2779
0.5312,0.5409,0.2873
0.6214,0.6138,0.3814
0.5209,0.4784,0.2492
0.5913,0.5332,0.3153
0.6171,0.5891,0.3636
0.5608,0.6140,0.3443
0.5143,0.5666,0.2914
0.5663,0.5496,0.3112
0.6656,0.6069,0.4040
0.5286,0.4982,0.2634
0.6079,0.5844,0.3552
0.6016,0.4930,0.2966
0.5110,0.4894,0.2501
0.5879,0.5979,0.3515
0.5698,0.5165,0.2943
0.5764,0.5481,0.3159
0.4600,0.5215,0.2399
0.6042,0.5299,0.3201
0.5985,0.5137,0.3075
0.3942,0.5859,0.2310
0.5923,0.6477,0.3836
0.4929,0.5543,0.2732
0.5815,0.5592,0.3252
0.4972,0.5755,0.2861
0.5560,0.5740,0.3192
0.4989,0.6197,0.3092
0.6370,0.5707,0.3636
0.5469,0.5530,0.3024
