faithfulness,naturalness,score
0.4610,0.4728,0.2180
0.5200,0.3983,0.2071
0.4848,0.4843,0.2348
0.5245,0.3787,0.1986
0.4387,0.4929,0.2163
0.4217,0.4410,0.1860
0.5303,0.4441,0.2355
0.4522,0.3617,0.1635
0.4707,0.5314,0.2501
0.4733,0.4963,0.2349
0.5248,0.3916,0.2055
0.5790,0.4359,0.2524
0.5240,0.3905,0.2046
0.5394,0.4275,0.2306
0.4345,0.4635,0.2014
0.5735,0.4108,0.2356
0.4971,0.4279,0.2127
0.5380,0.4106,0.2209
0.4823,0.3400,0.1640
0.5133,0.4338,0.2227
0.4889,0.2730,0.1334
0.3827,0.3045,0.1165
0.4408,0.4341,0.1913
0.4837,0.3330,0.1611
0.4589,0.4079,0.1872
0.3631,0.4099,0.1488
0.4723,0.3791,0.1791
0.3926,0.3540,0.1390
0.4604,0.3892,0.1792
0.4462,0.3407,0.1520
0.4253,0.4365,0.1857
0.3152,0.3754,0.1183
0.4726,0.3424,0.1618
0.5722,0.4691,0.2684
0.4582,0.3597,0.1648
0.4545,0.3253,0.1478
0.4789,0.3256,0.1559
0.4913,0.3368,0.1655
0.4943,0.3854,0.1905
0.5846,0.4132,0.2416
0.4464,0.4305,0.1922
0.5164,0.4142,0.2139
0.4690,0.5060,0.2373
0.5915,0.4351,0.2573
0.5249,0.3475,0.1824
0.5597,0.5142,0.2878
0.5434,0.3744,0.2035
0.5010,0.4720,0.2365
0.4721,0.4446,0.2099
0.5454,0.3626,0.1978
0.4876,0.3167,0.1544
0.5433,0.3936,0.2138
0.5537,0.4017,0.2224
0.4747,0.4946,0.2348
0.4564,0.4227,0.1929
0.5226,0.3637,0.1901
0.4134,0.3998,0.1653
0.5933,0.4637,0.2751
0.4174,0.4513,0.1884
0.4049,0.3938,0.1595
0.5858,0.4968,0.2910
0.5382,0.3551,0.1911
0.6104,0.3824,0.2335
0.4211,0.5381,0.2266
0.5302,0.3542,0.1878
0.4843,0.3253,0.1575
0.4646,0.4742,0.2203
0.4044,0.4451,0.1800
0.4289,0.3805,0.1632
0.4828,0.3474,0.1677
0.4378,0.4180,0.1830
0.4537,0.4028,0.1828
0.4838,0.3074,0.1487
0.5184,0.4289,0.2224
0.4614,0.2639,0.1218
0.3371,0.4085,0.1377
0.4799,0.3594,0.1725
0.5271,0.3321,0.1750
0.5611,0.4499,0.2524
0.5054,0.4485,0.2267
0.4333,0.3988,0.1728
0.4203,0.5289,0.2223
0.4176,0.4371,0.1825
0.5927,0.4337,0.2571
0.4408,0.4093,0.1804
0.5169,0.3398,0.1756
0.4482,0.4730,0.2120
0.4176,0.3796,0.1585
0.4296,0.4411,0.1895
0.5214,0.4132,0.2155
0.4193,0.5125,0.2149
0.6595,0.4181,0.2757
0.4430,0.3109,0.1377
0.5694,0.4226,0.2406
0.4870,0.3771,0.1836
0.4595,0.3778,0.1736
0.4815,0.3516,0.1693
0.4570,0.3157,0.1443
0.3901,0.3721,0.1451
0.5439,0.4316,0.2348
