faithfulness,naturalness,score
0.5797,0.4040,0.2342
0.4786,0.5157,0.2468
0.5858,0.5851,0.3427
0.5155,0.6088,0.3138
0.4043,0.5703,0.2306
0.3900,0.5082,0.1982
0.4948,0.5877,0.2908
0.4631,0.5005,0.2318
0.4452,0.4929,0.2194
0.6096,0.5929,0.3614
0.4858,0.5185,0.2519
0.5175,0.5238,0.2710
0.4205,0.5924,0.2491
0.3575,0.5007,0.1790
0.5172,0.5203,0.2691
0.6476,0.4953,0.3208
0.5397,0.4743,0.2560
0.6151,0.5181,0.3187
0.5858,0.5401,0.3164
0.5441,0.5369,0.2921
0.5861,0.4909,0.2877
0.4793,0.5477,0.2625
0.3863,0.4224,0.1632
0.5133,0.5828,0.2992
0.3830,0.5044,0.1932
0.4483,0.5660,0.2537
0.4335,0.5531,0.2397
0.6208,0.6403,0.3975
0.5399,0.5932,0.3202
0.3872,0.5436,0.2105
0.4303,0.5044,0.2170
0.5639,0.6269,0.3535
0.5158,0.4802,0.2477
0.6113,0.5477,0.3348
0.4323,0.4013,0.1735
0.4576,0.5601,0.2563
0.4071,0.5107,0.2079
0.4401,0.5014,0.2207
0.4284,0.5634,0.2413
0.5609,0.5471,0.3068
0.4337,0.5591,0.2424
0.5626,0.5228,0.2941
0.4502,0.5132,0.2310
0.4708,0.5447,0.2565
0.4903,0.4968,0.2436
0.5102,0.4667,0.2381
0.5013,0.4254,0.2132
0.5567,0.5594,0.3114
0.4196,0.5359,0.2249
0.5648,0.5523,0.3120
0.5112,0.6358,0.3250
0.5959,0.5084,0.3029
0.4789,0.5434,0.2602
0.4548,0.6333,0.2880
0.4415,0.5847,0.2582
0.5482,0.4227,0.2317
0.4177,0.5652,0.2361
0.5512,0.5890,0.3246
0.5328,0.5163,0.2751
0.4707,0.5847,0.2753
0.5440,0.5240,0.2850
0.5331,0.4504,0.2401
0.3485,0.5413,0.1886
0.4028,0.5292,0.2131
0.5530,0.4987,0.2758
0.4650,0.5430,0.2525
0.3770,0.5566,0.2099
0.4013,0.4846,0.1944
0.5898,0.5528,0.3261
0.4261,0.5552,0.2366
0.5470,0.5649,0.3090
0.4250,0.6408,0.2723
0.4990,0.5516,0.2753
0.4113,0.4816,0.1980
0.5781,0.4368,0.2525
0.5185,0.6304,0.3268
0.4990,0.5888,0.2938
0.4984,0.4998,0.2491
0.5259,0.6111,0.3214
0.4835,0.5935,0.2870
0.5228,0.4870,0.2546
0.4002,0.5172,0.2070
0.4102,0.5232,0.2146
0.4846,0.4960,0.2404
0.4335,0.5898,0.2556
0.3745,0.5154,0.1930
0.5723,0.5123,0.2932
0.4852,0.6462,0.3135
0.5763,0.4859,0.2800
0.6087,0.5522,0.3361
0.4257,0.5520,0.2350
0.4673,0.4474,0.2091
0.4963,0.4441,0.2204
0.5787,0.5187,0.3001
0.4342,0.5678,0.2465
0.5048,0.5290,0.2670
0.4297,0.4624,0.1987
0.4281,0.5882,0.2518
0.5616,0.4711,0.2646
0.5704,0.6610,0.3771
