faithfulness,naturalness,score
0.7930,0.7008,0.5557
0.8136,0.7054,0.5740
0.8566,0.6181,0.5295
0.7829,0.6538,0.5119
0.8806,0.7602,0.6695
0.7938,0.6105,0.4847
0.8293,0.6914,0.5734
0.8353,0.7175,0.5994
0.8770,0.7034,0.6169
0.7728,0.6055,0.4679
0.8408,0.6601,0.5550
0.8468,0.6639,0.5622
0.8547,0.6779,0.5793
0.8028,0.5833,0.4683
0.8379,0.6738,0.5646
0.7939,0.6551,0.5201
0.8322,0.6827,0.5681
0.8066,0.6200,0.5001
0.8197,0.6791,0.5567
0.8146,0.6894,0.5616
0.8766,0.7683,0.6735
0.8552,0.7019,0.6002
0.8097,0.6141,0.4973
0.8557,0.6874,0.5882
0.8193,0.6238,0.5111
0.8287,0.7436,0.6162
0.8374,0.6211,0.5201
0.8376,0.6318,0.5292
0.8393,0.7335,0.6156
0.8496,0.6949,0.5904
0.8453,0.6691,0.5656
0.8889,0.6876,0.6112
0.7918,0.6551,0.5188
0.8958,0.6812,0.6102
0.7736,0.6575,0.5086
0.8255,0.6581,0.5433
0.8376,0.6530,0.5470
0.8037,0.6373,0.5122
0.8044,0.7047,0.5669
0.8296,0.6949,0.5765
0.8661,0.6578,0.5697
0.8123,0.7036,0.5715
0.8813,0.7469,0.6582
0.8336,0.6935,0.5781
0.8126,0.6481,0.5267
0.7695,0.5740,0.4417
0.8515,0.6863,0.5844
0.8003,0.5850,0.4681
0.7848,0.5884,0.4618
0.7686,0.5913,0.4545
0.8233,0.6524,0.5371
0.8236,0.6723,0.5537
0.8357,0.6650,0.5558
0.8142,0.6549,0.5333
0.8222,0.7041,0.5789
0.8183,0.6910,0.5655
0.8443,0.6856,0.5788
0.8231,0.7224,0.5946
0.8364,0.7101,0.5939
0.8240,0.6055,0.4990
0.8322,0.5833,0.4854
0.7431,0.5718,0.4249
0.8711,0.7253,0.6318
0.8486,0.6785,0.5758
0.8569,0.6443,0.5521
0.8575,0.7265,0.6230
0.7914,0.6510,0.5152
0.8305,0.6488,0.5388
0.7677,0.6022,0.4623
0.7953,0.5743,0.4568
0.8576,0.6767,0.5803
0.8965,0.7802,0.6995
0.8071,0.6289,0.5076
0.8029,0.6340,0.5090
0.8122,0.6868,0.5579
0.7616,0.6389,0.4866
0.7932,0.5865,0.4652
0.8216,0.6768,0.5561
0.8421,0.6722,0.5660
0.8728,0.7094,0.6191
0.8456,0.7074,0.5982
0.8340,0.6741,0.5622
0.7979,0.6344,0.5061
0.7936,0.6557,0.5204
0.8427,0.6397,0.5390
0.8344,0.6650,0.5549
0.8646,0.6645,0.5745
0.8575,0.6946,0.5956
0.7966,0.7254,0.5779
0.7715,0.5839,0.4505
0.8447,0.7395,0.6247
0.8001,0.7098,0.5679
0.7737,0.6372,0.4930
0.8377,0.7261,0.6083
0.7419,0.6281,0.4660
0.8304,0.6632,0.5507
0.7714,0.6294,0.4855
0.8673,0.7026,0.6093
0.8558,0.6979,0.5973
0.8745,0.7607,0.6652
