faithfulness,naturalness,score
0.7471,0.6177,0.4615
0.8259,0.6060,0.5005
0.7701,0.5042,0.3883
0.8866,0.7144,0.6334
0.8232,0.6524,0.5371
0.7554,0.5850,0.4420
0.8495,0.6974,0.5924
0.8583,0.6056,0.5198
0.8194,0.6743,0.5525
0.7977,0.6280,0.5009
0.8242,0.6079,0.5010
0.8423,0.5814,0.4897
0.7835,0.6290,0.4929
0.8276,0.6675,0.5525
0.8324,0.5939,0.4944
0.8723,0.7351,0.6412
0.8987,0.7047,0.6333
0.7465,0.6451,0.4816
0.8235,0.6198,0.5104
0.7323,0.5380,0.3940
0.8485,0.6309,0.5354
0.7978,0.6153,0.4909
0.8098,0.5902,0.4779
0.8360,0.6501,0.5435
0.7802,0.5470,0.4268
0.8030,0.6252,0.5020
0.7524,0.5798,0.4363
0.7758,0.5387,0.4179
0.8446,0.6344,0.5358
0.7328,0.5962,0.4369
0.7860,0.6171,0.4851
0.8056,0.6398,0.5155
0.8493,0.6750,0.5733
0.7159,0.5496,0.3934
0.8388,0.6081,0.5101
0.8671,0.6349,0.5505
0.8027,0.6297,0.5055
0.7683,0.5735,0.4406
0.8320,0.6472,0.5385
0.7816,0.5921,0.4627
0.8300,0.6665,0.5532
0.7315,0.5504,0.4027
0.7279,0.4976,0.3622
0.8328,0.6619,0.5513
0.7908,0.6140,0.4856
0.8642,0.6879,0.5944
0.7359,0.5460,0.4018
0.8170,0.6565,0.5364
0.8155,0.6323,0.5156
0.8338,0.7163,0.5973
0.7971,0.5719,0.4559
0.7686,0.6338,0.4871
0.7799,0.6180,0.4820
0.8994,0.6611,0.5946
0.8889,0.6851,0.6090
0.8641,0.6127,0.5294
0.7935,0.6046,0.4798
0.7782,0.5709,0.4442
0.8383,0.6626,0.5555
0.8022,0.6763,0.5425
0.7894,0.5632,0.4446
0.8156,0.6527,0.5323
0.8784,0.6719,0.5902
0.8223,0.6124,0.5036
0.7726,0.5810,0.4489
0.8359,0.7152,0.5978
0.8519,0.6472,0.5514
0.7876,0.6361,0.5010
0.7729,0.5667,0.4380
0.8331,0.6945,0.5785
0.8011,0.6244,0.5002
0.8485,0.6735,0.5715
0.8276,0.5632,0.4661
0.8361,0.6109,0.5108
0.7780,0.5866,0.4564
0.8273,0.5645,0.4670
0.8103,0.6155,0.4988
0.8543,0.6054,0.5172
0.8686,0.6571,0.5708
0.8365,0.6512,0.5447
0.8527,0.6190,0.5278
0.8100,0.6662,0.5396
0.8356,0.6324,0.5285
0.8581,0.6375,0.5471
0.8326,0.6318,0.5261
0.7842,0.5754,0.4512
0.7799,0.6017,0.4692
0.8342,0.6703,0.5592
0.7673,0.5456,0.4187
0.8255,0.5790,0.4780
0.7742,0.5383,0.4168
0.8297,0.6096,0.5058
0.8448,0.6588,0.5566
0.8018,0.5732,0.4596
0.7198,0.5563,0.4004
0.7993,0.6208,0.4962
0.7906,0.6136,0.4851
0.7913,0.6365,0.5036
0.7755,0.6464,0.5012
0.8375,0.5981,0.5009
