faithfulness,naturalness,score
0.4480,0.5015,0.2247
0.3656,0.4325,0.1581
0.4983,0.4370,0.2178
0.4173,0.4355,0.1818
0.4316,0.4718,0.2036
0.4407,0.4384,0.1932
0.3917,0.4111,0.1610
0.5086,0.4595,0.2337
0.4166,0.4877,0.2032
0.4871,0.5547,0.2702
0.6009,0.4445,0.2671
0.5720,0.5298,0.3030
0.4436,0.4928,0.2186
0.4289,0.4957,0.2126
0.5144,0.4408,0.2268
0.5466,0.5197,0.2841
0.4551,0.5076,0.2310
0.5005,0.5179,0.2592
0.4066,0.4209,0.1711
0.5090,0.3855,0.1962
0.3914,0.4615,0.1807
0.4970,0.5140,0.2555
0.5599,0.5145,0.2881
0.5933,0.4725,0.2803
0.4921,0.4131,0.2033
0.4938,0.5206,0.2571
0.5056,0.5434,0.2748
0.4543,0.4429,0.2012
0.5011,0.5308,0.2660
0.4182,0.4805,0.2010
0.4213,0.4317,0.1819
0.4657,0.4783,0.2227
0.4691,0.3915,0.1837
0.4570,0.4011,0.1833
0.4431,0.4305,0.1907
0.5088,0.5149,0.2620
0.4496,0.5370,0.2415
0.4868,0.4799,0.2336
0.4551,0.5078,0.2311
0.4076,0.5092,0.2076
0.4830,0.5260,0.2541
0.4145,0.5184,0.2149
0.5646,0.4993,0.2819
0.4192,0.4538,0.1902
0.4539,0.5352,0.2429
0.5005,0.4929,0.2467
0.3946,0.4429,0.1748
0.4408,0.3964,0.1747
0.4139,0.4568,0.1891
0.3836,0.4198,0.1610
0.5086,0.5174,0.2632
0.4029,0.5207,0.2098
0.5638,0.4938,0.2784
0.6410,0.4181,0.2680
0.5112,0.3786,0.1936
0.4259,0.3899,0.1660
0.6544,0.5477,0.3584
0.5241,0.4649,0.2436
0.4555,0.4338,0.1976
0.4766,0.4958,0.2363
0.4128,0.4553,0.1879
0.5254,0.4765,0.2504
0.4953,0.4787,0.2371
0.4250,0.4551,0.1934
0.4214,0.4765,0.2008
0.5201,0.4771,0.2481
0.4259,0.4700,0.2002
0.4924,0.5148,0.2535
0.4578,0.5195,0.2378
0.4427,0.5297,0.2345
0.3965,0.4795,0.1901
0.4138,0.4448,0.1840
0.4606,0.3802,0.1752
0.5171,0.4373,0.2261
0.4435,0.4820,0.2138
0.4848,0.4710,0.2283
0.5356,0.4622,0.2476
0.4799,0.2946,0.1414
0.4328,0.5663,0.2451
0.4260,0.4431,0.1888
0.4565,0.5220,0.2383
0.4912,0.4625,0.2272
0.4787,0.4537,0.2172
0.3913,0.5193,0.2032
0.4795,0.4355,0.2088
0.5802,0.4891,0.2838
0.4770,0.5294,0.2525
0.5332,0.4418,0.2356
0.5441,0.5276,0.2871
0.5482,0.4796,0.2629
0.4528,0.4874,0.2207
0.4409,0.5257,0.2318
0.5105,0.4341,0.2216
0.3659,0.4256,0.1558
0.4770,0.4544,0.2168
0.5290,0.4884,0.2583
0.4817,0.4852,0.2337
0.3817,0.3697,0.1411
0.5218,0.3997,0.2086
0.3764,0.4315,0.1624
