faithfulness,naturalness,score
0.3942,0.4410,0.1738
0.3833,0.5360,0.2055
0.4370,0.4765,0.2082
0.5216,0.5975,0.3116
0.6505,0.5716,0.3718
0.5261,0.5108,0.2687
0.4184,0.5015,0.2098
0.4798,0.4495,0.2157
0.4515,0.5088,0.2298
0.4966,0.4500,0.2235
0.3679,0.4424,0.1628
0.4881,0.5858,0.2859
0.4292,0.4803,0.2062
0.5259,0.5414,0.2847
0.4992,0.5105,0.2549
0.5009,0.5579,0.2794
0.5753,0.5120,0.2946
0.5305,0.5929,0.3145
0.3902,0.4729,0.1845
0.5031,0.5019,0.2525
0.3871,0.5215,0.2018
0.4459,0.5401,0.2408
0.4745,0.5462,0.2591
0.4517,0.4662,0.2106
0.3368,0.4100,0.1381
0.4971,0.5062,0.2516
0.5086,0.5283,0.2687
0.3851,0.4618,0.1779
0.3987,0.4872,0.1943
0.6393,0.6548,0.4186
0.5159,0.5857,0.3022
0.4333,0.4556,0.1974
0.5580,0.5893,0.3288
0.4822,0.4398,0.2120
0.4040,0.4972,0.2009
0.4066,0.5342,0.2172
0.4160,0.4582,0.1906
0.4657,0.5267,0.2453
0.4643,0.4271,0.1983
0.5064,0.5667,0.2870
0.4611,0.6317,0.2913
0.4847,0.4415,0.2140
0.3765,0.4941,0.1860
0.5159,0.5308,0.2738
0.4786,0.4535,0.2170
0.5464,0.3652,0.1995
0.3558,0.4271,0.1519
0.4310,0.4574,0.1971
0.4506,0.4574,0.2061
0.4732,0.4652,0.2201
0.6011,0.5851,0.3517
0.5303,0.5589,0.2964
0.3254,0.4036,0.1313
0.4682,0.5839,0.2734
0.4091,0.5297,0.2167
0.4784,0.4003,0.1915
0.4888,0.4929,0.2409
0.4543,0.4745,0.2156
0.4471,0.5005,0.2238
0.4190,0.4977,0.2085
0.4227,0.4318,0.1825
0.4504,0.3539,0.1594
0.4452,0.3703,0.1649
0.4965,0.4478,0.2224
0.4669,0.4485,0.2094
0.5188,0.4576,0.2374
0.4081,0.5926,0.2418
0.6183,0.5160,0.3190
0.4303,0.5371,0.2311
0.4018,0.5137,0.2064
0.5422,0.5563,0.3016
0.4507,0.5129,0.2312
0.5666,0.4548,0.2577
0.4954,0.5074,0.2513
0.4125,0.5346,0.2205
0.4334,0.4480,0.1942
0.5135,0.4922,0.2527
0.4509,0.4672,0.2107
0.5031,0.5548,0.2791
0.4604,0.6945,0.3197
0.4123,0.4480,0.1847
0.5355,0.4605,0.2466
0.5257,0.5535,0.2910
0.5561,0.5125,0.2850
0.4999,0.5405,0.2702
0.6369,0.6822,0.4345
0.4933,0.5108,0.2520
0.4960,0.4341,0.2153
0.4864,0.5087,0.2474
0.6617,0.5976,0.3954
0.6934,0.4680,0.3245
0.4979,0.5515,0.2746
0.3848,0.6065,0.2334
0.5183,0.5107,0.2647
0.5142,0.4660,0.2396
0.4432,0.4007,0.1776
0.4738,0.5764,0.2731
0.4436,0.5331,0.2365
0.4790,0.5287,0.2533
0.4585,0.5026,0.2305
