faithfulness,naturalness,score
0.5364,0.3794,0.2035
0.3042,0.3885,0.1182
0.4691,0.3091,0.1450
0.5303,0.4198,0.2226
0.4776,0.3272,0.1563
0.4570,0.3874,0.1771
0.3961,0.3433,0.1360
0.4166,0.3595,0.1498
0.3836,0.3856,0.1479
0.4436,0.3936,0.1746
0.4606,0.3619,0.1667
0.5811,0.4066,0.2363
0.3831,0.3326,0.1274
0.4444,0.3657,0.1625
0.4168,0.4007,0.1670
0.3394,0.3486,0.1183
0.4019,0.4744,0.1906
0.5477,0.3652,0.2000
0.3922,0.3513,0.1378
0.4880,0.4341,0.2119
0.5206,0.4095,0.2132
0.5017,0.4341,0.2178
0.4426,0.3208,0.1420
0.4759,0.3669,0.1746
0.4729,0.4634,0.2191
0.5785,0.4015,0.2322
0.4498,0.4090,0.1840
0.3933,0.3743,0.1472
0.4423,0.3532,0.1562
0.3761,0.3503,0.1317
0.4447,0.3585,0.1594
0.4565,0.3841,0.1754
0.4621,0.3536,0.1634
0.5176,0.2309,0.1195
0.5136,0.4058,0.2084
0.4662,0.3352,0.1563
0.5588,0.4165,0.2327
0.5686,0.3875,0.2204
0.5389,0.4038,0.2176
0.4079,0.4242,0.1730
0.3900,0.3897,0.1520
0.4344,0.3664,0.1592
0.5039,0.3683,0.1856
0.4350,0.3733,0.1624
0.3743,0.3827,0.1432
0.3601,0.3652,0.1315
0.4890,0.4108,0.2009
0.4139,0.3503,0.1450
0.4147,0.3920,0.1626
0.5387,0.3408,0.1836
0.6044,0.3937,0.2379
0.4934,0.4199,0.2072
0.5355,0.3774,0.2021
0.5511,0.4002,0.2205
0.4479,0.4011,0.1796
0.6262,0.4519,0.2830
0.5783,0.4216,0.2438
0.4955,0.3539,0.1754
0.3802,0.3693,0.1404
0.5235,0.4593,0.2405
0.5126,0.4340,0.2225
0.4377,0.3839,0.1680
0.5011,0.3982,0.1995
0.4567,0.4114,0.1879
0.3207,0.4155,0.1332
0.4164,0.4755,0.1980
0.5402,0.3895,0.2104
0.4365,0.2872,0.1254
0.3754,0.3879,0.1456
0.5314,0.3774,0.2005
0.4554,0.3385,0.1541
0.5947,0.4283,0.2547
0.4442,0.3837,0.1705
0.3855,0.4484,0.1729
0.5074,0.4194,0.2128
0.4234,0.3313,0.1402
0.4382,0.2696,0.1181
0.5876,0.4040,0.2374
0.5957,0.4604,0.2743
0.5723,0.3821,0.2187
0.4409,0.3801,0.1676
0.4988,0.3832,0.1912
0.4296,0.3834,0.1647
0.4332,0.3857,0.1671
0.6496,0.4659,0.3026
0.5281,0.4496,0.2374
0.3793,0.4288,0.1627
0.3710,0.4526,0.1679
0.6402,0.5022,0.3215
0.5106,0.3524,0.1799
0.3877,0.4196,0.1627
0.4585,0.4687,0.2149
0.4116,0.4232,0.1742
0.4026,0.4012,0.1615
0.3754,0.4024,0.1511
0.4636,0.3252,0.1508
0.5564,0.3402,0.1893
0.4829,0.3458,0.1670
0.4766,0.3946,0.1881
0.4450,0.3880,0.1727
