faithfulness,naturalness
0.3665,0.6036
0.3594,0.5574
0.3796,0.5810
0.4013,0.5876
0.3163,0.5328
0.5283,0.6582
0.3786,0.5977
0.3438,0.5730
0.3046,0.5837
0.4292,0.5869
0.3019,0.4896
0.5573,0.6616
0.4076,0.5916
0.3941,0.6171
0.3911,0.5767
0.3677,0.5762
0.3837,0.5659
0.5534,0.6861
0.4246,0.6187
0.3939,0.6789
0.3256,0.5987
0.3910,0.5338
0.3259,0.5929
0.4650,0.6363
0.3962,0.5812
0.3848,0.6007
0.3416,0.5456
0.4146,0.5547
0.3554,0.5592
0.5127,0.6566
0.3656,0.5825
0.3508,0.5601
0.3087,0.5394
0.3736,0.5230
0.3636,0.6067
0.5740,0.6877
0.3859,0.5676
0.4381,0.7040
0.3570,0.6300
0.5451,0.6529
0.3284,0.5899
0.5224,0.6516
0.4328,0.6359
0.3489,0.5590
0.3375,0.5669
0.4488,0.6150
0.3311,0.6019
0.4784,0.6152
0.4298,0.6337
0.4156,0.6701
0.3603,0.5337
0.4209,0.5372
0.2903,0.4873
0.5461,0.6830
0.4129,0.6212
0.3926,0.5892
0.3547,0.5666
0.3873,0.5421
0.3666,0.5444
0.4635,0.6562
