faithfulness,naturalness,score
0.4119,0.4525,0.1864
0.5184,0.4769,0.2472
0.3770,0.4637,0.1748
0.4183,0.5626,0.2353
0.4866,0.5583,0.2717
0.3899,0.4447,0.1734
0.5058,0.4266,0.2158
0.4776,0.5039,0.2406
0.4303,0.4420,0.1902
0.4674,0.4704,0.2199
0.4223,0.5108,0.2157
0.4863,0.4290,0.2086
0.6605,0.5965,0.3940
0.5855,0.4336,0.2538
0.4230,0.4837,0.2046
0.5451,0.4851,0.2644
0.4370,0.4553,0.1990
0.4412,0.5183,0.2287
0.4900,0.4882,0.2392
0.4019,0.4453,0.1790
0.4621,0.5008,0.2314
0.4286,0.3987,0.1709
0.3826,0.4273,0.1635
0.4501,0.4395,0.1978
0.4463,0.4302,0.1920
0.3783,0.3135,0.1186
0.5167,0.4678,0.2417
0.3408,0.4858,0.1656
0.4098,0.4153,0.1702
0.4748,0.5016,0.2382
0.4884,0.5091,0.2486
0.5019,0.4651,0.2335
0.5573,0.4598,0.2562
0.5093,0.5043,0.2568
0.3791,0.4345,0.1647
0.4982,0.4320,0.2152
0.5038,0.5332,0.2686
0.3805,0.4873,0.1855
0.4897,0.4139,0.2027
0.4610,0.4033,0.1859
0.4752,0.3865,0.1837
0.4904,0.4826,0.2367
0.4302,0.4611,0.1984
0.3737,0.4262,0.1593
0.4853,0.4648,0.2256
0.4104,0.4447,0.1825
0.4303,0.5318,0.2288
0.4121,0.4884,0.2012
0.5840,0.4208,0.2458
0.4422,0.5054,0.2235
0.5676,0.4980,0.2827
0.4186,0.4417,0.1849
0.4188,0.4459,0.1867
0.4986,0.4180,0.2084
0.4387,0.4931,0.2163
0.4015,0.4316,0.1733
0.4116,0.4472,0.1841
0.6018,0.6293,0.3787
0.6180,0.4694,0.2901
0.4043,0.4836,0.1955
0.5039,0.4137,0.2085
0.4255,0.4716,0.2007
0.4267,0.3945,0.1683
0.4339,0.4946,0.2146
0.3960,0.4463,0.1768
0.3811,0.3711,0.1414
0.6121,0.4660,0.2852
0.3783,0.4728,0.1788
0.4512,0.4383,0.1978
0.4274,0.4425,0.1891
0.4136,0.5034,0.2082
0.4482,0.5044,0.2261
0.4527,0.4380,0.1983
0.4092,0.4600,0.1882
0.3690,0.5007,0.1848
0.4946,0.4727,0.2338
0.5837,0.5330,0.3111
0.5692,0.5514,0.3139
0.4495,0.4812,0.2163
0.5242,0.4059,0.2128
0.4750,0.4696,0.2231
0.4293,0.4253,0.1826
0.3655,0.4060,0.1484
0.4952,0.4963,0.2458
0.5063,0.4890,0.2475
0.4931,0.4960,0.2446
0.4147,0.4453,0.1847
0.4117,0.4361,0.1796
0.4313,0.4792,0.2067
0.4605,0.4901,0.2257
0.4157,0.4590,0.1908
0.4438,0.4418,0.1961
0.5100,0.4215,0.2150
0.5005,0.4264,0.2134
0.5152,0.4941,0.2546
0.3943,0.5295,0.2088
0.5664,0.4731,0.2679
0.5178,0.4538,0.2350
0.4692,0.4530,0.2126
0.5407,0.4515,0.2441
