faithfulness,naturalness,score
0.5847,0.3745,0.2190
0.6374,0.4953,0.3157
0.4091,0.4341,0.1776
0.6411,0.5539,0.3551
0.5198,0.4618,0.2400
0.5754,0.3554,0.2045
0.5227,0.3922,0.2050
0.6713,0.4695,0.3151
0.5875,0.4221,0.2480
0.6754,0.4969,0.3356
0.5945,0.4421,0.2628
0.5915,0.4095,0.2422
0.4856,0.4877,0.2368
0.6315,0.4591,0.2900
0.5338,0.4528,0.2417
0.5924,0.4314,0.2556
0.6787,0.5090,0.3454
0.5421,0.5187,0.2812
0.6759,0.4881,0.3299
0.4626,0.3297,0.1525
0.6663,0.4844,0.3228
0.5210,0.4671,0.2434
0.6602,0.5914,0.3905
0.4793,0.4226,0.2026
0.6542,0.4541,0.2971
0.4885,0.4418,0.2158
0.5710,0.4463,0.2549
0.5836,0.4843,0.2826
0.4686,0.4429,0.2075
0.6707,0.4896,0.3284
0.5956,0.4404,0.2623
0.6305,0.4498,0.2836
0.6562,0.4778,0.3135
0.5882,0.3994,0.2349
0.4807,0.4677,0.2248
0.6172,0.4394,0.2712
0.6577,0.3992,0.2626
0.5315,0.5404,0.2872
0.4308,0.5039,0.2171
0.5908,0.4400,0.2599
0.5874,0.3993,0.2346
0.5852,0.3376,0.1976
0.5468,0.4692,0.2565
0.6713,0.4737,0.3180
0.6770,0.4939,0.3344
0.6133,0.5100,0.3128
0.6637,0.4453,0.2956
0.5658,0.4919,0.2783
0.5122,0.4744,0.2430
0.4482,0.4486,0.2011
0.5950,0.4168,0.2480
0.6306,0.4856,0.3062
0.6719,0.4746,0.3189
0.6203,0.4547,0.2820
0.5593,0.4196,0.2347
0.5570,0.4616,0.2571
0.6576,0.6002,0.3947
0.6213,0.5155,0.3203
0.5856,0.4029,0.2360
0.5327,0.5367,0.2859
0.5954,0.3868,0.2303
0.6138,0.4551,0.2793
0.5367,0.3901,0.2094
0.6448,0.5335,0.3440
0.6128,0.4526,0.2773
0.6485,0.4717,0.3059
0.6878,0.4850,0.3336
0.5124,0.4129,0.2116
0.5648,0.4105,0.2319
0.6306,0.4235,0.2671
0.6846,0.4827,0.3304
0.4750,0.4504,0.2140
0.5938,0.3940,0.2339
0.6105,0.4505,0.2751
0.5730,0.5154,0.2953
0.6637,0.4645,0.3083
0.6559,0.4990,0.3273
0.5757,0.5619,0.3235
0.4471,0.4126,0.1845
0.6564,0.4762,0.3126
0.5824,0.3918,0.2282
0.5858,0.3781,0.2215
0.4595,0.4223,0.1941
0.6053,0.4602,0.2785
0.6650,0.4523,0.3008
0.5520,0.4382,0.2419
0.6493,0.4488,0.2914
0.5585,0.3437,0.1919
0.5110,0.3472,0.1774
0.5448,0.4818,0.2625
0.5493,0.4396,0.2415
0.5864,0.4688,0.2749
0.6268,0.4272,0.2678
0.7166,0.5276,0.3781
0.6037,0.5282,0.3188
0.6662,0.5652,0.3766
0.5898,0.4423,0.2609
0.6362,0.4633,0.2948
0.4359,0.4614,0.2011
0.5557,0.4640,0.2579
