faithfulness,naturalness,score
0.7492,0.5062,0.3792
0.6885,0.5169,0.3558
0.6814,0.4683,0.3191
0.5429,0.4204,0.2282
0.6873,0.4584,0.3151
0.6678,0.3904,0.2607
0.7604,0.4996,0.3799
0.7180,0.5111,0.3670
0.7474,0.4600,0.3438
0.6905,0.4241,0.2928
0.7569,0.5407,0.4093
0.6982,0.5444,0.3801
0.7588,0.4867,0.3693
0.7838,0.6376,0.4998
0.7976,0.5876,0.4687
0.7773,0.5881,0.4571
0.7769,0.5651,0.4390
0.6149,0.4100,0.2521
0.8279,0.5719,0.4735
0.7795,0.5945,0.4634
0.6178,0.3496,0.2159
0.6655,0.4967,0.3306
0.7324,0.4686,0.3431
0.6468,0.4796,0.3102
0.6750,0.4440,0.2996
0.6769,0.4158,0.2815
0.5621,0.4685,0.2633
0.6902,0.4257,0.2938
0.7102,0.4594,0.3263
0.6855,0.4613,0.3163
0.6811,0.4014,0.2734
0.6724,0.5331,0.3585
0.7136,0.4276,0.3051
0.6952,0.4494,0.3125
0.7269,0.4556,0.3311
0.7199,0.4870,0.3506
0.6890,0.4381,0.3019
0.7857,0.4629,0.3637
0.7379,0.5374,0.3965
0.6853,0.5235,0.3587
0.6887,0.5295,0.3647
0.7387,0.4938,0.3648
0.6874,0.4492,0.3088
0.6670,0.4789,0.3194
0.7561,0.5105,0.3860
0.6412,0.4191,0.2687
0.7303,0.5258,0.3840
0.7658,0.5214,0.3993
0.7104,0.4813,0.3419
0.6367,0.5002,0.3185
0.5811,0.4666,0.2712
0.7539,0.5495,0.4143
0.5492,0.4572,0.2511
0.7383,0.4906,0.3622
0.6295,0.4736,0.2981
0.7282,0.4537,0.3304
0.7335,0.5000,0.3668
0.7434,0.4729,0.3515
0.6059,0.4449,0.2695
0.6766,0.4296,0.2907
0.8393,0.6021,0.5053
0.7542,0.5627,0.4244
0.6674,0.5009,0.3343
0.6312,0.4405,0.2780
0.7449,0.5591,0.4165
0.6490,0.4208,0.2731
0.6655,0.4338,0.2887
0.6847,0.5039,0.3450
0.7354,0.4696,0.3453
0.8014,0.5879,0.4711
0.7106,0.5173,0.3676
0.7179,0.5680,0.4078
0.7396,0.4733,0.3500
0.7186,0.4321,0.3105
0.7104,0.4093,0.2908
0.7595,0.5388,0.4092
0.7421,0.5738,0.4258
0.6581,0.5038,0.3316
0.7127,0.4839,0.3448
0.6954,0.4469,0.3108
0.6762,0.4282,0.2896
0.7328,0.5344,0.3916
0.7531,0.5611,0.4226
0.6283,0.4019,0.2525
0.6414,0.4087,0.2621
0.7130,0.5200,0.3708
0.6450,0.4596,0.2964
0.7759,0.5450,0.4229
0.6810,0.5547,0.3778
0.7162,0.4898,0.3508
0.7155,0.4794,0.3430
0.6926,0.5224,0.3618
0.6340,0.5175,0.3281
0.6515,0.4206,0.2740
0.7420,0.4877,0.3619
0.7749,0.5521,0.4278
0.7833,0.4982,0.3903
0.6765,0.4780,0.3234
0.6041,0.4773,0.2883
0.7455,0.5213,0.3886
