faithfulness,naturalness,score
0.6910,0.5478,0.3785
0.7214,0.6525,0.4707
0.6627,0.4895,0.3244
0.6541,0.4587,0.3000
0.7112,0.5456,0.3880
0.6736,0.5149,0.3468
0.6441,0.4083,0.2629
0.6761,0.5334,0.3606
0.6924,0.5529,0.3828
0.6568,0.5524,0.3628
0.6131,0.4272,0.2619
0.6845,0.5641,0.3861
0.6722,0.5823,0.3914
0.6264,0.4533,0.2840
0.6405,0.5643,0.3614
0.6723,0.5306,0.3568
0.6746,0.5609,0.3784
0.6714,0.5518,0.3704
0.7040,0.5468,0.3850
0.6499,0.5296,0.3442
0.6218,0.4553,0.2831
0.6721,0.5085,0.3417
0.7041,0.6519,0.4590
0.6796,0.6069,0.4125
0.6864,0.5320,0.3652
0.6904,0.5859,0.4045
0.6450,0.4971,0.3206
0.6702,0.4695,0.3147
0.7016,0.5709,0.4005
0.6986,0.5552,0.3879
0.6561,0.5149,0.3378
0.7101,0.6171,0.4382
0.7653,0.6552,0.5014
0.6340,0.4170,0.2644
0.7180,0.6553,0.4705
0.6512,0.5810,0.3784
0.7279,0.5825,0.4240
0.7031,0.6010,0.4226
0.7148,0.6078,0.4344
0.6721,0.5300,0.3562
0.7293,0.6109,0.4455
0.7352,0.6830,0.5021
0.6767,0.5692,0.3852
0.6331,0.5153,0.3262
0.6800,0.5599,0.3807
0.6776,0.5695,0.3859
0.6663,0.6260,0.4171
0.7150,0.5769,0.4125
0.5966,0.4029,0.2404
0.7254,0.5871,0.4259
0.6148,0.4412,0.2713
0.6513,0.5813,0.3786
0.7130,0.5557,0.3962
0.6062,0.4488,0.2720
0.6790,0.5524,0.3751
0.7315,0.5909,0.4323
0.6968,0.6205,0.4324
0.6370,0.4370,0.2784
0.6559,0.6255,0.4102
0.6675,0.4755,0.3174
0.6370,0.5206,0.3316
0.6864,0.5378,0.3691
0.7270,0.5806,0.4221
0.6839,0.5183,0.3544
0.7225,0.5331,0.3852
0.5509,0.4122,0.2271
0.6954,0.5483,0.3813
0.6736,0.4970,0.3348
0.6779,0.5951,0.4034
0.6639,0.4849,0.3219
0.6441,0.4376,0.2819
0.6559,0.5334,0.3498
0.7150,0.6093,0.4357
0.6300,0.4463,0.2812
0.6325,0.5084,0.3216
0.6680,0.5398,0.3606
0.6635,0.6023,0.3996
0.6378,0.4933,0.3147
0.6646,0.5542,0.3683
0.7233,0.5854,0.4234
0.6749,0.4858,0.3279
0.7268,0.6367,0.4628
0.6922,0.4478,0.3100
0.7143,0.5992,0.4280
0.6023,0.4462,0.2688
0.7350,0.6620,0.4866
0.6447,0.5420,0.3494
0.6600,0.4970,0.3281
0.6552,0.5060,0.3315
0.6406,0.4784,0.3065
0.6371,0.4976,0.3170
0.6675,0.5382,0.3592
0.6606,0.5123,0.3384
0.5918,0.4091,0.2421
0.6779,0.5930,0.4020
0.7093,0.5999,0.4255
0.7115,0.5649,0.4020
0.6308,0.4682,0.2953
0.6248,0.4573,0.2857
0.7013,0.5171,0.3626
