faithfulness,naturalness,score
0.4006,0.4684,0.1876
0.3789,0.4668,0.1769
0.4321,0.4427,0.1913
0.3891,0.4431,0.1724
0.4010,0.4505,0.1807
0.3399,0.5331,0.1812
0.5224,0.5418,0.2830
0.3801,0.5045,0.1917
0.4748,0.5752,0.2731
0.4706,0.5158,0.2427
0.5200,0.5610,0.2917
0.5062,0.5470,0.2769
0.4421,0.5140,0.2272
0.4513,0.4421,0.1995
0.4416,0.5580,0.2464
0.4893,0.5586,0.2733
0.5591,0.5844,0.3267
0.4447,0.5060,0.2250
0.3562,0.4375,0.1559
0.4622,0.4953,0.2289
0.4289,0.4976,0.2134
0.4610,0.5590,0.2577
0.4190,0.5126,0.2148
0.4465,0.5667,0.2531
0.5180,0.5509,0.2854
0.3560,0.5170,0.1841
0.4602,0.6045,0.2782
0.3977,0.5349,0.2127
0.4309,0.4876,0.2101
0.5139,0.4039,0.2075
0.3614,0.4934,0.1783
0.4073,0.5257,0.2141
0.3345,0.4832,0.1617
0.4791,0.4915,0.2355
0.3605,0.4951,0.1785
0.4033,0.5205,0.2099
0.5561,0.5144,0.2860
0.4016,0.5235,0.2103
0.5599,0.4427,0.2478
0.4581,0.5707,0.2614
0.4337,0.5020,0.2177
0.5219,0.5455,0.2847
0.5241,0.5173,0.2711
0.3401,0.4090,0.1391
0.4166,0.5557,0.2315
0.3457,0.4912,0.1698
0.4161,0.5114,0.2128
0.3520,0.4885,0.1719
0.4842,0.5533,0.2679
0.3491,0.4326,0.1510
0.3271,0.4928,0.1612
0.3864,0.5305,0.2050
0.4583,0.5759,0.2639
0.5595,0.5463,0.3057
0.2896,0.4499,0.1303
0.3175,0.4562,0.1448
0.5684,0.5499,0.3126
0.4298,0.5030,0.2162
0.5160,0.5185,0.2676
0.3513,0.4497,0.1579
0.3300,0.4617,0.1524
0.4793,0.5174,0.2480
0.2893,0.5107,0.1478
0.4253,0.5463,0.2323
0.6054,0.5125,0.3103
0.3258,0.4805,0.1565
0.4746,0.5283,0.2507
0.5372,0.5903,0.3171
0.5814,0.5466,0.3178
0.4412,0.5490,0.2422
0.4474,0.5024,0.2247
0.4685,0.5245,0.2457
0.4224,0.5265,0.2224
0.4690,0.5847,0.2742
0.5434,0.4397,0.2389
0.5197,0.5413,0.2813
0.5044,0.5727,0.2889
0.4615,0.5253,0.2424
0.3997,0.5223,0.2087
0.3760,0.5168,0.1943
0.3986,0.5220,0.2080
0.4445,0.5503,0.2446
0.4311,0.5754,0.2481
0.4683,0.4871,0.2281
0.4713,0.5418,0.2554
0.4489,0.4517,0.2028
0.5430,0.5757,0.3126
0.4647,0.5165,0.2400
0.3626,0.4899,0.1777
0.3866,0.4970,0.1922
0.4231,0.5412,0.2290
0.4790,0.5311,0.2544
0.4161,0.5060,0.2106
0.3374,0.4904,0.1655
0.4476,0.5688,0.2546
0.3559,0.4902,0.1745
0.5233,0.5056,0.2646
0.5514,0.5630,0.3104
0.5141,0.4051,0.2082
0.5236,0.5878,0.3078
