faithfulness,naturalness,score
0.4842,0.6272,0.3037
0.4364,0.5804,0.2533
0.5619,0.5161,0.2900
0.5753,0.5461,0.3142
0.5999,0.6001,0.3600
0.5743,0.6275,0.3603
0.6625,0.6022,0.3989
0.4226,0.5370,0.2269
0.4086,0.5573,0.2277
0.4370,0.4954,0.2165
0.4943,0.5908,0.2920
0.4720,0.5900,0.2785
0.5375,0.6029,0.3241
0.4925,0.5518,0.2718
0.5151,0.5903,0.3040
0.4232,0.4793,0.2028
0.6745,0.6909,0.4660
0.4457,0.5117,0.2281
0.3826,0.5246,0.2007
0.6321,0.6557,0.4144
0.5075,0.5299,0.2689
0.6273,0.5958,0.3738
0.4493,0.5773,0.2594
0.6138,0.5824,0.3575
0.5611,0.6144,0.3447
0.4232,0.5690,0.2408
0.3776,0.5108,0.1929
0.4997,0.5834,0.2916
0.5078,0.5078,0.2579
0.5501,0.5985,0.3292
0.6008,0.6980,0.4194
0.5671,0.5352,0.3035
0.4502,0.5142,0.2315
0.5217,0.5766,0.3008
0.4345,0.4920,0.2138
0.5140,0.5323,0.2736
0.7132,0.7333,0.5230
0.4857,0.5314,0.2581
0.5228,0.6585,0.3443
0.3807,0.4904,0.1867
0.4917,0.5788,0.2846
0.5662,0.5529,0.3131
0.4362,0.5247,0.2289
0.6231,0.6270,0.3907
0.4725,0.6186,0.2923
0.4966,0.5251,0.2607
0.4842,0.5402,0.2615
0.4123,0.5650,0.2329
0.4912,0.5792,0.2845
0.4742,0.6771,0.3211
0.3874,0.5225,0.2024
0.3973,0.4996,0.1985
0.5486,0.6692,0.3671
0.4821,0.5656,0.2727
0.4794,0.4762,0.2283
0.3464,0.4423,0.1532
0.5864,0.5607,0.3288
0.5435,0.5888,0.3200
0.5057,0.5904,0.2986
0.6866,0.6642,0.4560
0.3520,0.5602,0.1972
0.6240,0.6136,0.3829
0.4152,0.5388,0.2238
0.4732,0.6379,0.3019
0.5974,0.5353,0.3198
0.4767,0.6093,0.2905
0.6280,0.6222,0.3908
0.5379,0.5646,0.3037
0.5492,0.5154,0.2831
0.5084,0.5801,0.2949
0.5245,0.5948,0.3119
0.4210,0.5556,0.2339
0.5615,0.5850,0.3285
0.5791,0.6210,0.3596
0.4453,0.4651,0.2071
0.5150,0.6555,0.3376
0.4399,0.5205,0.2290
0.6242,0.6969,0.4350
0.3474,0.5150,0.1789
0.5362,0.5499,0.2949
0.5608,0.6052,0.3394
0.5516,0.5924,0.3268
0.4833,0.6258,0.3025
0.5092,0.6191,0.3152
0.4542,0.4773,0.2168
0.3767,0.5886,0.2217
0.5020,0.5488,0.2755
0.4040,0.5500,0.2222
0.4473,0.5117,0.2289
0.4554,0.5726,0.2608
0.4835,0.5553,0.2685
0.6545,0.6358,0.4161
0.5097,0.5951,0.3033
0.3645,0.5051,0.1841
0.3862,0.5047,0.1949
0.4647,0.6283,0.2920
0.4984,0.5536,0.2759
0.5984,0.6746,0.4037
0.4572,0.4645,0.2124
0.6089,0.5758,0.3506
