faithfulness,naturalness,score
0.5645,0.6863,0.3874
0.4521,0.5307,0.2399
0.3915,0.4885,0.1913
0.4759,0.6180,0.2941
0.5600,0.6632,0.3714
0.6491,0.6868,0.4458
0.4941,0.6117,0.3023
0.5066,0.6191,0.3136
0.5587,0.6190,0.3458
0.5897,0.6827,0.4026
0.5587,0.6935,0.3875
0.5509,0.6154,0.3391
0.5606,0.7127,0.3996
0.4863,0.6027,0.2931
0.6312,0.7317,0.4618
0.4901,0.5559,0.2725
0.4649,0.5225,0.2429
0.4809,0.6431,0.3092
0.4590,0.4420,0.2029
0.3963,0.6293,0.2494
0.4403,0.5348,0.2355
0.3294,0.5346,0.1761
0.4768,0.6623,0.3158
0.4501,0.5649,0.2542
0.5504,0.7695,0.4236
0.4661,0.5894,0.2747
0.5782,0.6578,0.3804
0.5488,0.6405,0.3515
0.4115,0.5460,0.2247
0.4347,0.5515,0.2397
0.5840,0.6302,0.3680
0.5297,0.6457,0.3420
0.6071,0.7279,0.4419
0.4377,0.5560,0.2434
0.6011,0.6015,0.3616
0.4020,0.5739,0.2307
0.5755,0.6561,0.3776
0.6152,0.6693,0.4117
0.4242,0.5493,0.2330
0.6068,0.6516,0.3954
0.4005,0.6658,0.2667
0.6100,0.6254,0.3815
0.3832,0.4853,0.1860
0.7024,0.5077,0.3566
0.4495,0.5397,0.2426
0.6163,0.6316,0.3892
0.4964,0.5985,0.2971
0.4292,0.6087,0.2612
0.4664,0.6385,0.2978
0.7132,0.7263,0.5180
0.6316,0.7084,0.4474
0.4683,0.5912,0.2769
0.4792,0.5585,0.2676
0.5075,0.5991,0.3041
0.4451,0.6120,0.2724
0.5667,0.6824,0.3867
0.6003,0.6468,0.3882
0.3704,0.4849,0.1796
0.4815,0.5347,0.2574
0.4988,0.5203,0.2595
0.5635,0.6373,0.3591
0.4856,0.5791,0.2812
0.5410,0.5890,0.3186
0.4843,0.5906,0.2860
0.4342,0.5860,0.2544
0.4669,0.5300,0.2474
0.5818,0.5713,0.3324
0.6251,0.6160,0.3851
0.6643,0.6934,0.4606
0.4654,0.5537,0.2577
0.3683,0.5297,0.1951
0.4397,0.5463,0.2402
0.5461,0.6508,0.3554
0.6028,0.7133,0.4299
0.5842,0.6089,0.3557
0.5251,0.6066,0.3185
0.5675,0.7189,0.4080
0.4231,0.5941,0.2514
0.5090,0.7075,0.3601
0.5188,0.6532,0.3389
0.7087,0.7133,0.5055
0.4114,0.5682,0.2337
0.4003,0.5603,0.2243
0.5345,0.6423,0.3433
0.5644,0.6660,0.3759
0.4517,0.5846,0.2641
0.5056,0.6840,0.3458
0.5185,0.5439,0.2820
0.5286,0.6476,0.3423
0.3867,0.5905,0.2283
0.4617,0.6135,0.2833
0.4718,0.6471,0.3053
0.5455,0.6508,0.3550
0.5688,0.6518,0.3708
0.6295,0.6283,0.3955
0.5627,0.5711,0.3214
0.5286,0.5912,0.3125
0.5527,0.6438,0.3558
0.4564,0.5029,0.2296
0.4766,0.6682,0.3185
