faithfulness,naturalness,score
0.6337,0.4696,0.2976
0.7578,0.5500,0.4168
0.7559,0.5668,0.4284
0.7026,0.5363,0.3768
0.7360,0.5188,0.3818
0.6320,0.4527,0.2861
0.5512,0.4193,0.2311
0.6709,0.5007,0.3359
0.6965,0.5021,0.3497
0.7374,0.5480,0.4042
0.7627,0.6077,0.4635
0.6706,0.4635,0.3109
0.7143,0.5424,0.3874
0.7084,0.5790,0.4102
0.7247,0.5773,0.4184
0.6769,0.4904,0.3320
0.7683,0.5873,0.4512
0.7362,0.5071,0.3733
0.7271,0.5641,0.4101
0.7184,0.5227,0.3755
0.6794,0.5446,0.3700
0.6862,0.4900,0.3363
0.6878,0.4529,0.3115
0.7216,0.5234,0.3777
0.7094,0.4699,0.3334
0.7004,0.5333,0.3735
0.6740,0.4927,0.3321
0.5756,0.4394,0.2529
0.6639,0.4498,0.2986
0.7359,0.5363,0.3947
0.7051,0.5117,0.3608
0.6519,0.4657,0.3036
0.6820,0.5108,0.3484
0.6783,0.4768,0.3234
0.6998,0.4792,0.3353
0.6899,0.4779,0.3297
0.6692,0.5245,0.3510
0.7016,0.5763,0.4044
0.7266,0.5768,0.4191
0.6757,0.4789,0.3236
0.7009,0.5273,0.3696
0.7311,0.5884,0.4302
0.7101,0.5391,0.3829
0.6757,0.4850,0.3278
0.6841,0.5124,0.3505
0.7354,0.5624,0.4136
0.6702,0.5254,0.3521
0.6812,0.4917,0.3349
0.6861,0.5546,0.3805
0.6494,0.4814,0.3126
0.6918,0.5302,0.3667
0.7164,0.5679,0.4068
0.7120,0.4585,0.3264
0.6399,0.5134,0.3285
0.6431,0.5066,0.3258
0.7102,0.5140,0.3651
0.6871,0.5383,0.3698
0.7431,0.5815,0.4321
0.7385,0.6067,0.4480
0.7283,0.6299,0.4588
0.7294,0.6212,0.4531
0.7211,0.5147,0.3711
0.7389,0.5554,0.4104
0.7097,0.5588,0.3965
0.6784,0.5766,0.3912
0.7249,0.5142,0.3727
0.7046,0.5858,0.4128
0.7450,0.5900,0.4395
0.7434,0.5389,0.4006
0.6992,0.5190,0.3629
0.6609,0.4671,0.3087
0.6523,0.4766,0.3109
0.7771,0.6325,0.4915
0.6680,0.4928,0.3292
0.6708,0.4687,0.3144
0.6718,0.4898,0.3290
0.7164,0.5576,0.3994
0.7372,0.5050,0.3723
0.6613,0.4441,0.2937
0.7192,0.4796,0.3449
0.7345,0.5581,0.4099
0.7304,0.5783,0.4224
0.7800,0.5501,0.4291
0.6945,0.4995,0.3469
0.7013,0.4961,0.3480
0.7098,0.5920,0.4202
0.6843,0.5001,0.3422
0.7086,0.4924,0.3489
0.6515,0.4758,0.3100
0.7115,0.4860,0.3458
0.7270,0.5137,0.3734
0.7166,0.5695,0.4081
0.7540,0.6138,0.4628
0.7511,0.5718,0.4295
0.7358,0.6301,0.4637
0.6654,0.5376,0.3577
0.7070,0.5449,0.3852
0.7240,0.5365,0.3884
0.7047,0.4930,0.3474
0.6992,0.5093,0.3561
