faithfulness,naturalness,score
0.4739,0.4623,0.2191
0.3938,0.4975,0.1959
0.3512,0.4799,0.1685
0.5519,0.6057,0.3343
0.4410,0.5946,0.2622
0.4004,0.5229,0.2094
0.4623,0.4793,0.2216
0.3855,0.5430,0.2093
0.5418,0.5491,0.2975
0.4589,0.5615,0.2577
0.5196,0.6307,0.3277
0.5132,0.6039,0.3099
0.4682,0.5227,0.2447
0.4903,0.3851,0.1888
0.4765,0.6310,0.3007
0.5538,0.4974,0.2755
0.5134,0.5942,0.3050
0.3221,0.5117,0.1648
0.3908,0.5327,0.2082
0.6031,0.5692,0.3433
0.4895,0.5848,0.2862
0.5441,0.5142,0.2798
0.5118,0.5022,0.2570
0.4379,0.5498,0.2407
0.4754,0.5096,0.2422
0.4675,0.5458,0.2552
0.5125,0.6366,0.3263
0.4914,0.5815,0.2857
0.5074,0.4767,0.2418
0.5477,0.5955,0.3261
0.5235,0.6071,0.3178
0.5181,0.5313,0.2753
0.6181,0.5580,0.3449
0.5509,0.5449,0.3002
0.4525,0.5446,0.2464
0.5040,0.6045,0.3047
0.5199,0.5256,0.2733
0.3736,0.5135,0.1918
0.5513,0.5322,0.2934
0.4048,0.5938,0.2404
0.5441,0.6156,0.3350
0.4525,0.4432,0.2006
0.4735,0.4950,0.2344
0.5641,0.5815,0.3281
0.4438,0.5262,0.2335
0.4555,0.5454,0.2484
0.5054,0.5411,0.2735
0.4203,0.5369,0.2257
0.4559,0.5570,0.2540
0.5107,0.5102,0.2605
0.5128,0.6572,0.3370
0.4591,0.6665,0.3060
0.4680,0.5027,0.2353
0.5801,0.6094,0.3535
0.5832,0.6174,0.3601
0.6371,0.6183,0.3939
0.4711,0.4267,0.2010
0.4587,0.5160,0.2367
0.3476,0.4765,0.1656
0.5844,0.5486,0.3206
0.5599,0.5768,0.3230
0.5621,0.5232,0.2941
0.5594,0.6291,0.3519
0.4683,0.4490,0.2103
0.3343,0.4768,0.1594
0.5796,0.6426,0.3725
0.4783,0.6670,0.3191
0.5620,0.5892,0.3311
0.5201,0.4543,0.2363
0.4363,0.5001,0.2182
0.4414,0.6081,0.2684
0.4089,0.4682,0.1915
0.5538,0.6347,0.3515
0.4934,0.4838,0.2387
0.4150,0.3734,0.1550
0.6151,0.7256,0.4463
0.4816,0.5186,0.2498
0.4734,0.5660,0.2680
0.4124,0.5457,0.2251
0.5085,0.6468,0.3289
0.4975,0.5772,0.2872
0.5251,0.5525,0.2902
0.5310,0.4762,0.2529
0.5479,0.6709,0.3676
0.5066,0.5925,0.3001
0.5014,0.5718,0.2867
0.5594,0.6113,0.3419
0.5355,0.5980,0.3202
0.5104,0.5488,0.2801
0.4997,0.6016,0.3006
0.4899,0.5115,0.2506
0.4349,0.5568,0.2421
0.5708,0.6257,0.3571
0.4232,0.5279,0.2234
0.4365,0.5727,0.2500
0.4047,0.4947,0.2002
0.5461,0.6409,0.3500
0.4658,0.4728,0.2202
0.4721,0.5227,0.2468
0.6159,0.6138,0.3781
