faithfulness,naturalness,score
0.6750,0.5858,0.3954
0.6540,0.5436,0.3555
0.7058,0.6441,0.4546
0.7171,0.6298,0.4516
0.7072,0.5787,0.4093
0.7464,0.6689,0.4993
0.6734,0.5580,0.3758
0.7456,0.6599,0.4920
0.7252,0.6241,0.4526
0.7702,0.6683,0.5147
0.6583,0.5814,0.3828
0.6891,0.5522,0.3805
0.6457,0.5686,0.3672
0.6117,0.5854,0.3581
0.7102,0.5917,0.4202
0.7571,0.6276,0.4752
0.6503,0.5621,0.3655
0.6879,0.5653,0.3889
0.7145,0.6215,0.4440
0.7144,0.6065,0.4333
0.6401,0.5305,0.3396
0.7522,0.6369,0.4791
0.7432,0.6219,0.4622
0.7472,0.6659,0.4976
0.6940,0.5966,0.4140
0.6886,0.6172,0.4250
0.7154,0.5865,0.4196
0.6046,0.5573,0.3370
0.7182,0.6169,0.4431
0.7242,0.6287,0.4553
0.6994,0.6219,0.4349
0.7406,0.6131,0.4540
0.6901,0.5739,0.3961
0.6519,0.6045,0.3941
0.6474,0.5882,0.3808
0.7225,0.6449,0.4660
0.7384,0.6380,0.4710
0.6694,0.5511,0.3689
0.7312,0.5476,0.4004
0.7909,0.6981,0.5521
0.6957,0.5506,0.3831
0.7243,0.6597,0.4778
0.7447,0.5621,0.4186
0.7655,0.6831,0.5230
0.7420,0.6082,0.4512
0.7981,0.6757,0.5392
0.7532,0.6173,0.4650
0.7698,0.5761,0.4435
0.6643,0.5836,0.3877
0.7863,0.6301,0.4955
0.8030,0.6765,0.5432
0.7489,0.6425,0.4812
0.7495,0.6620,0.4961
0.7607,0.6420,0.4883
0.7399,0.6752,0.4996
0.7744,0.6690,0.5181
0.7966,0.6787,0.5407
0.7194,0.5654,0.4068
0.7710,0.6446,0.4970
0.7821,0.6464,0.5056
0.6563,0.5949,0.3904
0.8060,0.7119,0.5738
0.7532,0.6267,0.4721
0.7337,0.6512,0.4778
0.7105,0.6129,0.4355
0.7371,0.6614,0.4875
0.7338,0.6256,0.4590
0.7252,0.5548,0.4023
0.7624,0.6511,0.4964
0.6904,0.5392,0.3723
0.7083,0.6115,0.4331
0.7243,0.6155,0.4458
0.7093,0.5707,0.4048
0.6459,0.6241,0.4031
0.7680,0.6266,0.4812
0.7907,0.6856,0.5421
0.7206,0.5466,0.3939
0.6637,0.5364,0.3560
0.7514,0.6331,0.4758
0.6946,0.5871,0.4078
0.8078,0.6918,0.5588
0.6934,0.5901,0.4092
0.7220,0.5947,0.4294
0.7298,0.5813,0.4242
0.7837,0.6245,0.4894
0.6874,0.5512,0.3789
0.7379,0.6101,0.4503
0.7320,0.6490,0.4751
0.6186,0.5386,0.3331
0.7295,0.6333,0.4620
0.6677,0.5420,0.3619
0.7167,0.6265,0.4490
0.7539,0.5390,0.4064
0.7318,0.6405,0.4687
0.7495,0.6610,0.4954
0.7105,0.6331,0.4498
0.7397,0.6108,0.4518
0.7646,0.6702,0.5124
0.7480,0.6577,0.4920
0.7573,0.6508,0.4929
