faithfulness,naturalness,score
0.6418,0.6914,0.4438
0.5609,0.5873,0.3294
0.6102,0.6699,0.4088
0.5454,0.6766,0.3691
0.5509,0.6437,0.3546
0.6191,0.7571,0.4687
0.5081,0.6534,0.3320
0.5258,0.6259,0.3291
0.6263,0.6376,0.3993
0.5565,0.6854,0.3814
0.6223,0.6412,0.3990
0.4557,0.5754,0.2622
0.5390,0.6710,0.3616
0.4152,0.5094,0.2115
0.3888,0.4692,0.1824
0.4789,0.6713,0.3215
0.4687,0.5511,0.2583
0.5016,0.6203,0.3111
0.6000,0.5922,0.3553
0.5575,0.6754,0.3765
0.4794,0.6293,0.3017
0.4130,0.5139,0.2123
0.5514,0.6245,0.3443
0.5693,0.6141,0.3496
0.4257,0.5423,0.2308
0.4960,0.7181,0.3562
0.5574,0.6499,0.3623
0.7513,0.7421,0.5576
0.5868,0.6990,0.4102
0.6040,0.6135,0.3705
0.6450,0.6745,0.4351
0.5090,0.5605,0.2853
0.6081,0.7226,0.4395
0.5640,0.6529,0.3682
0.5247,0.5681,0.2981
0.4859,0.5886,0.2860
0.4858,0.5865,0.2849
0.4996,0.5935,0.2965
0.6363,0.6455,0.4107
0.5133,0.5893,0.3025
0.4191,0.5191,0.2175
0.4418,0.5845,0.2582
0.5017,0.6339,0.3181
0.7086,0.7164,0.5077
0.5289,0.6247,0.3304
0.5252,0.5458,0.2866
0.5252,0.6389,0.3355
0.5371,0.6460,0.3470
0.5862,0.6804,0.3989
0.5102,0.6086,0.3105
0.6325,0.7399,0.4680
0.6358,0.6793,0.4319
0.6543,0.6460,0.4227
0.4600,0.5385,0.2477
0.6128,0.7299,0.4473
0.4287,0.5159,0.2212
0.6356,0.7222,0.4590
0.4350,0.5865,0.2551
0.5477,0.6270,0.3435
0.5642,0.6344,0.3579
0.4823,0.5518,0.2661
0.4518,0.5875,0.2655
0.4194,0.5766,0.2418
0.4730,0.5869,0.2776
0.4066,0.4710,0.1915
0.4790,0.5571,0.2668
0.5200,0.6955,0.3617
0.6988,0.6872,0.4802
0.5542,0.6166,0.3417
0.6264,0.6431,0.4028
0.4647,0.6723,0.3124
0.6200,0.6772,0.4198
0.6675,0.6748,0.4505
0.6208,0.7001,0.4347
0.5444,0.6554,0.3568
0.5263,0.5755,0.3029
0.5220,0.5274,0.2753
0.4551,0.6048,0.2752
0.5909,0.6649,0.3929
0.5147,0.5808,0.2989
0.4540,0.6014,0.2730
0.4581,0.5530,0.2533
0.5878,0.5937,0.3490
0.5621,0.7050,0.3963
0.4527,0.6463,0.2926
0.5043,0.6518,0.3287
0.4386,0.6618,0.2903
0.5726,0.6137,0.3514
0.5148,0.5569,0.2867
0.4364,0.5666,0.2473
0.6041,0.6884,0.4158
0.5015,0.6211,0.3115
0.4516,0.5710,0.2579
0.5869,0.6364,0.3735
0.6918,0.6446,0.4459
0.6506,0.6546,0.4259
0.6792,0.7069,0.4801
0.6097,0.7970,0.4859
0.4989,0.5407,0.2697
0.5708,0.6857,0.3914
