faithfulness,naturalness,score
0.5301,0.4399,0.2332
0.7460,0.5906,0.4406
0.6848,0.6806,0.4661
0.6305,0.5403,0.3407
0.7503,0.7048,0.5288
0.7412,0.6731,0.4989
0.7486,0.7013,0.5250
0.7739,0.6688,0.5175
0.6019,0.5855,0.3524
0.8543,0.7880,0.6732
0.8967,0.8206,0.7359
0.5025,0.5832,0.2931
0.6582,0.6347,0.4178
0.7012,0.6585,0.4617
0.4023,0.4872,0.1960
0.6497,0.6249,0.4060
0.7322,0.6884,0.5041
0.6679,0.6858,0.4580
0.6233,0.6378,0.3976
0.6108,0.6064,0.3704
0.5500,0.6202,0.3411
0.6542,0.6674,0.4366
0.7347,0.6395,0.4699
0.6936,0.5653,0.3922
0.8163,0.6386,0.5213
0.7606,0.6435,0.4894
0.7153,0.6911,0.4943
0.7266,0.6563,0.4769
0.7270,0.6255,0.4547
0.6476,0.5501,0.3563
0.7800,0.6399,0.4991
0.7140,0.6531,0.4663
0.6112,0.5622,0.3436
0.6770,0.7108,0.4812
0.8649,0.8164,0.7061
0.6512,0.6186,0.4028
0.7840,0.7205,0.5649
0.6330,0.5730,0.3627
0.8514,0.6889,0.5865
0.6550,0.5839,0.3825
0.6789,0.6429,0.4365
0.7322,0.7572,0.5544
0.7955,0.7373,0.5865
0.6012,0.6141,0.3692
0.7484,0.6645,0.4973
0.6874,0.5788,0.3979
0.6298,0.5906,0.3720
0.5813,0.6117,0.3556
0.7245,0.5765,0.4177
0.7467,0.6467,0.4828
0.7526,0.6992,0.5262
0.7420,0.6882,0.5106
0.7587,0.7506,0.5694
0.6892,0.6800,0.4687
0.6600,0.6547,0.4321
0.5922,0.5505,0.3260
0.7478,0.6435,0.4812
0.6379,0.6745,0.4302
0.7443,0.6948,0.5171
0.6617,0.6440,0.4261
0.7443,0.7202,0.5360
0.5887,0.5962,0.3510
0.6289,0.6680,0.4201
0.3622,0.4050,0.1467
0.6516,0.5437,0.3543
0.7424,0.6841,0.5079
0.7148,0.6927,0.4951
0.7283,0.6811,0.4960
0.6504,0.5149,0.3349
0.5006,0.5274,0.2640
0.7771,0.6908,0.5368
0.7841,0.6670,0.5230
0.6761,0.6948,0.4698
0.5784,0.5585,0.3231
0.6678,0.6847,0.4572
0.7783,0.7032,0.5473
0.7633,0.6741,0.5146
0.7225,0.6863,0.4958
0.7327,0.6670,0.4887
0.6587,0.5332,0.3512
0.7371,0.6617,0.4877
0.6895,0.6351,0.4379
0.7499,0.6969,0.5225
0.6919,0.6284,0.4348
0.7383,0.6778,0.5004
0.7113,0.7074,0.5032
0.5541,0.5297,0.2935
0.7272,0.6287,0.4572
0.8014,0.6617,0.5303
0.6458,0.5539,0.3577
0.7373,0.6253,0.4610
0.4668,0.5056,0.2360
0.6044,0.5599,0.3384
0.6750,0.6503,0.4389
0.6672,0.6799,0.4536
0.8429,0.7440,0.6271
0.8415,0.7525,0.6332
0.6781,0.6070,0.4116
0.7119,0.6269,0.4463
0.6551,0.6189,0.4055
