faithfulness,naturalness,score
0.7239,0.6461,0.4678
0.7634,0.7280,0.5558
0.6008,0.6839,0.4109
0.6349,0.6409,0.4069
0.6031,0.7189,0.4336
0.5485,0.6372,0.3495
0.7023,0.6787,0.4767
0.5928,0.6558,0.3888
0.7476,0.7211,0.5390
0.6566,0.7118,0.4674
0.7320,0.8188,0.5993
0.5485,0.6384,0.3502
0.7433,0.7295,0.5422
0.5729,0.6475,0.3710
0.5353,0.7001,0.3748
0.7014,0.7513,0.5269
0.6883,0.7131,0.4908
0.6332,0.6744,0.4270
0.6250,0.5776,0.3610
0.5969,0.7015,0.4187
0.5652,0.6559,0.3707
0.4345,0.5224,0.2270
0.5878,0.6005,0.3530
0.5789,0.6853,0.3968
0.6702,0.6923,0.4640
0.6611,0.7075,0.4678
0.7120,0.7133,0.5079
0.7532,0.7293,0.5493
0.6732,0.6925,0.4662
0.5900,0.6537,0.3857
0.6586,0.6859,0.4517
0.7393,0.7210,0.5330
0.7806,0.7118,0.5557
0.6878,0.6932,0.4768
0.7515,0.7586,0.5701
0.7617,0.6989,0.5324
0.7380,0.7350,0.5424
0.5507,0.6658,0.3667
0.7267,0.6533,0.4747
0.5960,0.6341,0.3780
0.3702,0.5209,0.1929
0.6542,0.7151,0.4678
0.7471,0.6917,0.5167
0.7838,0.7002,0.5489
0.5747,0.7182,0.4127
0.6749,0.6671,0.4503
0.5976,0.7054,0.4215
0.5336,0.6304,0.3364
0.6117,0.6565,0.4016
0.5453,0.5866,0.3199
0.7018,0.6712,0.4710
0.5782,0.6841,0.3956
0.6859,0.6276,0.4305
0.5641,0.6268,0.3536
0.4706,0.4978,0.2342
0.5449,0.6089,0.3317
0.6516,0.7003,0.4563
0.5370,0.6658,0.3576
0.7619,0.7388,0.5629
0.5610,0.6039,0.3388
0.5205,0.5661,0.2947
0.6971,0.7077,0.4934
0.4699,0.5949,0.2796
0.4567,0.4899,0.2237
0.5765,0.5747,0.3313
0.6615,0.6911,0.4571
0.6474,0.6707,0.4342
0.7375,0.7509,0.5538
0.6797,0.7004,0.4760
0.7071,0.7873,0.5567
0.5576,0.6681,0.3725
0.6952,0.6786,0.4718
0.7407,0.7323,0.5424
0.6424,0.7074,0.4545
0.6191,0.7712,0.4775
0.5353,0.5673,0.3037
0.5384,0.6179,0.3327
0.5934,0.5843,0.3467
0.7591,0.7583,0.5757
0.5570,0.6498,0.3619
0.7071,0.6998,0.4948
0.6736,0.7038,0.4741
0.7397,0.7653,0.5661
0.4277,0.5903,0.2525
0.5993,0.6440,0.3859
0.7556,0.7473,0.5646
0.7512,0.8036,0.6036
0.5750,0.6616,0.3804
0.4183,0.5001,0.2092
0.5687,0.7249,0.4122
0.6974,0.6888,0.4804
0.4808,0.6377,0.3066
0.5964,0.6182,0.3687
0.7560,0.7680,0.5806
0.6021,0.5918,0.3563
0.7661,0.7293,0.5587
0.6608,0.7163,0.4734
0.7812,0.7541,0.5891
0.6681,0.6803,0.4545
0.6632,0.7024,0.4659
