faithfulness,naturalness,score
0.3359,0.3664,0.1230
0.6475,0.4992,0.3233
0.3183,0.4375,0.1393
0.2978,0.4278,0.1274
0.3058,0.3512,0.1074
0.3751,0.4635,0.1739
0.3661,0.5242,0.1919
0.3901,0.4660,0.1817
0.3812,0.4260,0.1624
0.3947,0.4633,0.1828
0.4480,0.5005,0.2242
0.3062,0.4757,0.1457
0.4172,0.5101,0.2128
0.4245,0.4879,0.2071
0.3548,0.4076,0.1446
0.3960,0.4098,0.1623
0.3072,0.4084,0.1255
0.4049,0.4736,0.1917
0.4929,0.4700,0.2317
0.4139,0.4541,0.1880
0.3502,0.4394,0.1539
0.3811,0.3572,0.1361
0.3847,0.3839,0.1477
0.3524,0.3875,0.1366
0.3769,0.4751,0.1791
0.3727,0.4612,0.1719
0.4739,0.4136,0.1960
0.3333,0.4088,0.1363
0.4394,0.4813,0.2115
0.4250,0.5159,0.2192
0.3822,0.4154,0.1587
0.4216,0.3600,0.1518
0.3947,0.4074,0.1608
0.4206,0.4815,0.2025
0.5086,0.4424,0.2250
0.3636,0.4506,0.1639
0.4124,0.4204,0.1734
0.3705,0.3953,0.1465
0.3939,0.4129,0.1626
0.5015,0.4433,0.2223
0.4141,0.4939,0.2045
0.4676,0.5174,0.2419
0.3643,0.4665,0.1700
0.3702,0.4576,0.1694
0.3786,0.4395,0.1664
0.4016,0.5080,0.2040
0.5388,0.4392,0.2367
0.3497,0.4037,0.1412
0.5487,0.4367,0.2396
0.4962,0.4729,0.2347
0.5088,0.4494,0.2286
0.6137,0.5251,0.3223
0.4791,0.4504,0.2157
0.4131,0.4918,0.2031
0.4647,0.4777,0.2220
0.3906,0.3366,0.1315
0.4069,0.3788,0.1541
0.4757,0.4724,0.2247
0.4304,0.4914,0.2115
0.4581,0.5444,0.2494
0.4220,0.5307,0.2240
0.3666,0.4653,0.1706
0.4156,0.3614,0.1502
0.3443,0.4995,0.1720
0.3802,0.4554,0.1732
0.4672,0.4233,0.1978
0.3498,0.4159,0.1455
0.4190,0.4937,0.2068
0.3693,0.4623,0.1707
0.3965,0.5653,0.2241
0.2995,0.3586,0.1074
0.3964,0.4325,0.1715
0.3761,0.4690,0.1764
0.2901,0.3385,0.0982
0.3279,0.4816,0.1579
0.3165,0.3933,0.1245
0.3994,0.5045,0.2015
0.3289,0.4729,0.1555
0.3693,0.4805,0.1775
0.4727,0.5177,0.2447
0.5515,0.5170,0.2851
0.5053,0.5007,0.2530
0.4062,0.4432,0.1800
0.2731,0.4383,0.1197
0.3574,0.4635,0.1657
0.3257,0.3706,0.1207
0.3754,0.4932,0.1851
0.3148,0.4199,0.1322
0.3904,0.4833,0.1887
0.4682,0.3674,0.1720
0.3775,0.3676,0.1388
0.4270,0.4435,0.1894
0.3177,0.4424,0.1406
0.3573,0.4558,0.1628
0.3718,0.4210,0.1565
0.4237,0.4949,0.2097
0.5844,0.4635,0.2709
0.3395,0.4658,0.1581
0.3250,0.4073,0.1324
0.3740,0.5004,0.1871
