faithfulness,naturalness,score
0.7678,0.5557,0.4267
0.7611,0.5609,0.4269
0.7627,0.5587,0.4261
0.7207,0.5446,0.3925
0.6462,0.5199,0.3360
0.7006,0.4790,0.3356
0.7807,0.5926,0.4626
0.7270,0.4769,0.3467
0.7980,0.5241,0.4183
0.8364,0.6589,0.5511
0.8389,0.5889,0.4940
0.7911,0.5818,0.4602
0.7107,0.4953,0.3520
0.7639,0.5574,0.4258
0.7783,0.5851,0.4554
0.8278,0.5627,0.4658
0.8333,0.5915,0.4929
0.5473,0.4870,0.2665
0.7304,0.5610,0.4098
0.8067,0.5818,0.4694
0.7274,0.6004,0.4367
0.7682,0.5744,0.4412
0.7524,0.5615,0.4225
0.7877,0.5201,0.4097
0.7046,0.5051,0.3559
0.7847,0.5945,0.4665
0.7473,0.4925,0.3680
0.7743,0.5346,0.4139
0.8010,0.6205,0.4971
0.7737,0.5507,0.4261
0.7424,0.5632,0.4181
0.6878,0.5395,0.3710
0.6565,0.4936,0.3241
0.8069,0.5677,0.4581
0.6931,0.4842,0.3356
0.7697,0.4939,0.3802
0.8517,0.6851,0.5835
0.6787,0.5072,0.3443
0.7871,0.6058,0.4768
0.4872,0.5417,0.2639
0.8335,0.5584,0.4654
0.7633,0.5639,0.4304
0.7367,0.6053,0.4459
0.7931,0.5632,0.4466
0.6161,0.5287,0.3257
0.6809,0.5263,0.3583
0.7155,0.5098,0.3647
0.8091,0.5379,0.4353
0.7429,0.5735,0.4261
0.8574,0.5718,0.4903
0.7082,0.4337,0.3071
0.8029,0.5734,0.4604
0.7835,0.5227,0.4096
0.8093,0.5934,0.4802
0.5969,0.5468,0.3264
0.7012,0.4729,0.3316
0.8237,0.5316,0.4379
0.7774,0.5400,0.4198
0.7382,0.5175,0.3820
0.7054,0.4768,0.3363
0.8210,0.5895,0.4840
0.7210,0.5068,0.3655
0.7519,0.4819,0.3624
0.7384,0.5164,0.3814
0.8154,0.5543,0.4520
0.7687,0.4841,0.3722
0.6504,0.5680,0.3694
0.7562,0.5670,0.4287
0.6604,0.4982,0.3290
0.8010,0.6049,0.4845
0.7596,0.5156,0.3916
0.7278,0.5565,0.4050
0.7955,0.6012,0.4783
0.7471,0.5260,0.3930
0.7599,0.5906,0.4488
0.8126,0.5907,0.4800
0.5915,0.5564,0.3291
0.7309,0.5320,0.3888
0.7266,0.5309,0.3858
0.7722,0.5829,0.4502
0.8349,0.6017,0.5024
0.8083,0.5924,0.4789
0.7945,0.5943,0.4722
0.7796,0.5875,0.4580
0.7236,0.4731,0.3424
0.7908,0.5951,0.4706
0.7530,0.5274,0.3972
0.7615,0.5255,0.4002
0.6379,0.5210,0.3324
0.8074,0.6032,0.4870
0.7680,0.5355,0.4113
0.7953,0.5776,0.4594
0.7779,0.5554,0.4321
0.6628,0.4992,0.3309
0.8176,0.5291,0.4325
0.7905,0.5042,0.3986
0.7920,0.5711,0.4523
0.8590,0.6500,0.5584
0.8320,0.5503,0.4579
0.7074,0.5935,0.4199
