faithfulness,naturalness,score
0.8538,0.6134,0.5237
0.8288,0.6111,0.5065
0.8808,0.6316,0.5563
0.8189,0.6370,0.5216
0.7225,0.4991,0.3606
0.7488,0.5011,0.3752
0.8397,0.6696,0.5623
0.8662,0.6657,0.5767
0.8318,0.6485,0.5394
0.8607,0.6254,0.5383
0.8485,0.6130,0.5201
0.8323,0.6012,0.5003
0.8505,0.6148,0.5229
0.7891,0.5711,0.4507
0.9228,0.7221,0.6663
0.8361,0.5621,0.4699
0.8204,0.6109,0.5011
0.6643,0.5436,0.3611
0.8491,0.6221,0.5282
0.8834,0.6499,0.5741
0.7597,0.5724,0.4349
0.8401,0.6265,0.5263
0.8509,0.6202,0.5277
0.8686,0.6552,0.5690
0.7632,0.5475,0.4179
0.8440,0.6433,0.5429
0.8667,0.6189,0.5364
0.8242,0.5766,0.4753
0.7499,0.4848,0.3636
0.8124,0.6107,0.4961
0.6779,0.4862,0.3296
0.7708,0.5444,0.4197
0.7355,0.5575,0.4101
0.9022,0.7540,0.6803
0.8238,0.5793,0.4772
0.8152,0.6448,0.5257
0.9107,0.6698,0.6100
0.7358,0.4323,0.3181
0.6831,0.5935,0.4054
0.5742,0.4943,0.2838
0.9016,0.6713,0.6053
0.8087,0.5326,0.4307
0.7403,0.5007,0.3707
0.8538,0.6135,0.5238
0.7410,0.5650,0.4187
0.7451,0.5548,0.4134
0.7648,0.6073,0.4645
0.8276,0.6408,0.5303
0.8130,0.5966,0.4850
0.7968,0.5456,0.4347
0.7492,0.5042,0.3777
0.7830,0.5503,0.4309
0.8254,0.5818,0.4803
0.8465,0.6063,0.5132
0.5594,0.5484,0.3068
0.7416,0.4762,0.3531
0.8732,0.6508,0.5683
0.8737,0.6543,0.5716
0.8644,0.6322,0.5464
0.7938,0.4961,0.3938
0.8937,0.6535,0.5841
0.8413,0.5712,0.4805
0.8017,0.5814,0.4661
0.8405,0.5986,0.5032
0.7605,0.5725,0.4354
0.8314,0.6319,0.5254
0.8098,0.5921,0.4795
0.8251,0.6637,0.5477
0.7735,0.5249,0.4060
0.9047,0.6867,0.6213
0.8113,0.6472,0.5251
0.8171,0.6070,0.4960
0.8086,0.5938,0.4802
0.8631,0.6572,0.5672
0.8235,0.5751,0.4736
0.8979,0.6534,0.5867
0.7067,0.5287,0.3736
0.7428,0.5448,0.4047
0.7458,0.5998,0.4473
0.7812,0.5578,0.4358
0.7765,0.5479,0.4254
0.9038,0.7078,0.6397
0.8382,0.5770,0.4836
0.8244,0.6119,0.5044
0.8603,0.6848,0.5891
0.8035,0.5486,0.4408
0.8420,0.5742,0.4835
0.8528,0.5488,0.4680
0.5883,0.5628,0.3311
0.8416,0.6168,0.5191
0.8482,0.5824,0.4940
0.8203,0.6614,0.5426
0.7623,0.5201,0.3965
0.7523,0.5635,0.4239
0.9001,0.6659,0.5993
0.9015,0.6423,0.5791
0.8648,0.6183,0.5347
0.8947,0.6748,0.6037
0.8959,0.6091,0.5457
0.7907,0.5398,0.4269
