faithfulness,naturalness,score
0.6849,0.5556,0.3805
0.7074,0.5431,0.3842
0.6317,0.4962,0.3134
0.6962,0.5455,0.3798
0.5721,0.4572,0.2616
0.6803,0.5101,0.3470
0.4836,0.4986,0.2411
0.4451,0.4388,0.1953
0.6948,0.5515,0.3832
0.7477,0.5843,0.4368
0.5815,0.4856,0.2823
0.6754,0.5257,0.3551
0.5782,0.5336,0.3085
0.6592,0.5535,0.3649
0.6165,0.4637,0.2859
0.7283,0.5426,0.3952
0.6636,0.5168,0.3430
0.5461,0.4180,0.2283
0.7345,0.5781,0.4246
0.7024,0.4766,0.3347
0.5544,0.3872,0.2147
0.6054,0.4899,0.2966
0.6376,0.4616,0.2943
0.7677,0.6366,0.4887
0.6847,0.4919,0.3368
0.6599,0.5399,0.3562
0.6276,0.4971,0.3120
0.6869,0.5539,0.3804
0.7291,0.5527,0.4030
0.5280,0.5015,0.2648
0.6150,0.5214,0.3207
0.6945,0.5097,0.3540
0.6645,0.5016,0.3333
0.6663,0.4899,0.3264
0.5126,0.4896,0.2510
0.6860,0.5360,0.3677
0.6381,0.5042,0.3218
0.6639,0.4903,0.3255
0.6682,0.5327,0.3559
0.7228,0.5798,0.4191
0.5546,0.4671,0.2590
0.6358,0.4958,0.3153
0.6480,0.5249,0.3402
0.6044,0.5243,0.3169
0.6289,0.5036,0.3167
0.7050,0.5223,0.3683
0.6087,0.4595,0.2797
0.5522,0.4503,0.2487
0.6557,0.4980,0.3265
0.6686,0.5028,0.3362
0.6202,0.4775,0.2961
0.6306,0.4522,0.2852
0.6770,0.5195,0.3517
0.6833,0.5552,0.3794
0.6832,0.5450,0.3724
0.7066,0.5569,0.3935
0.6453,0.5075,0.3275
0.6783,0.5359,0.3635
0.7185,0.6132,0.4406
0.7008,0.5596,0.3921
0.6771,0.5327,0.3607
0.6319,0.4936,0.3119
0.7551,0.5373,0.4057
0.7741,0.6119,0.4737
0.5592,0.5716,0.3196
0.4926,0.4111,0.2025
0.6565,0.5036,0.3306
0.7205,0.5706,0.4111
0.6562,0.5515,0.3619
0.5905,0.4557,0.2691
0.6640,0.5124,0.3402
0.5188,0.4359,0.2261
0.7065,0.5992,0.4233
0.5171,0.4382,0.2266
0.6877,0.5192,0.3571
0.5333,0.4499,0.2399
0.7074,0.6375,0.4510
0.7605,0.5670,0.4312
0.6511,0.5181,0.3374
0.6647,0.5240,0.3483
0.6635,0.5358,0.3555
0.5209,0.4864,0.2534
0.6947,0.4825,0.3352
0.6342,0.5190,0.3291
0.6667,0.4679,0.3120
0.6855,0.5490,0.3764
0.6929,0.5878,0.4073
0.6630,0.5473,0.3629
0.5704,0.4331,0.2470
0.6772,0.4640,0.3142
0.6729,0.4625,0.3112
0.6254,0.4849,0.3032
0.6583,0.5215,0.3433
0.5832,0.4851,0.2829
0.5801,0.5419,0.3144
0.6944,0.5241,0.3639
0.5678,0.4715,0.2677
0.6230,0.5020,0.3127
0.6221,0.5114,0.3182
0.6417,0.4789,0.3073
