faithfulness,naturalness,score
0.4455,0.3952,0.1760
0.5554,0.4486,0.2492
0.4308,0.3614,0.1557
0.7018,0.4433,0.3111
0.4483,0.5229,0.2344
0.5665,0.4535,0.2569
0.6750,0.5603,0.3782
0.5082,0.5787,0.2941
0.3899,0.4507,0.1757
0.3942,0.4136,0.1631
0.4264,0.4481,0.1911
0.5100,0.5148,0.2625
0.5806,0.4996,0.2900
0.4971,0.4741,0.2357
0.3637,0.3583,0.1303
0.4200,0.4407,0.1851
0.5461,0.4373,0.2388
0.5063,0.4508,0.2282
0.5334,0.3963,0.2114
0.6032,0.4974,0.3000
0.4501,0.4234,0.1906
0.5131,0.5054,0.2593
0.3457,0.3786,0.1308
0.3902,0.4699,0.1833
0.3904,0.3862,0.1508
0.4347,0.4858,0.2112
0.3937,0.4828,0.1901
0.4721,0.4911,0.2318
0.4262,0.4251,0.1812
0.5329,0.4547,0.2423
0.3562,0.3841,0.1368
0.6115,0.5556,0.3398
0.5367,0.3849,0.2066
0.4330,0.4869,0.2108
0.4893,0.5054,0.2473
0.5845,0.3525,0.2060
0.7916,0.5768,0.4566
0.4280,0.4173,0.1786
0.4368,0.5593,0.2443
0.4721,0.4712,0.2224
0.4104,0.4145,0.1701
0.3542,0.4056,0.1437
0.6904,0.5288,0.3651
0.5173,0.4118,0.2130
0.6349,0.4554,0.2891
0.4913,0.4526,0.2224
0.5368,0.4431,0.2379
0.3968,0.3827,0.1519
0.3900,0.4789,0.1868
0.4938,0.4885,0.2413
0.7195,0.5924,0.4263
0.3637,0.4590,0.1669
0.3883,0.4578,0.1778
0.4100,0.4216,0.1729
0.4284,0.4889,0.2094
0.6006,0.4701,0.2823
0.5872,0.4687,0.2752
0.5445,0.4752,0.2588
0.4741,0.4528,0.2147
0.6822,0.6176,0.4213
0.3939,0.4052,0.1596
0.6675,0.5995,0.4002
0.5910,0.4852,0.2867
0.3594,0.3732,0.1341
0.4108,0.4199,0.1725
0.5177,0.4940,0.2557
0.5523,0.5013,0.2769
0.4551,0.4324,0.1968
0.5645,0.4808,0.2714
0.4924,0.4777,0.2352
0.3938,0.5623,0.2215
0.4451,0.4612,0.2053
0.3430,0.4288,0.1471
0.4532,0.4415,0.2001
0.4503,0.4450,0.2004
0.3795,0.4385,0.1664
0.3762,0.4130,0.1554
0.3772,0.3780,0.1426
0.4264,0.4580,0.1953
0.5192,0.4835,0.2510
0.5240,0.5219,0.2735
0.4857,0.4836,0.2349
0.6680,0.4990,0.3333
0.5384,0.5128,0.2761
0.4167,0.5340,0.2225
0.3472,0.3737,0.1297
0.5299,0.3352,0.1776
0.3905,0.4123,0.1610
0.4331,0.4995,0.2164
0.3318,0.3901,0.1294
0.5606,0.5177,0.2902
0.4776,0.4280,0.2044
0.5059,0.5285,0.2673
0.3977,0.5094,0.2026
0.4582,0.3758,0.1722
0.5184,0.4855,0.2517
0.6467,0.5152,0.3332
0.6050,0.4677,0.2830
0.6438,0.4790,0.3084
0.4470,0.5019,0.2244
