faithfulness,naturalness,score
0.3759,0.4997,0.1879
0.4272,0.5212,0.2227
0.3857,0.4982,0.1921
0.4553,0.5833,0.2656
0.3939,0.4615,0.1818
0.4363,0.4970,0.2168
0.4029,0.4883,0.1967
0.4235,0.5126,0.2171
0.4041,0.5082,0.2054
0.4120,0.4964,0.2045
0.5142,0.5456,0.2805
0.4241,0.4657,0.1975
0.5577,0.6280,0.3503
0.3844,0.4913,0.1889
0.4174,0.5224,0.2180
0.3937,0.5307,0.2089
0.6372,0.6844,0.4361
0.4797,0.6220,0.2984
0.4680,0.5492,0.2570
0.5280,0.5944,0.3139
0.3705,0.5675,0.2102
0.5882,0.5641,0.3318
0.3877,0.5155,0.1998
0.4266,0.4877,0.2081
0.4947,0.5511,0.2726
0.5907,0.6018,0.3555
0.4482,0.6278,0.2814
0.5092,0.5668,0.2886
0.5342,0.4856,0.2594
0.4026,0.6438,0.2592
0.5026,0.6438,0.3236
0.4504,0.5146,0.2318
0.7148,0.6439,0.4602
0.3796,0.4321,0.1640
0.4118,0.4854,0.1999
0.3963,0.4905,0.1944
0.4339,0.4663,0.2024
0.3968,0.4300,0.1706
0.3723,0.5060,0.1884
0.4412,0.5792,0.2555
0.5573,0.5445,0.3035
0.4666,0.4911,0.2292
0.5162,0.4710,0.2431
0.4162,0.5319,0.2214
0.4578,0.6689,0.3062
0.4301,0.5125,0.2204
0.4887,0.5314,0.2597
0.3919,0.4927,0.1931
0.4290,0.5293,0.2271
0.4887,0.5843,0.2855
0.3748,0.5136,0.1925
0.4148,0.5859,0.2430
0.3624,0.4750,0.1721
0.3525,0.4833,0.1703
0.4387,0.5973,0.2620
0.4059,0.4646,0.1886
0.4371,0.4910,0.2146
0.4875,0.5966,0.2909
0.5724,0.5497,0.3147
0.4943,0.5729,0.2832
0.4233,0.5456,0.2310
0.5456,0.5589,0.3049
0.4318,0.5117,0.2209
0.4733,0.6085,0.2880
0.4235,0.5388,0.2282
0.5569,0.5076,0.2827
0.4609,0.6039,0.2784
0.6035,0.6092,0.3677
0.5577,0.6793,0.3788
0.3159,0.4966,0.1568
0.4478,0.5759,0.2579
0.4740,0.5658,0.2682
0.4440,0.5358,0.2379
0.4464,0.5282,0.2358
0.4447,0.5224,0.2323
0.4117,0.5667,0.2333
0.4670,0.5439,0.2540
0.5349,0.6394,0.3420
0.4149,0.4834,0.2006
0.3703,0.5856,0.2168
0.6075,0.6204,0.3769
0.4591,0.4279,0.1964
0.6730,0.6554,0.4411
0.4633,0.4693,0.2174
0.3919,0.5721,0.2242
0.5046,0.5442,0.2746
0.3906,0.4960,0.1937
0.4805,0.6430,0.3090
0.5832,0.6271,0.3657
0.6562,0.6414,0.4209
0.6139,0.6956,0.4270
0.4320,0.6272,0.2709
0.3901,0.5009,0.1954
0.5422,0.6712,0.3639
0.4660,0.6355,0.2961
0.4017,0.3984,0.1600
0.5350,0.5110,0.2734
0.4229,0.5375,0.2273
0.4025,0.6466,0.2602
0.3654,0.5055,0.1847
