faithfulness,naturalness,score
0.4501,0.4472,0.2013
0.4737,0.3891,0.1843
0.4912,0.4083,0.2005
0.4751,0.4073,0.1935
0.4587,0.4762,0.2184
0.3983,0.4358,0.1736
0.4559,0.4843,0.2208
0.3737,0.4130,0.1543
0.4297,0.4367,0.1877
0.4797,0.4202,0.2015
0.4954,0.4483,0.2221
0.4172,0.4530,0.1890
0.4152,0.4343,0.1803
0.5891,0.4963,0.2924
0.4529,0.4600,0.2083
0.4824,0.4701,0.2268
0.4999,0.4345,0.2172
0.3739,0.4016,0.1502
0.5011,0.4585,0.2298
0.5105,0.4418,0.2255
0.4014,0.4599,0.1846
0.4253,0.4273,0.1817
0.4504,0.4274,0.1925
0.4499,0.4995,0.2247
0.4557,0.4033,0.1838
0.4713,0.4565,0.2151
0.5482,0.4381,0.2402
0.4465,0.4563,0.2037
0.4262,0.4547,0.1938
0.5425,0.4152,0.2253
0.4605,0.3851,0.1773
0.4189,0.3936,0.1649
0.4453,0.4255,0.1895
0.3978,0.4822,0.1918
0.5016,0.4814,0.2414
0.4570,0.4138,0.1891
0.4789,0.4644,0.2224
0.4248,0.4408,0.1872
0.4403,0.4570,0.2012
0.4132,0.4250,0.1756
0.4205,0.4829,0.2031
0.4688,0.4791,0.2246
0.4257,0.4632,0.1972
0.4606,0.4196,0.1933
0.5068,0.4595,0.2329
0.4992,0.4568,0.2281
0.4749,0.4099,0.1946
0.5009,0.5606,0.2808
0.3494,0.3867,0.1351
0.4437,0.4050,0.1797
0.5229,0.3984,0.2083
0.4005,0.4780,0.1915
0.4816,0.4094,0.1972
0.4551,0.4139,0.1883
0.4028,0.3979,0.1603
0.5346,0.3347,0.1789
0.4773,0.4251,0.2029
0.4331,0.4112,0.1781
0.4887,0.4760,0.2326
0.4373,0.4401,0.1925
0.4088,0.4516,0.1846
0.4691,0.4271,0.2003
0.4676,0.4426,0.2069
0.4572,0.4947,0.2262
0.4831,0.4489,0.2169
0.4855,0.4646,0.2256
0.4659,0.3863,0.1800
0.4472,0.4626,0.2069
0.4295,0.4682,0.2011
0.4744,0.4174,0.1980
0.4613,0.4700,0.2168
0.4861,0.4814,0.2340
0.4775,0.4157,0.1985
0.4949,0.4653,0.2303
0.4373,0.4246,0.1857
0.4422,0.4470,0.1977
0.4667,0.4740,0.2212
0.4211,0.4070,0.1714
0.4888,0.5247,0.2565
0.3976,0.4349,0.1729
0.4657,0.3985,0.1856
0.4772,0.5286,0.2523
0.4376,0.4878,0.2135
0.5350,0.4459,0.2385
0.3602,0.3900,0.1405
0.5649,0.4267,0.2411
0.5180,0.4909,0.2543
0.5277,0.5422,0.2862
0.4644,0.4411,0.2049
0.5662,0.4580,0.2593
0.4105,0.4670,0.1917
0.4131,0.3989,0.1648
0.4646,0.4962,0.2306
0.3948,0.4193,0.1655
0.4759,0.4383,0.2086
0.4804,0.5177,0.2487
0.4782,0.4721,0.2257
0.4302,0.3665,0.1576
0.4889,0.5071,0.2479
0.4307,0.4379,0.1886
