faithfulness,naturalness,score
0.4156,0.5560,0.2311
0.3966,0.4133,0.1639
0.4625,0.4743,0.2194
0.6489,0.5910,0.3835
0.5178,0.6138,0.3178
0.4754,0.5382,0.2559
0.3360,0.4109,0.1381
0.6999,0.6181,0.4326
0.4137,0.5384,0.2228
0.5252,0.5593,0.2938
0.7127,0.6092,0.4342
0.5250,0.4349,0.2283
0.3527,0.4460,0.1573
0.5618,0.5218,0.2931
0.4977,0.4779,0.2378
0.5477,0.5170,0.2831
0.4924,0.4665,0.2297
0.6010,0.4496,0.2702
0.5435,0.6150,0.3342
0.4598,0.4996,0.2297
0.3738,0.4323,0.1616
0.4684,0.5219,0.2445
0.5607,0.5400,0.3027
0.5884,0.5496,0.3234
0.4501,0.5168,0.2326
0.6173,0.5650,0.3488
0.4984,0.5276,0.2629
0.3545,0.4240,0.1503
0.3798,0.4507,0.1712
0.5022,0.5540,0.2782
0.4926,0.4729,0.2329
0.6742,0.6914,0.4661
0.4711,0.4757,0.2241
0.4890,0.5352,0.2617
0.3509,0.4622,0.1622
0.3761,0.4141,0.1557
0.3993,0.4163,0.1662
0.3526,0.3989,0.1407
0.4971,0.5596,0.2781
0.5223,0.4353,0.2274
0.7654,0.6375,0.4879
0.5195,0.4979,0.2587
0.3838,0.4518,0.1734
0.5143,0.4903,0.2522
0.4796,0.6487,0.3111
0.3504,0.4713,0.1651
0.3429,0.4015,0.1377
0.3776,0.4457,0.1683
0.4734,0.3616,0.1712
0.4806,0.4907,0.2359
0.3635,0.4386,0.1594
0.6345,0.6498,0.4123
0.5345,0.4870,0.2603
0.3758,0.5882,0.2210
0.2986,0.4135,0.1235
0.3614,0.4743,0.1714
0.5538,0.6267,0.3470
0.3783,0.3600,0.1362
0.5657,0.5814,0.3289
0.6571,0.5095,0.3348
0.4015,0.4930,0.1979
0.7655,0.6409,0.4906
0.3979,0.4591,0.1827
0.4402,0.4642,0.2044
0.2935,0.4237,0.1244
0.3436,0.4476,0.1538
0.3976,0.4521,0.1798
0.3876,0.4880,0.1892
0.3607,0.5197,0.1875
0.5335,0.4946,0.2638
0.5540,0.4597,0.2547
0.6150,0.6351,0.3906
0.4933,0.4382,0.2162
0.5579,0.5154,0.2875
0.4405,0.5267,0.2320
0.4851,0.5379,0.2609
0.5430,0.5606,0.3044
0.6506,0.6021,0.3917
0.3901,0.4868,0.1899
0.4494,0.4722,0.2122
0.3424,0.4355,0.1491
0.3779,0.4688,0.1771
0.6731,0.5763,0.3879
0.4235,0.4946,0.2094
0.6415,0.4813,0.3087
0.6016,0.5702,0.3431
0.6351,0.5741,0.3646
0.7371,0.6804,0.5015
0.4653,0.5916,0.2753
0.4412,0.4819,0.2126
0.5119,0.6078,0.3111
0.6175,0.5490,0.3390
0.5200,0.6025,0.3133
0.5701,0.6119,0.3489
0.6359,0.5722,0.3639
0.4125,0.4387,0.1810
0.4359,0.6017,0.2623
0.4307,0.4460,0.1921
0.3827,0.4672,0.1788
0.6374,0.5440,0.3467
