faithfulness,naturalness,score
0.5164,0.4900,0.2531
0.5856,0.5487,0.3213
0.4893,0.4378,0.2142
0.7152,0.6477,0.4633
0.6096,0.6051,0.3689
0.5058,0.5700,0.2883
0.4878,0.5053,0.2465
0.5461,0.4208,0.2298
0.5676,0.4674,0.2653
0.6464,0.5924,0.3829
0.6432,0.5871,0.3776
0.5768,0.4709,0.2716
0.5089,0.6016,0.3062
0.5657,0.5812,0.3288
0.6070,0.5238,0.3180
0.5758,0.6341,0.3651
0.6749,0.5126,0.3460
0.5820,0.5756,0.3350
0.5747,0.4198,0.2413
0.6092,0.5624,0.3426
0.4936,0.5176,0.2555
0.5006,0.4400,0.2203
0.4786,0.4493,0.2150
0.5814,0.4562,0.2652
0.7085,0.5096,0.3611
0.5378,0.5487,0.2951
0.5042,0.5830,0.2939
0.5260,0.4247,0.2234
0.5342,0.4839,0.2585
0.4239,0.6028,0.2556
0.5425,0.6360,0.3450
0.6351,0.5000,0.3175
0.6033,0.5149,0.3106
0.5432,0.5770,0.3134
0.5813,0.6134,0.3566
0.5886,0.5731,0.3373
0.4233,0.5374,0.2275
0.6495,0.6087,0.3954
0.4571,0.5863,0.2680
0.5280,0.5945,0.3139
0.6794,0.5905,0.4012
0.4493,0.5460,0.2454
0.6816,0.5796,0.3951
0.5307,0.5367,0.2849
0.5524,0.4420,0.2441
0.6474,0.5302,0.3432
0.5771,0.4907,0.2832
0.5337,0.5375,0.2869
0.6330,0.5415,0.3428
0.6794,0.6036,0.4101
0.6572,0.6243,0.4103
0.6012,0.5160,0.3102
0.6263,0.5178,0.3243
0.4901,0.5093,0.2496
0.6340,0.5619,0.3563
0.7406,0.6221,0.4608
0.5963,0.5669,0.3380
0.6812,0.4655,0.3171
0.5916,0.5166,0.3056
0.5756,0.5540,0.3189
0.6194,0.4838,0.2996
0.5694,0.5803,0.3304
0.4445,0.5706,0.2536
0.5937,0.5252,0.3118
0.5346,0.5478,0.2928
0.7421,0.6910,0.5128
0.5715,0.5587,0.3193
0.5205,0.6571,0.3420
0.5982,0.5200,0.3110
0.5728,0.4604,0.2638
0.5008,0.5461,0.2735
0.5426,0.4891,0.2654
0.4186,0.4346,0.1819
0.4697,0.5625,0.2642
0.6500,0.5939,0.3860
0.6049,0.5330,0.3224
0.5321,0.4914,0.2615
0.5745,0.5275,0.3030
0.5968,0.5232,0.3123
0.6654,0.5206,0.3464
0.6194,0.4491,0.2782
0.6771,0.5494,0.3720
0.6619,0.4364,0.2889
0.4996,0.4291,0.2144
0.6130,0.4570,0.2802
0.5633,0.5459,0.3075
0.4267,0.5075,0.2166
0.4704,0.4199,0.1976
0.6083,0.5368,0.3265
0.6367,0.5499,0.3501
0.6330,0.5678,0.3595
0.4731,0.4586,0.2170
0.4520,0.5284,0.2389
0.6705,0.6241,0.4185
0.6443,0.4049,0.2609
0.4582,0.5873,0.2691
0.6593,0.5877,0.3875
0.4686,0.5762,0.2700
0.5889,0.4722,0.2781
0.6279,0.4758,0.2988
