faithfulness,naturalness,score
0.4576,0.5189,0.2375
0.7136,0.5609,0.4003
0.6568,0.5567,0.3656
0.3833,0.4245,0.1627
0.4847,0.6074,0.2944
0.6372,0.4940,0.3148
0.6748,0.5165,0.3485
0.4649,0.5244,0.2438
0.4614,0.5948,0.2744
0.5076,0.3384,0.1718
0.6697,0.4767,0.3192
0.4953,0.5786,0.2866
0.6238,0.5491,0.3426
0.4857,0.5493,0.2668
0.5785,0.4185,0.2421
0.4571,0.4383,0.2003
0.4368,0.5207,0.2275
0.4475,0.4565,0.2043
0.5032,0.4693,0.2362
0.7412,0.5063,0.3753
0.6717,0.4829,0.3244
0.5441,0.5229,0.2845
0.4484,0.5547,0.2487
0.5119,0.5754,0.2946
0.6241,0.5320,0.3320
0.5369,0.3418,0.1835
0.7899,0.6447,0.5092
0.5915,0.4312,0.2551
0.4096,0.4258,0.1744
0.7912,0.6273,0.4963
0.7241,0.5310,0.3845
0.5540,0.4812,0.2666
0.6306,0.3194,0.2014
0.5825,0.4239,0.2469
0.6588,0.5071,0.3341
0.5382,0.4541,0.2444
0.7483,0.5567,0.4166
0.5935,0.5106,0.3030
0.4155,0.5112,0.2124
0.5481,0.2966,0.1626
0.5541,0.4425,0.2451
0.4328,0.5253,0.2273
0.4799,0.3380,0.1622
0.4307,0.5044,0.2172
0.5545,0.4853,0.2691
0.4589,0.5734,0.2631
0.3933,0.5225,0.2055
0.6127,0.4997,0.3062
0.6420,0.4091,0.2626
0.6421,0.5215,0.3348
0.5324,0.4869,0.2592
0.5900,0.5697,0.3361
0.5031,0.4579,0.2303
0.6503,0.4584,0.2981
0.7251,0.6579,0.4771
0.8442,0.6085,0.5137
0.8761,0.6988,0.6122
0.5175,0.4839,0.2505
0.7295,0.5358,0.3909
0.7308,0.5074,0.3708
0.3726,0.6196,0.2309
0.5522,0.3933,0.2171
0.6282,0.4843,0.3042
0.3392,0.3297,0.1118
0.6093,0.5251,0.3199
0.5600,0.4579,0.2564
0.4568,0.5874,0.2683
0.4899,0.5096,0.2496
0.3905,0.4589,0.1792
0.4730,0.6541,0.3094
0.5171,0.5544,0.2867
0.4469,0.4745,0.2120
0.5219,0.4249,0.2217
0.6136,0.4425,0.2715
0.5265,0.4866,0.2562
0.5351,0.6031,0.3227
0.4659,0.5167,0.2407
0.5162,0.4543,0.2345
0.5365,0.4885,0.2621
0.3541,0.4280,0.1515
0.6501,0.4690,0.3049
0.7561,0.5284,0.3995
0.7418,0.5540,0.4109
0.4432,0.5863,0.2598
0.4059,0.5837,0.2369
0.4187,0.5495,0.2300
0.4065,0.4372,0.1777
0.3719,0.5704,0.2121
0.4817,0.3803,0.1832
0.5099,0.5196,0.2650
0.5668,0.4546,0.2577
0.5110,0.4442,0.2270
0.6648,0.6175,0.4105
0.4638,0.4943,0.2293
0.5911,0.5005,0.2959
0.5680,0.4863,0.2762
0.5376,0.4385,0.2357
0.3748,0.4834,0.1812
0.5004,0.4547,0.2275
0.3845,0.4806,0.1848
