faithfulness,naturalness,score
0.7701,0.5110,0.3935
0.7645,0.4924,0.3764
0.7770,0.5451,0.4235
0.7701,0.5363,0.4131
0.8733,0.5975,0.5218
0.7901,0.5714,0.4515
0.8623,0.6113,0.5272
0.7967,0.5712,0.4551
0.7659,0.5842,0.4474
0.7948,0.5531,0.4396
0.7964,0.4906,0.3907
0.8039,0.5463,0.4392
0.8170,0.5208,0.4254
0.7528,0.5253,0.3954
0.7880,0.5108,0.4025
0.8373,0.5651,0.4732
0.7946,0.5825,0.4629
0.6926,0.4376,0.3030
0.8501,0.5846,0.4969
0.7696,0.5258,0.4046
0.7944,0.5456,0.4334
0.7724,0.4982,0.3848
0.7592,0.5036,0.3824
0.7605,0.4524,0.3440
0.8028,0.5363,0.4306
0.7879,0.5220,0.4113
0.8590,0.5676,0.4876
0.7217,0.5058,0.3650
0.6756,0.4572,0.3089
0.7278,0.4845,0.3526
0.6430,0.4528,0.2912
0.8048,0.6009,0.4836
0.8237,0.5798,0.4776
0.8843,0.6295,0.5566
0.8082,0.5533,0.4472
0.8676,0.5834,0.5062
0.8445,0.6097,0.5149
0.7305,0.4441,0.3244
0.7971,0.5458,0.4350
0.8033,0.5470,0.4394
0.8626,0.6087,0.5250
0.7928,0.5081,0.4028
0.7311,0.4636,0.3389
0.7210,0.4358,0.3142
0.8054,0.5568,0.4484
0.7537,0.5142,0.3875
0.7721,0.5664,0.4373
0.8736,0.6055,0.5290
0.8695,0.5563,0.4838
0.8097,0.5314,0.4303
0.7702,0.4897,0.3771
0.7968,0.5471,0.4359
0.7712,0.5126,0.3953
0.8540,0.5881,0.5022
0.7804,0.5007,0.3908
0.8357,0.5881,0.4915
0.8160,0.5401,0.4407
0.7495,0.5356,0.4014
0.8415,0.5394,0.4539
0.7527,0.5170,0.3891
0.7030,0.5422,0.3812
0.8262,0.5728,0.4732
0.8386,0.6245,0.5237
0.8012,0.5329,0.4270
0.8116,0.5854,0.4751
0.8106,0.5861,0.4750
0.8155,0.5702,0.4650
0.7797,0.5495,0.4285
0.8400,0.5716,0.4801
0.8680,0.6658,0.5779
0.8181,0.5312,0.4346
0.7827,0.5794,0.4535
0.7886,0.5304,0.4183
0.7607,0.4739,0.3605
0.8050,0.5521,0.4445
0.7560,0.4994,0.3775
0.7860,0.5552,0.4364
0.7916,0.5352,0.4237
0.7730,0.4968,0.3840
0.7767,0.5279,0.4100
0.8213,0.5810,0.4772
0.8639,0.5734,0.4954
0.7723,0.5821,0.4496
0.8509,0.5410,0.4604
0.8468,0.6127,0.5188
0.8477,0.5682,0.4817
0.8466,0.5481,0.4640
0.7777,0.5472,0.4256
0.7950,0.5070,0.4031
0.7539,0.4930,0.3717
0.8143,0.5799,0.4722
0.9206,0.6475,0.5961
0.7801,0.5290,0.4127
0.8160,0.5280,0.4309
0.8358,0.5223,0.4365
0.7912,0.5461,0.4320
0.8290,0.5897,0.4888
0.8491,0.5487,0.4659
0.7267,0.5179,0.3764
0.7641,0.5182,0.3960
