faithfulness,naturalness,score
0.5492,0.4613,0.2533
0.4795,0.5248,0.2517
0.4778,0.3917,0.1872
0.4483,0.5123,0.2296
0.3970,0.4934,0.1959
0.3915,0.4693,0.1837
0.4532,0.5301,0.2402
0.5087,0.5156,0.2623
0.5188,0.5300,0.2750
0.3947,0.4652,0.1836
0.4757,0.4332,0.2061
0.4656,0.5556,0.2587
0.4454,0.4072,0.1813
0.5470,0.5805,0.3175
0.4079,0.4389,0.1790
0.4997,0.4636,0.2317
0.4395,0.4963,0.2181
0.5168,0.6500,0.3359
0.6955,0.4635,0.3224
0.6553,0.6082,0.3985
0.5926,0.6067,0.3595
0.4298,0.5104,0.2194
0.4929,0.5632,0.2776
0.4268,0.4549,0.1941
0.5770,0.4747,0.2739
0.4545,0.4931,0.2241
0.4618,0.4818,0.2225
0.4333,0.5741,0.2488
0.4472,0.4608,0.2061
0.4540,0.5300,0.2406
0.4488,0.5603,0.2514
0.5010,0.4922,0.2466
0.4839,0.5168,0.2501
0.5426,0.5651,0.3067
0.5090,0.4070,0.2071
0.4535,0.5431,0.2463
0.5057,0.6601,0.3338
0.3825,0.4551,0.1741
0.4318,0.5539,0.2392
0.6150,0.5292,0.3255
0.4705,0.5109,0.2404
0.3635,0.5597,0.2035
0.5146,0.5158,0.2654
0.3976,0.5130,0.2040
0.4963,0.6467,0.3210
0.5396,0.4825,0.2603
0.4642,0.5333,0.2475
0.4393,0.4914,0.2159
0.4687,0.4789,0.2245
0.5060,0.5378,0.2722
0.5356,0.5290,0.2833
0.4271,0.5272,0.2252
0.4035,0.4531,0.1828
0.5460,0.5373,0.2933
0.5352,0.5779,0.3093
0.4151,0.5966,0.2477
0.3852,0.4437,0.1709
0.5610,0.5781,0.3243
0.6770,0.6377,0.4317
0.4653,0.4580,0.2131
0.5183,0.5621,0.2913
0.4387,0.4203,0.1844
0.4870,0.5365,0.2613
0.5108,0.5785,0.2955
0.5249,0.5560,0.2918
0.6192,0.5378,0.3330
0.4280,0.4375,0.1873
0.4431,0.3083,0.1366
0.4630,0.5045,0.2336
0.4402,0.4803,0.2114
0.5937,0.6721,0.3990
0.4454,0.4854,0.2162
0.6111,0.5075,0.3101
0.3972,0.4894,0.1944
0.5657,0.4505,0.2548
0.4967,0.4996,0.2482
0.3949,0.5202,0.2054
0.5353,0.6272,0.3357
0.4808,0.4636,0.2229
0.3898,0.4947,0.1928
0.5044,0.6446,0.3252
0.4819,0.4442,0.2141
0.3995,0.5023,0.2007
0.4600,0.5128,0.2359
0.5199,0.5108,0.2655
0.5039,0.5201,0.2621
0.4057,0.5088,0.2064
0.4624,0.5069,0.2344
0.4693,0.5220,0.2449
0.5073,0.5148,0.2612
0.3808,0.4958,0.1888
0.5614,0.6106,0.3428
0.4558,0.5357,0.2442
0.4747,0.5312,0.2522
0.3536,0.5141,0.1818
0.3965,0.4148,0.1645
0.5936,0.5501,0.3265
0.4001,0.4666,0.1867
0.4285,0.4971,0.2130
0.4574,0.4884,0.2234
