faithfulness,naturalness,score
0.6255,0.6229,0.3896
0.5600,0.5127,0.2871
0.5521,0.5028,0.2776
0.5678,0.4976,0.2825
0.5284,0.6015,0.3178
0.5819,0.4140,0.2409
0.4261,0.4808,0.2049
0.5896,0.5699,0.3360
0.4569,0.5161,0.2358
0.5540,0.5032,0.2788
0.5911,0.5849,0.3458
0.6006,0.6079,0.3651
0.5568,0.4679,0.2605
0.5954,0.5270,0.3138
0.5053,0.5204,0.2630
0.5411,0.6284,0.3400
0.5618,0.5325,0.2991
0.4729,0.5594,0.2645
0.6414,0.5659,0.3630
0.6663,0.7338,0.4889
0.5894,0.5407,0.3187
0.6440,0.6136,0.3951
0.6759,0.6103,0.4124
0.4204,0.5233,0.2200
0.6746,0.5797,0.3910
0.5840,0.5378,0.3141
0.6753,0.5239,0.3538
0.6031,0.6143,0.3705
0.6049,0.5424,0.3281
0.6563,0.5714,0.3750
0.5993,0.5469,0.3277
0.6368,0.5460,0.3477
0.4321,0.5228,0.2259
0.4745,0.5552,0.2634
0.5687,0.5215,0.2965
0.5234,0.6350,0.3324
0.6793,0.5830,0.3960
0.4984,0.5096,0.2540
0.5564,0.5454,0.3034
0.5447,0.5716,0.3114
0.6095,0.5446,0.3320
0.5047,0.5930,0.2993
0.5483,0.5518,0.3026
0.4777,0.5023,0.2399
0.5447,0.5252,0.2861
0.5889,0.5737,0.3379
0.6439,0.5150,0.3316
0.5539,0.6409,0.3550
0.5110,0.5598,0.2860
0.5227,0.4813,0.2515
0.5303,0.5267,0.2793
0.5231,0.5882,0.3077
0.6885,0.6028,0.4150
0.6351,0.6311,0.4008
0.6486,0.4957,0.3215
0.6359,0.5700,0.3625
0.5670,0.5935,0.3365
0.6075,0.5903,0.3586
0.4952,0.5012,0.2482
0.4633,0.5572,0.2582
0.5811,0.5205,0.3025
0.5695,0.5276,0.3004
0.5603,0.6461,0.3620
0.5448,0.5600,0.3050
0.5795,0.5921,0.3431
0.7097,0.6226,0.4419
0.5817,0.5705,0.3319
0.4442,0.5113,0.2271
0.6272,0.5091,0.3193
0.5916,0.5151,0.3047
0.5880,0.4998,0.2939
0.4922,0.5025,0.2474
0.5184,0.6453,0.3345
0.5021,0.6713,0.3371
0.5961,0.5384,0.3210
0.5218,0.5802,0.3028
0.6525,0.5644,0.3683
0.5893,0.5787,0.3410
0.5251,0.6242,0.3278
0.5880,0.5826,0.3426
0.5274,0.6211,0.3276
0.4998,0.5843,0.2920
0.5713,0.5391,0.3080
0.6090,0.5881,0.3582
0.6038,0.5972,0.3606
0.5403,0.6200,0.3350
0.5951,0.5705,0.3395
0.5215,0.6169,0.3217
0.6073,0.5601,0.3401
0.7234,0.5530,0.4000
0.5585,0.5963,0.3330
0.6851,0.5376,0.3683
0.6535,0.5308,0.3469
0.7316,0.5867,0.4292
0.4957,0.5092,0.2524
0.5694,0.5051,0.2876
0.5567,0.5294,0.2948
0.5458,0.6032,0.3292
0.5204,0.4328,0.2252
0.5543,0.5825,0.3228
