faithfulness,naturalness,score
0.6557,0.4963,0.3254
0.8100,0.6547,0.5303
0.7367,0.6367,0.4691
0.7342,0.6003,0.4408
0.7393,0.5952,0.4400
0.7698,0.6612,0.5089
0.6604,0.5472,0.3614
0.7544,0.6452,0.4867
0.7577,0.6196,0.4694
0.7875,0.6304,0.4964
0.7626,0.6351,0.4843
0.7407,0.5810,0.4303
0.7036,0.5685,0.4000
0.6976,0.5076,0.3541
0.7435,0.6027,0.4481
0.7576,0.6307,0.4778
0.7497,0.5916,0.4435
0.8209,0.7164,0.5881
0.7793,0.6146,0.4790
0.7320,0.6519,0.4772
0.7762,0.6374,0.4948
0.6633,0.5508,0.3653
0.7905,0.6737,0.5326
0.7661,0.6090,0.4665
0.7921,0.6603,0.5230
0.7778,0.5966,0.4640
0.7819,0.6638,0.5190
0.7340,0.7018,0.5151
0.7768,0.6028,0.4683
0.7434,0.6151,0.4572
0.7775,0.6267,0.4873
0.7591,0.5817,0.4416
0.7365,0.5607,0.4130
0.7635,0.5815,0.4440
0.7170,0.6600,0.4732
0.7422,0.6272,0.4655
0.7524,0.6091,0.4583
0.7684,0.6283,0.4828
0.7419,0.5984,0.4439
0.7921,0.6349,0.5029
0.7857,0.6342,0.4983
0.7219,0.5446,0.3931
0.7493,0.6189,0.4638
0.7032,0.5293,0.3722
0.7483,0.6667,0.4989
0.7267,0.6111,0.4441
0.7416,0.6703,0.4971
0.7328,0.6242,0.4574
0.7514,0.5881,0.4419
0.8074,0.6443,0.5202
0.6618,0.5120,0.3389
0.7640,0.6004,0.4587
0.7541,0.6077,0.4583
0.7656,0.6270,0.4801
0.7426,0.6183,0.4592
0.7499,0.6327,0.4745
0.7686,0.6187,0.4755
0.7810,0.6285,0.4909
0.7990,0.6809,0.5440
0.7405,0.6297,0.4663
0.7812,0.6516,0.5090
0.6806,0.5474,0.3726
0.7789,0.6468,0.5038
0.7322,0.6198,0.4538
0.6908,0.5694,0.3933
0.7386,0.5961,0.4403
0.7472,0.5823,0.4351
0.7436,0.5928,0.4408
0.7783,0.6679,0.5198
0.7323,0.6141,0.4497
0.6720,0.5474,0.3679
0.7648,0.6228,0.4763
0.7374,0.6334,0.4671
0.7072,0.5718,0.4044
0.7476,0.6238,0.4663
0.7441,0.6205,0.4617
0.7545,0.5594,0.4221
0.7108,0.6124,0.4353
0.7764,0.6232,0.4838
0.7602,0.6528,0.4963
0.7765,0.5857,0.4548
0.7957,0.6406,0.5097
0.7821,0.6097,0.4768
0.7454,0.5504,0.4103
0.7024,0.5840,0.4102
0.7684,0.6237,0.4792
0.7470,0.5506,0.4113
0.7270,0.6403,0.4655
0.6817,0.5855,0.3991
0.7473,0.5914,0.4419
0.7896,0.6608,0.5218
0.7229,0.5589,0.4041
0.7562,0.6109,0.4619
0.6940,0.5605,0.3890
0.7367,0.6010,0.4428
0.7259,0.6535,0.4744
0.7875,0.6436,0.5068
0.7258,0.5593,0.4059
0.7707,0.6010,0.4632
0.7286,0.5777,0.4209
