faithfulness,naturalness,score
0.6267,0.5489,0.3440
0.5207,0.4455,0.2319
0.5189,0.5217,0.2707
0.6089,0.5616,0.3420
0.6694,0.6022,0.4032
0.5864,0.5787,0.3393
0.5296,0.5307,0.2811
0.5794,0.4748,0.2751
0.5811,0.3805,0.2211
0.4735,0.4609,0.2182
0.7063,0.5182,0.3660
0.5513,0.4834,0.2665
0.7569,0.6073,0.4597
0.5397,0.5023,0.2711
0.6088,0.4857,0.2957
0.5293,0.3839,0.2032
0.7131,0.6095,0.4347
0.6341,0.5088,0.3226
0.5647,0.4961,0.2801
0.5256,0.4454,0.2341
0.4540,0.4236,0.1923
0.5661,0.4971,0.2814
0.4767,0.4538,0.2163
0.5171,0.4645,0.2402
0.6603,0.5228,0.3452
0.4857,0.5010,0.2434
0.6074,0.4619,0.2806
0.4697,0.4391,0.2063
0.5696,0.5084,0.2896
0.5001,0.5250,0.2625
0.5010,0.4981,0.2496
0.6129,0.4727,0.2897
0.6108,0.5304,0.3240
0.6658,0.5415,0.3605
0.6845,0.4983,0.3411
0.5347,0.4890,0.2614
0.5849,0.5319,0.3111
0.7110,0.5096,0.3623
0.5995,0.4459,0.2673
0.6846,0.5405,0.3700
0.6333,0.5666,0.3589
0.4867,0.5123,0.2493
0.5069,0.4905,0.2486
0.5834,0.4388,0.2560
0.6036,0.5008,0.3023
0.6678,0.4580,0.3059
0.4115,0.4193,0.1726
0.5923,0.5590,0.3311
0.4972,0.4623,0.2299
0.5747,0.4631,0.2661
0.5850,0.4927,0.2882
0.6383,0.4772,0.3046
0.5321,0.4937,0.2627
0.5379,0.4896,0.2634
0.7298,0.5263,0.3841
0.5194,0.4046,0.2102
0.5493,0.4396,0.2415
0.5341,0.5249,0.2803
0.6600,0.4496,0.2967
0.4558,0.4246,0.1936
0.7066,0.5459,0.3857
0.5699,0.5384,0.3068
0.5040,0.4723,0.2380
0.7702,0.6377,0.4912
0.5176,0.5403,0.2796
0.5410,0.4631,0.2505
0.6279,0.5447,0.3420
0.6475,0.4457,0.2886
0.6180,0.4829,0.2985
0.5628,0.4815,0.2710
0.6924,0.6171,0.4273
0.6415,0.5528,0.3547
0.6273,0.4723,0.2963
0.6737,0.4811,0.3241
0.5398,0.4992,0.2694
0.5241,0.4734,0.2481
0.4958,0.4763,0.2361
0.5921,0.4538,0.2687
0.5033,0.5197,0.2616
0.5498,0.5147,0.2830
0.6283,0.4655,0.2925
0.7367,0.5011,0.3692
0.5574,0.4589,0.2558
0.7081,0.4991,0.3534
0.5937,0.5719,0.3396
0.5690,0.4959,0.2822
0.5873,0.5371,0.3154
0.6473,0.4973,0.3219
0.5026,0.4837,0.2431
0.6861,0.4393,0.3014
0.5165,0.4547,0.2348
0.7365,0.5717,0.4211
0.5926,0.5143,0.3048
0.6367,0.5618,0.3577
0.6701,0.4671,0.3130
0.5480,0.5462,0.2993
0.6997,0.5784,0.4047
0.6400,0.4871,0.3118
0.7192,0.5266,0.3787
0.6355,0.5955,0.3785
