faithfulness,naturalness,score
0.5829,0.4612,0.2688
0.6762,0.4586,0.3101
0.6096,0.4383,0.2672
0.6823,0.5472,0.3733
0.6190,0.4380,0.2711
0.6848,0.4973,0.3405
0.5738,0.4252,0.2440
0.6694,0.5653,0.3784
0.7618,0.5152,0.3925
0.7158,0.5199,0.3722
0.6953,0.5553,0.3861
0.5058,0.4716,0.2385
0.5923,0.4587,0.2717
0.6025,0.5040,0.3037
0.5712,0.4806,0.2746
0.6812,0.5672,0.3864
0.6805,0.4732,0.3220
0.6674,0.4785,0.3194
0.6826,0.4889,0.3337
0.6386,0.4387,0.2801
0.6629,0.5065,0.3358
0.6121,0.4583,0.2805
0.6851,0.5426,0.3717
0.6644,0.4998,0.3321
0.6775,0.5158,0.3495
0.7047,0.4981,0.3510
0.7269,0.5863,0.4262
0.6579,0.4943,0.3252
0.6962,0.5105,0.3554
0.6543,0.5103,0.3339
0.5474,0.4135,0.2263
0.7061,0.5479,0.3869
0.6672,0.5210,0.3476
0.5659,0.4309,0.2438
0.7034,0.5250,0.3693
0.6633,0.5407,0.3587
0.5809,0.4410,0.2562
0.6711,0.4479,0.3005
0.6504,0.4735,0.3080
0.6890,0.5218,0.3595
0.6894,0.5225,0.3602
0.7241,0.4968,0.3597
0.7132,0.5049,0.3601
0.5568,0.5601,0.3118
0.5720,0.4779,0.2734
0.5069,0.4511,0.2287
0.5657,0.5195,0.2939
0.7256,0.5238,0.3800
0.6459,0.4873,0.3148
0.7612,0.5830,0.4438
0.6300,0.4729,0.2979
0.6908,0.5405,0.3734
0.7105,0.5312,0.3774
0.6716,0.4919,0.3303
0.6752,0.5132,0.3465
0.7336,0.5030,0.3690
0.6724,0.4997,0.3360
0.7075,0.5359,0.3791
0.7230,0.5408,0.3910
0.7179,0.4764,0.3420
0.6798,0.4733,0.3218
0.6794,0.5326,0.3619
0.6725,0.4981,0.3350
0.6375,0.4978,0.3173
0.6802,0.4960,0.3374
0.6578,0.5191,0.3415
0.7734,0.5870,0.4540
0.6830,0.5024,0.3431
0.6948,0.5501,0.3822
0.5990,0.4388,0.2629
0.6819,0.5373,0.3664
0.7078,0.5248,0.3715
0.6924,0.5546,0.3840
0.5592,0.4026,0.2252
0.6934,0.5291,0.3668
0.6591,0.5492,0.3620
0.6584,0.4327,0.2849
0.6825,0.5089,0.3473
0.7240,0.5380,0.3895
0.7802,0.5963,0.4653
0.6829,0.4965,0.3391
0.6556,0.4929,0.3231
0.6553,0.4552,0.2983
0.6800,0.5252,0.3571
0.6426,0.4333,0.2785
0.6964,0.5048,0.3516
0.6816,0.5174,0.3526
0.6462,0.4195,0.2711
0.7164,0.5960,0.4270
0.6956,0.5387,0.3747
0.6933,0.5241,0.3633
0.6675,0.4747,0.3169
0.6355,0.5655,0.3594
0.5673,0.4654,0.2640
0.6703,0.5236,0.3510
0.6897,0.5149,0.3551
0.6805,0.4924,0.3351
0.6769,0.4981,0.3372
0.6996,0.5008,0.3503
0.7290,0.5398,0.3935
