faithfulness,naturalness,score
0.6986,0.5476,0.3825
0.8214,0.6081,0.4995
0.7127,0.4806,0.3425
0.7144,0.4493,0.3210
0.9145,0.6475,0.5922
0.8156,0.5610,0.4576
0.7927,0.6092,0.4829
0.7115,0.5480,0.3899
0.8104,0.5513,0.4468
0.7097,0.5388,0.3824
0.7056,0.5823,0.4109
0.8034,0.5948,0.4779
0.7704,0.5863,0.4517
0.6550,0.5734,0.3756
0.7764,0.5150,0.3998
0.8633,0.5991,0.5172
0.8889,0.6092,0.5415
0.6796,0.4287,0.2914
0.8787,0.6221,0.5467
0.7884,0.5409,0.4265
0.7471,0.5371,0.4013
0.8185,0.5442,0.4454
0.8009,0.5699,0.4565
0.6188,0.3998,0.2474
0.8184,0.5661,0.4633
0.8457,0.5508,0.4658
0.7436,0.5350,0.3978
0.6902,0.4966,0.3427
0.6963,0.4772,0.3323
0.7607,0.5657,0.4304
0.7323,0.4919,0.3603
0.8114,0.6003,0.4871
0.8180,0.5442,0.4452
0.9292,0.5823,0.5411
0.7614,0.5210,0.3967
0.8279,0.6353,0.5259
0.8419,0.6111,0.5145
0.7211,0.5859,0.4225
0.7728,0.5183,0.4006
0.8457,0.6007,0.5080
0.9182,0.6654,0.6110
0.8197,0.5731,0.4698
0.7125,0.4494,0.3202
0.7368,0.5068,0.3734
0.8545,0.6413,0.5480
0.7739,0.5251,0.4064
0.8108,0.5579,0.4524
0.8807,0.6448,0.5678
0.7961,0.4958,0.3947
0.7889,0.5520,0.4355
0.7696,0.5342,0.4112
0.7974,0.5677,0.4526
0.7698,0.5516,0.4246
0.8049,0.5122,0.4122
0.7226,0.4831,0.3490
0.8783,0.6255,0.5493
0.7552,0.5257,0.3970
0.7382,0.5126,0.3784
0.8715,0.6554,0.5712
0.8248,0.5752,0.4744
0.7723,0.5782,0.4465
0.7822,0.5642,0.4414
0.8621,0.6256,0.5393
0.7964,0.5813,0.4629
0.8232,0.5511,0.4537
0.8823,0.6039,0.5328
0.7793,0.6113,0.4764
0.7606,0.5699,0.4335
0.8680,0.6264,0.5437
0.7735,0.5965,0.4614
0.8439,0.5948,0.5019
0.7591,0.5277,0.4006
0.8009,0.5922,0.4743
0.6649,0.5661,0.3764
0.6817,0.4612,0.3144
0.7750,0.5489,0.4254
0.8137,0.5627,0.4579
0.7555,0.5713,0.4316
0.7017,0.4681,0.3284
0.8171,0.5449,0.4452
0.7815,0.5188,0.4055
0.8021,0.5113,0.4101
0.8282,0.5542,0.4590
0.8096,0.5671,0.4591
0.8599,0.6225,0.5353
0.7639,0.6178,0.4720
0.8395,0.5664,0.4755
0.8342,0.5892,0.4915
0.7164,0.5014,0.3592
0.7774,0.5535,0.4303
0.8048,0.5396,0.4343
0.9091,0.6452,0.5866
0.6292,0.3830,0.2410
0.8667,0.6082,0.5271
0.8219,0.5848,0.4806
0.7645,0.5635,0.4308
0.8581,0.6640,0.5698
0.8276,0.5636,0.4665
0.7852,0.5860,0.4601
0.8020,0.5846,0.4689
