faithfulness,naturalness,score
0.3497,0.4045,0.1414
0.3551,0.3309,0.1175
0.3621,0.4958,0.1795
0.4642,0.4971,0.2308
0.5734,0.5154,0.2955
0.3762,0.4106,0.1545
0.3447,0.4307,0.1485
0.4435,0.4379,0.1942
0.5028,0.4758,0.2393
0.2864,0.4698,0.1345
0.6017,0.4706,0.2832
0.4490,0.4638,0.2082
0.3700,0.4184,0.1548
0.3491,0.4973,0.1736
0.4342,0.3935,0.1709
0.4567,0.4993,0.2280
0.3815,0.3944,0.1504
0.5075,0.3810,0.1934
0.5369,0.4157,0.2232
0.6229,0.5102,0.3178
0.3706,0.4693,0.1739
0.5444,0.4282,0.2331
0.6428,0.4113,0.2644
0.4674,0.3567,0.1667
0.3350,0.3854,0.1291
0.5216,0.4521,0.2358
0.4624,0.5183,0.2396
0.3170,0.4170,0.1322
0.5297,0.4820,0.2553
0.3754,0.4369,0.1640
0.3646,0.5262,0.1919
0.4544,0.5801,0.2636
0.4212,0.4160,0.1752
0.3667,0.3852,0.1412
0.4709,0.5049,0.2378
0.4323,0.5043,0.2180
0.3350,0.4579,0.1534
0.4317,0.4247,0.1834
0.5827,0.5497,0.3203
0.5433,0.4912,0.2669
0.4131,0.4518,0.1867
0.3848,0.4032,0.1552
0.2856,0.4550,0.1299
0.4099,0.4531,0.1857
0.3409,0.4240,0.1445
0.4114,0.4724,0.1944
0.3767,0.4213,0.1587
0.3568,0.3799,0.1356
0.3369,0.4677,0.1576
0.4286,0.5433,0.2329
0.4484,0.4467,0.2003
0.4812,0.4319,0.2078
0.3904,0.3539,0.1382
0.5076,0.4971,0.2523
0.4892,0.3802,0.1860
0.4110,0.4244,0.1744
0.4336,0.5178,0.2245
0.4949,0.5143,0.2546
0.6216,0.5954,0.3701
0.4715,0.4721,0.2226
0.6181,0.4239,0.2620
0.3632,0.4786,0.1738
0.3357,0.4448,0.1493
0.2922,0.3175,0.0928
0.5566,0.4119,0.2293
0.3987,0.4453,0.1775
0.5381,0.5225,0.2812
0.5868,0.4834,0.2837
0.5170,0.3874,0.2003
0.4515,0.5492,0.2480
0.5382,0.4823,0.2596
0.5452,0.4537,0.2473
0.4823,0.3940,0.1900
0.4509,0.4409,0.1988
0.4971,0.4705,0.2339
0.5434,0.4635,0.2518
0.4250,0.3495,0.1485
0.5174,0.4826,0.2497
0.5126,0.4500,0.2307
0.3401,0.5066,0.1723
0.4662,0.4234,0.1974
0.3446,0.4514,0.1555
0.4188,0.5067,0.2122
0.2872,0.3835,0.1101
0.5016,0.3840,0.1926
0.4126,0.4614,0.1904
0.6346,0.5236,0.3322
0.5548,0.5522,0.3063
0.4716,0.3522,0.1661
0.3139,0.4099,0.1287
0.5141,0.4680,0.2406
0.4877,0.3965,0.1934
0.4546,0.4223,0.1920
0.4805,0.3869,0.1859
0.3997,0.4663,0.1864
0.6209,0.5351,0.3322
0.3991,0.3768,0.1504
0.3254,0.4820,0.1568
0.3855,0.4626,0.1783
0.3159,0.5536,0.1748
