faithfulness,naturalness,score
0.7507,0.6198,0.4653
0.6970,0.5780,0.4029
0.7393,0.6335,0.4683
0.7295,0.5425,0.3958
0.7578,0.5999,0.4546
0.7468,0.6299,0.4704
0.7559,0.6172,0.4666
0.7433,0.6383,0.4745
0.7143,0.5826,0.4162
0.7200,0.5809,0.4183
0.7563,0.6654,0.5033
0.7437,0.6059,0.4506
0.7041,0.5589,0.3936
0.7368,0.6281,0.4628
0.7026,0.5956,0.4184
0.7825,0.6213,0.4862
0.7738,0.6683,0.5172
0.6718,0.5498,0.3693
0.6923,0.5616,0.3888
0.7478,0.6112,0.4570
0.7369,0.6229,0.4590
0.7409,0.6229,0.4615
0.7359,0.5460,0.4018
0.7328,0.5705,0.4180
0.7786,0.6354,0.4947
0.7334,0.5804,0.4257
0.7567,0.6207,0.4697
0.7210,0.5975,0.4308
0.7492,0.6488,0.4860
0.7223,0.6264,0.4524
0.7450,0.6189,0.4611
0.7310,0.5720,0.4181
0.7107,0.5986,0.4254
0.7330,0.5828,0.4271
0.6739,0.5515,0.3716
0.7346,0.5549,0.4076
0.7432,0.5134,0.3816
0.7122,0.5069,0.3610
0.7119,0.6211,0.4421
0.7364,0.5885,0.4333
0.7395,0.6440,0.4763
0.7650,0.5971,0.4568
0.7289,0.5348,0.3898
0.7446,0.6127,0.4562
0.7380,0.6199,0.4574
0.7099,0.5389,0.3825
0.6706,0.5191,0.3481
0.7722,0.6302,0.4867
0.7709,0.6509,0.5018
0.7697,0.6419,0.4941
0.6980,0.5581,0.3896
0.7065,0.5744,0.4058
0.7198,0.5823,0.4192
0.7014,0.5744,0.4029
0.7725,0.6727,0.5196
0.6647,0.5415,0.3600
0.7066,0.5870,0.4148
0.7543,0.6246,0.4711
0.7924,0.6557,0.5196
0.7558,0.6496,0.4910
0.7266,0.5758,0.4184
0.7566,0.6010,0.4547
0.7234,0.6261,0.4529
0.7446,0.6049,0.4505
0.7515,0.6578,0.4943
0.7422,0.5768,0.4281
0.7602,0.6275,0.4770
0.7295,0.5516,0.4024
0.7302,0.5807,0.4240
0.7083,0.5746,0.4070
0.7442,0.6106,0.4544
0.7173,0.6138,0.4403
0.7428,0.6203,0.4607
0.6993,0.5599,0.3916
0.7150,0.6082,0.4348
0.7761,0.6457,0.5012
0.7561,0.6095,0.4609
0.7613,0.6318,0.4810
0.6991,0.6209,0.4341
0.7693,0.6756,0.5198
0.7182,0.5888,0.4228
0.7746,0.6336,0.4908
0.7699,0.6521,0.5020
0.7185,0.5776,0.4150
0.7324,0.6027,0.4414
0.7115,0.5868,0.4175
0.7186,0.6026,0.4330
0.7036,0.5766,0.4057
0.6694,0.5989,0.4009
0.7524,0.6142,0.4621
0.7701,0.6551,0.5045
0.6527,0.5237,0.3418
0.7648,0.6315,0.4830
0.7463,0.5983,0.4465
0.7457,0.6060,0.4519
0.7047,0.5552,0.3913
0.7744,0.7006,0.5425
0.7095,0.5869,0.4164
0.7268,0.5514,0.4008
0.7119,0.5657,0.4027
