faithfulness,naturalness,score
0.5975,0.5255,0.3140
0.6799,0.5726,0.3893
0.6693,0.6004,0.4018
0.6498,0.6142,0.3991
0.6972,0.5936,0.4139
0.6773,0.5571,0.3773
0.7133,0.6174,0.4404
0.6247,0.5954,0.3719
0.7241,0.6204,0.4492
0.6752,0.6648,0.4489
0.8020,0.7207,0.5780
0.5469,0.5009,0.2739
0.6159,0.5892,0.3629
0.4755,0.5439,0.2586
0.4063,0.5561,0.2260
0.6090,0.6545,0.3986
0.5532,0.5693,0.3149
0.6738,0.6461,0.4353
0.3373,0.4588,0.1547
0.5611,0.6131,0.3440
0.5574,0.5739,0.3199
0.4563,0.5748,0.2623
0.5764,0.5493,0.3167
0.5532,0.6405,0.3543
0.5564,0.5825,0.3241
0.5212,0.5882,0.3066
0.5499,0.5762,0.3168
0.4849,0.5530,0.2682
0.5143,0.6004,0.3088
0.6035,0.5889,0.3554
0.5831,0.5408,0.3154
0.4824,0.5121,0.2471
0.6088,0.5858,0.3567
0.5736,0.6204,0.3559
0.5583,0.5742,0.3206
0.5782,0.5763,0.3332
0.6249,0.5242,0.3276
0.5544,0.5571,0.3089
0.5984,0.6109,0.3656
0.7166,0.5953,0.4266
0.5425,0.6127,0.3324
0.6268,0.6276,0.3934
0.5860,0.5512,0.3230
0.5915,0.6499,0.3844
0.6295,0.6641,0.4181
0.5860,0.5882,0.3447
0.6897,0.6472,0.4464
0.4930,0.5868,0.2893
0.7393,0.7197,0.5321
0.4879,0.5330,0.2601
0.5122,0.4697,0.2406
0.4349,0.5484,0.2385
0.6336,0.6502,0.4120
0.6397,0.5662,0.3622
0.7007,0.6228,0.4364
0.4088,0.5737,0.2345
0.7970,0.7443,0.5932
0.4316,0.4869,0.2102
0.6602,0.6592,0.4352
0.6336,0.5524,0.3500
0.4500,0.5449,0.2452
0.5922,0.5595,0.3313
0.6614,0.6402,0.4234
0.4749,0.4964,0.2357
0.5687,0.5285,0.3005
0.4302,0.5829,0.2507
0.5629,0.5596,0.3150
0.6422,0.6485,0.4165
0.6190,0.6083,0.3765
0.4911,0.5370,0.2637
0.5209,0.6021,0.3136
0.5967,0.5642,0.3367
0.5249,0.5586,0.2932
0.7231,0.6443,0.4659
0.6827,0.6535,0.4462
0.5095,0.5823,0.2967
0.6113,0.6249,0.3820
0.6451,0.6140,0.3961
0.7156,0.7327,0.5243
0.6474,0.6169,0.3994
0.5775,0.6313,0.3646
0.6335,0.6316,0.4001
0.6321,0.6258,0.3956
0.5254,0.5784,0.3039
0.5508,0.6238,0.3436
0.3889,0.4357,0.1694
0.5773,0.5044,0.2912
0.6336,0.6118,0.3876
0.4732,0.5241,0.2480
0.6365,0.6045,0.3848
0.6546,0.5851,0.3830
0.3853,0.5354,0.2063
0.7060,0.7363,0.5198
0.6997,0.6683,0.4676
0.6729,0.5624,0.3785
0.4846,0.5290,0.2564
0.6743,0.6014,0.4055
0.7415,0.6058,0.4492
0.5906,0.5634,0.3328
0.6544,0.6374,0.4172
