faithfulness,naturalness,score
0.3249,0.4039,0.1312
0.3738,0.4607,0.1722
0.4432,0.3731,0.1654
0.5080,0.5195,0.2639
0.4657,0.4844,0.2256
0.4527,0.5101,0.2309
0.7061,0.5598,0.3953
0.6998,0.5511,0.3857
0.3966,0.5232,0.2075
0.6838,0.5606,0.3834
0.3589,0.4519,0.1622
0.6125,0.4619,0.2829
0.6793,0.5389,0.3661
0.5816,0.4920,0.2861
0.4549,0.4764,0.2167
0.3840,0.4931,0.1894
0.4452,0.3833,0.1707
0.3607,0.4682,0.1689
0.6923,0.5619,0.3890
0.7518,0.6009,0.4518
0.4968,0.4570,0.2270
0.6886,0.5553,0.3824
0.4364,0.4288,0.1871
0.3227,0.4134,0.1334
0.7165,0.5605,0.4016
0.8005,0.7069,0.5658
0.4185,0.4258,0.1782
0.7746,0.5790,0.4485
0.3468,0.4350,0.1508
0.5358,0.4555,0.2441
0.4543,0.4761,0.2163
0.6285,0.4321,0.2716
0.4680,0.4780,0.2237
0.5350,0.5131,0.2745
0.4941,0.5768,0.2850
0.5670,0.5580,0.3164
0.5748,0.4321,0.2484
0.5650,0.5782,0.3267
0.5115,0.4701,0.2405
0.5077,0.6055,0.3074
0.5578,0.5217,0.2910
0.5712,0.4138,0.2363
0.4826,0.5488,0.2648
0.5004,0.4885,0.2444
0.5071,0.4431,0.2247
0.5134,0.4255,0.2184
0.5831,0.4645,0.2708
0.6576,0.4702,0.3092
0.4931,0.5093,0.2511
0.6039,0.5102,0.3081
0.5828,0.5502,0.3206
0.4088,0.4761,0.1946
0.3333,0.4435,0.1478
0.4506,0.4144,0.1867
0.5548,0.4776,0.2650
0.7114,0.5248,0.3734
0.6249,0.4527,0.2829
0.4406,0.3779,0.1665
0.4029,0.5060,0.2039
0.5286,0.5254,0.2778
0.5225,0.5234,0.2734
0.5665,0.5272,0.2986
0.5843,0.5593,0.3268
0.4264,0.4112,0.1753
0.6455,0.4615,0.2979
0.5223,0.5020,0.2622
0.4050,0.4059,0.1644
0.3804,0.4914,0.1869
0.6417,0.5144,0.3301
0.5097,0.4773,0.2433
0.5902,0.5272,0.3112
0.4254,0.5229,0.2224
0.4713,0.5060,0.2385
0.4311,0.3989,0.1720
0.4495,0.5080,0.2284
0.4369,0.5069,0.2215
0.4766,0.4648,0.2215
0.5613,0.4073,0.2286
0.5913,0.6160,0.3642
0.3627,0.3729,0.1352
0.4155,0.5475,0.2275
0.4585,0.3917,0.1796
0.6891,0.4428,0.3051
0.5959,0.4090,0.2437
0.6218,0.4541,0.2823
0.5288,0.4506,0.2383
0.3500,0.5272,0.1845
0.6899,0.5134,0.3542
0.5528,0.4661,0.2577
0.4405,0.3612,0.1591
0.5328,0.4341,0.2313
0.3759,0.3266,0.1228
0.7085,0.5991,0.4245
0.4744,0.5215,0.2474
0.4643,0.4167,0.1935
0.6303,0.5259,0.3315
0.5042,0.4877,0.2459
0.6246,0.5270,0.3292
0.4118,0.4170,0.1717
0.3503,0.4049,0.1418
