faithfulness,naturalness,score
0.5997,0.5814,0.3487
0.6315,0.4820,0.3044
0.5932,0.6210,0.3684
0.5786,0.5638,0.3262
0.5711,0.5798,0.3312
0.6728,0.6155,0.4141
0.7167,0.6011,0.4308
0.6858,0.7214,0.4947
0.6666,0.6143,0.4095
0.5192,0.5782,0.3002
0.6388,0.6333,0.4046
0.7402,0.6473,0.4791
0.4704,0.6088,0.2864
0.6717,0.5854,0.3932
0.6981,0.6535,0.4562
0.7415,0.6508,0.4825
0.7566,0.7313,0.5533
0.6465,0.6251,0.4041
0.6684,0.5889,0.3936
0.6533,0.6915,0.4518
0.6446,0.6436,0.4148
0.6282,0.5646,0.3546
0.6428,0.6097,0.3919
0.5825,0.5702,0.3322
0.6230,0.5935,0.3698
0.6939,0.6722,0.4665
0.6482,0.6421,0.4163
0.6365,0.6319,0.4022
0.6352,0.6257,0.3975
0.6583,0.6229,0.4100
0.7140,0.6432,0.4592
0.5662,0.5218,0.2954
0.6119,0.5737,0.3511
0.7554,0.7141,0.5395
0.6220,0.5507,0.3425
0.6585,0.6403,0.4216
0.5615,0.5736,0.3221
0.7088,0.6555,0.4647
0.7455,0.6956,0.5186
0.6582,0.6058,0.3987
0.5212,0.5853,0.3051
0.6848,0.6481,0.4438
0.6873,0.5386,0.3702
0.7176,0.6319,0.4535
0.6500,0.6299,0.4094
0.6268,0.6052,0.3793
0.4648,0.6056,0.2815
0.5982,0.6095,0.3646
0.6943,0.6399,0.4442
0.5480,0.6191,0.3393
0.5022,0.6152,0.3089
0.6200,0.7041,0.4365
0.6052,0.5717,0.3460
0.6931,0.6260,0.4339
0.5305,0.4799,0.2546
0.4569,0.5410,0.2472
0.6815,0.6066,0.4134
0.6470,0.5739,0.3713
0.6634,0.6454,0.4282
0.7209,0.6342,0.4572
0.5610,0.6770,0.3798
0.6756,0.7011,0.4737
0.4677,0.5311,0.2484
0.6215,0.6472,0.4022
0.6423,0.6437,0.4135
0.5199,0.6110,0.3177
0.7592,0.6627,0.5032
0.6607,0.6934,0.4582
0.6941,0.6169,0.4282
0.6670,0.5949,0.3968
0.6880,0.6796,0.4675
0.5956,0.5121,0.3050
0.6774,0.6038,0.4090
0.6824,0.5975,0.4077
0.5753,0.4974,0.2862
0.6015,0.5700,0.3428
0.6526,0.6275,0.4095
0.6809,0.6328,0.4309
0.6483,0.5735,0.3718
0.6782,0.6915,0.4690
0.5574,0.4482,0.2498
0.5712,0.6289,0.3592
0.6219,0.6347,0.3947
0.5989,0.5854,0.3506
0.5912,0.5679,0.3357
0.6894,0.6416,0.4423
0.5605,0.5690,0.3189
0.6851,0.6495,0.4450
0.4523,0.4664,0.2109
0.6789,0.6361,0.4318
0.6861,0.6154,0.4222
0.7541,0.6619,0.4992
0.6426,0.6780,0.4357
0.5407,0.4958,0.2681
0.6079,0.5731,0.3484
0.5312,0.5698,0.3027
0.6809,0.6024,0.4102
0.5978,0.5071,0.3031
0.6624,0.6162,0.4082
0.6822,0.6514,0.4443
