faithfulness,naturalness,score
0.6540,0.5861,0.3833
0.7864,0.7250,0.5702
0.5390,0.5757,0.3103
0.4884,0.5778,0.2822
0.7069,0.7691,0.5436
0.7418,0.7402,0.5490
0.6214,0.6281,0.3903
0.7342,0.6903,0.5068
0.6576,0.6052,0.3980
0.6197,0.6247,0.3871
0.7360,0.7221,0.5315
0.6319,0.6928,0.4378
0.6439,0.6826,0.4395
0.4116,0.4886,0.2011
0.4179,0.5365,0.2242
0.5082,0.6100,0.3100
0.6721,0.6653,0.4472
0.5574,0.6725,0.3749
0.4586,0.5763,0.2643
0.5902,0.6348,0.3747
0.4675,0.6267,0.2930
0.4953,0.5674,0.2810
0.4599,0.5313,0.2443
0.5725,0.5626,0.3221
0.7218,0.7222,0.5213
0.4762,0.5667,0.2699
0.4803,0.5522,0.2653
0.6960,0.6943,0.4833
0.6837,0.6978,0.4771
0.6143,0.6659,0.4091
0.5953,0.6296,0.3748
0.5604,0.5668,0.3177
0.7032,0.7490,0.5267
0.4167,0.5080,0.2117
0.6046,0.6610,0.3996
0.6397,0.7186,0.4597
0.4582,0.4944,0.2265
0.5360,0.6438,0.3450
0.5676,0.6280,0.3565
0.5345,0.6057,0.3238
0.5203,0.5782,0.3008
0.5567,0.5769,0.3212
0.4599,0.5126,0.2358
0.6967,0.6825,0.4755
0.5095,0.6313,0.3216
0.6100,0.6628,0.4043
0.5749,0.6711,0.3858
0.4967,0.5673,0.2818
0.6172,0.6816,0.4206
0.4482,0.5227,0.2343
0.7737,0.7687,0.5947
0.4653,0.5749,0.2675
0.5049,0.5686,0.2871
0.5478,0.6700,0.3671
0.6403,0.6168,0.3949
0.4092,0.5335,0.2183
0.6424,0.6798,0.4367
0.4139,0.5037,0.2085
0.5231,0.6105,0.3193
0.5525,0.6625,0.3660
0.5156,0.5613,0.2894
0.4347,0.4619,0.2008
0.4723,0.4894,0.2311
0.4081,0.4914,0.2005
0.6939,0.6061,0.4206
0.4847,0.5467,0.2650
0.6131,0.6692,0.4103
0.6334,0.6786,0.4298
0.7130,0.7704,0.5493
0.5614,0.6968,0.3912
0.6820,0.6796,0.4634
0.7390,0.7018,0.5186
0.7525,0.7271,0.5471
0.5148,0.5920,0.3048
0.7773,0.7046,0.5476
0.5885,0.6910,0.4066
0.6039,0.6490,0.3919
0.4935,0.5654,0.2790
0.7183,0.7315,0.5255
0.4620,0.5056,0.2336
0.5323,0.5565,0.2963
0.7136,0.6895,0.4920
0.6044,0.6360,0.3844
0.4882,0.4839,0.2363
0.6576,0.7036,0.4627
0.6997,0.7642,0.5347
0.5345,0.6377,0.3409
0.5601,0.5078,0.2844
0.5915,0.6314,0.3735
0.4816,0.5689,0.2740
0.6627,0.5260,0.3486
0.5306,0.6065,0.3218
0.4858,0.5256,0.2554
0.5813,0.6064,0.3526
0.6019,0.5604,0.3373
0.4224,0.5177,0.2187
0.8143,0.7820,0.6368
0.6794,0.6331,0.4302
0.6485,0.6506,0.4219
0.5169,0.6002,0.3103
