faithfulness,naturalness,score
0.4953,0.6488,0.3213
0.4344,0.5769,0.2506
0.4168,0.6017,0.2508
0.5525,0.6663,0.3681
0.4605,0.5705,0.2627
0.5755,0.6831,0.3931
0.4520,0.6299,0.2847
0.5014,0.5890,0.2953
0.4491,0.6085,0.2732
0.4402,0.6136,0.2701
0.5485,0.6361,0.3489
0.4965,0.6458,0.3207
0.4241,0.6115,0.2593
0.4546,0.6206,0.2821
0.5798,0.6805,0.3945
0.4800,0.6397,0.3071
0.4624,0.5849,0.2705
0.3922,0.5707,0.2238
0.5793,0.6050,0.3504
0.4525,0.5047,0.2284
0.4431,0.5645,0.2501
0.5631,0.6371,0.3588
0.5129,0.5999,0.3077
0.4691,0.6287,0.2949
0.5515,0.5499,0.3032
0.4650,0.5489,0.2552
0.3854,0.5412,0.2086
0.4371,0.6109,0.2670
0.4791,0.5954,0.2852
0.4218,0.5571,0.2349
0.4315,0.6070,0.2619
0.5078,0.6265,0.3181
0.5157,0.6427,0.3314
0.5028,0.6696,0.3367
0.5329,0.6932,0.3694
0.4956,0.6409,0.3176
0.3813,0.6260,0.2387
0.4494,0.5837,0.2623
0.4387,0.5747,0.2521
0.5023,0.5931,0.2979
0.4807,0.5628,0.2705
0.3830,0.5639,0.2160
0.5072,0.5749,0.2916
0.4490,0.5983,0.2687
0.4494,0.6598,0.2965
0.5425,0.6015,0.3263
0.4107,0.6262,0.2572
0.4633,0.6172,0.2859
0.5462,0.6728,0.3675
0.4221,0.5527,0.2333
0.4810,0.5995,0.2884
0.5311,0.6274,0.3332
0.4104,0.5239,0.2150
0.4490,0.5309,0.2384
0.5190,0.6385,0.3314
0.5207,0.6394,0.3329
0.4284,0.6274,0.2688
0.5901,0.7238,0.4271
0.4436,0.5853,0.2596
0.4516,0.5735,0.2590
0.5371,0.6027,0.3237
0.5287,0.6489,0.3431
0.4725,0.6173,0.2916
0.4654,0.6204,0.2887
0.4745,0.6217,0.2950
0.4485,0.6244,0.2801
0.3972,0.5393,0.2142
0.4839,0.6023,0.2914
0.5707,0.6247,0.3565
0.5070,0.6044,0.3064
0.4555,0.5759,0.2623
0.4787,0.6502,0.3112
0.5795,0.6138,0.3557
0.4980,0.6296,0.3136
0.4955,0.6327,0.3135
0.4855,0.6356,0.3086
0.4641,0.6293,0.2920
0.5381,0.5084,0.2736
0.4987,0.6570,0.3276
0.4469,0.6210,0.2776
0.4702,0.6037,0.2839
0.5639,0.6814,0.3842
0.4536,0.6296,0.2856
0.3993,0.5437,0.2171
0.4135,0.6283,0.2598
0.3859,0.5489,0.2118
0.5134,0.6105,0.3134
0.5239,0.6676,0.3498
0.6432,0.6564,0.4222
0.5064,0.6815,0.3451
0.4421,0.5892,0.2605
0.5579,0.6635,0.3702
0.4006,0.5644,0.2261
0.5491,0.5631,0.3092
0.4696,0.6680,0.3137
0.5088,0.6887,0.3504
0.4415,0.5516,0.2436
0.5061,0.6766,0.3424
0.4161,0.5553,0.2311
0.4196,0.5913,0.2481
