faithfulness,naturalness,score
0.5884,0.5700,0.3354
0.4740,0.5129,0.2431
0.5225,0.6409,0.3349
0.4352,0.5583,0.2430
0.4776,0.5394,0.2576
0.4784,0.5648,0.2702
0.5262,0.5796,0.3050
0.4702,0.4741,0.2229
0.4654,0.6034,0.2808
0.4823,0.5488,0.2647
0.5707,0.5674,0.3238
0.4622,0.5191,0.2399
0.4530,0.5610,0.2541
0.4486,0.5848,0.2624
0.4962,0.5603,0.2780
0.4928,0.5724,0.2821
0.4522,0.5383,0.2434
0.4405,0.5721,0.2520
0.5556,0.5838,0.3244
0.4208,0.5325,0.2241
0.4505,0.5298,0.2387
0.3980,0.4942,0.1967
0.4138,0.5447,0.2254
0.4805,0.5671,0.2725
0.4513,0.5218,0.2355
0.5050,0.6087,0.3074
0.4821,0.4692,0.2262
0.5194,0.6194,0.3218
0.4753,0.5501,0.2615
0.4245,0.5737,0.2436
0.4795,0.6172,0.2959
0.5190,0.6123,0.3178
0.5135,0.6150,0.3158
0.5666,0.5929,0.3359
0.4996,0.4559,0.2277
0.5476,0.5911,0.3237
0.4644,0.5438,0.2526
0.5007,0.5408,0.2708
0.5369,0.5132,0.2755
0.4333,0.5092,0.2206
0.4509,0.5110,0.2304
0.4068,0.4197,0.1707
0.4910,0.5486,0.2693
0.4763,0.5849,0.2786
0.4371,0.4641,0.2029
0.5354,0.5706,0.3055
0.4320,0.4756,0.2054
0.5302,0.5286,0.2803
0.4447,0.5179,0.2303
0.4651,0.5949,0.2767
0.4099,0.4827,0.1979
0.5406,0.4754,0.2570
0.5249,0.5045,0.2648
0.4509,0.5567,0.2510
0.4392,0.5250,0.2306
0.4926,0.5090,0.2508
0.3972,0.5538,0.2199
0.4698,0.5653,0.2656
0.3776,0.4960,0.1873
0.4323,0.5917,0.2558
0.3805,0.5397,0.2054
0.5598,0.5938,0.3324
0.3851,0.5079,0.1956
0.4233,0.5666,0.2398
0.4742,0.5154,0.2444
0.4646,0.5559,0.2582
0.3727,0.5228,0.1949
0.4521,0.5462,0.2469
0.4592,0.5437,0.2497
0.4334,0.5586,0.2421
0.4546,0.5444,0.2475
0.5405,0.5705,0.3083
0.5301,0.5775,0.3061
0.4451,0.5448,0.2425
0.5532,0.6075,0.3361
0.5530,0.5927,0.3278
0.3844,0.4555,0.1751
0.4409,0.5680,0.2505
0.4957,0.5362,0.2658
0.4017,0.5691,0.2286
0.4170,0.5199,0.2168
0.4414,0.5372,0.2371
0.3963,0.5367,0.2127
0.5463,0.5236,0.2861
0.3850,0.5304,0.2042
0.4246,0.5852,0.2484
0.4817,0.5610,0.2702
0.4501,0.5702,0.2567
0.5169,0.5581,0.2885
0.5971,0.5010,0.2992
0.4181,0.5418,0.2265
0.5213,0.4064,0.2118
0.4157,0.5522,0.2295
0.4707,0.4374,0.2059
0.5102,0.5947,0.3034
0.4400,0.5243,0.2307
0.5040,0.5731,0.2888
0.4830,0.5915,0.2857
0.3720,0.5263,0.1958
0.4688,0.5450,0.2555
