faithfulness,naturalness,score
0.4473,0.5164,0.2310
0.4654,0.6020,0.2802
0.4280,0.5161,0.2209
0.4231,0.5792,0.2451
0.4846,0.5679,0.2752
0.4610,0.5557,0.2562
0.4186,0.4523,0.1893
0.4931,0.5701,0.2812
0.4157,0.5534,0.2300
0.5123,0.4609,0.2361
0.4588,0.4993,0.2291
0.4644,0.5596,0.2599
0.5100,0.5321,0.2714
0.4895,0.5201,0.2546
0.5003,0.5750,0.2877
0.5243,0.6074,0.3184
0.4063,0.5119,0.2080
0.5362,0.5258,0.2820
0.5161,0.5409,0.2792
0.5469,0.5963,0.3261
0.4700,0.4517,0.2123
0.4800,0.6130,0.2943
0.4920,0.5358,0.2636
0.5274,0.5787,0.3052
0.4263,0.5176,0.2206
0.4143,0.4801,0.1989
0.4584,0.5347,0.2451
0.5025,0.5610,0.2819
0.4316,0.5087,0.2196
0.4241,0.5148,0.2183
0.5096,0.5532,0.2819
0.4369,0.4920,0.2149
0.4604,0.5621,0.2588
0.4776,0.4635,0.2214
0.5434,0.5239,0.2847
0.4806,0.5197,0.2498
0.4298,0.5147,0.2212
0.4472,0.5129,0.2294
0.5269,0.4905,0.2584
0.4821,0.5761,0.2777
0.4463,0.5804,0.2590
0.4076,0.4998,0.2037
0.5026,0.5016,0.2521
0.3904,0.5230,0.2042
0.4424,0.5595,0.2475
0.4502,0.5276,0.2375
0.4616,0.4749,0.2192
0.5043,0.5384,0.2715
0.5025,0.5844,0.2936
0.4283,0.4965,0.2126
0.4012,0.5131,0.2059
0.4099,0.5290,0.2168
0.4927,0.5040,0.2483
0.4330,0.4729,0.2047
0.4999,0.5831,0.2915
0.3862,0.5188,0.2003
0.4711,0.5531,0.2606
0.4692,0.5252,0.2464
0.3899,0.4785,0.1866
0.5120,0.5679,0.2908
0.4409,0.5080,0.2240
0.4961,0.5415,0.2687
0.4450,0.5408,0.2407
0.4753,0.5340,0.2538
0.4047,0.4733,0.1915
0.3854,0.4881,0.1881
0.4596,0.5502,0.2529
0.4307,0.5776,0.2488
0.4281,0.5064,0.2168
0.4374,0.5788,0.2531
0.5219,0.5276,0.2754
0.4944,0.5937,0.2935
0.4586,0.5544,0.2543
0.4653,0.5248,0.2442
0.4844,0.5557,0.2692
0.5245,0.5769,0.3026
0.4731,0.5815,0.2751
0.4253,0.5977,0.2542
0.4635,0.5868,0.2720
0.4250,0.5255,0.2233
0.4645,0.5600,0.2602
0.4538,0.5155,0.2339
0.5858,0.6737,0.3947
0.5335,0.5449,0.2907
0.4528,0.4987,0.2258
0.5167,0.5505,0.2844
0.4627,0.6160,0.2851
0.5609,0.5963,0.3344
0.4664,0.5200,0.2425
0.4118,0.4896,0.2016
0.4457,0.5488,0.2446
0.4586,0.5611,0.2573
0.4484,0.5222,0.2342
0.4144,0.6029,0.2499
0.4041,0.5475,0.2213
0.4059,0.5057,0.2053
0.4120,0.4149,0.1710
0.4394,0.5445,0.2393
0.4706,0.5483,0.2580
0.4859,0.5224,0.2538
