faithfulness,naturalness,score
0.3084,0.4823,0.1487
0.3630,0.5847,0.2122
0.2851,0.4870,0.1389
0.2947,0.5848,0.1724
0.3840,0.5885,0.2260
0.3044,0.5056,0.1539
0.3328,0.4980,0.1657
0.3430,0.5028,0.1725
0.2813,0.4925,0.1385
0.4346,0.5565,0.2418
0.3441,0.5589,0.1923
0.3807,0.5439,0.2071
0.3538,0.5197,0.1839
0.3582,0.5493,0.1968
0.3102,0.5402,0.1676
0.3695,0.5562,0.2055
0.3558,0.5110,0.1818
0.3263,0.4868,0.1588
0.3185,0.5451,0.1736
0.3246,0.4850,0.1574
0.2800,0.5105,0.1429
0.3269,0.5651,0.1848
0.2616,0.4511,0.1180
0.2983,0.5139,0.1533
0.3736,0.5370,0.2006
0.2903,0.4746,0.1378
0.2661,0.4977,0.1324
0.2894,0.5232,0.1514
0.4390,0.6288,0.2760
0.4014,0.4390,0.1762
0.3515,0.4879,0.1715
0.3262,0.5693,0.1857
0.4348,0.5407,0.2351
0.3578,0.4707,0.1684
0.3546,0.5579,0.1978
0.3602,0.5618,0.2023
0.2706,0.4432,0.1199
0.3417,0.5435,0.1857
0.3230,0.5295,0.1710
0.2853,0.5425,0.1548
0.2810,0.5412,0.1521
0.5418,0.6176,0.3346
0.3920,0.5288,0.2073
0.3361,0.5399,0.1814
0.3051,0.5285,0.1612
0.2953,0.4992,0.1474
0.3270,0.5670,0.1854
0.3017,0.5129,0.1547
0.3221,0.5101,0.1643
0.3016,0.4948,0.1493
0.2897,0.5176,0.1499
0.3257,0.5989,0.1951
0.3658,0.5164,0.1889
0.4476,0.6284,0.2813
0.3040,0.4744,0.1442
0.3969,0.4685,0.1859
0.3350,0.4915,0.1646
0.3411,0.5000,0.1706
0.2910,0.5111,0.1487
0.3635,0.5048,0.1835
0.5581,0.5219,0.2913
0.3085,0.5072,0.1565
0.2952,0.4981,0.1470
0.3643,0.5357,0.1951
0.3487,0.5301,0.1848
0.2937,0.5156,0.1514
0.4546,0.5087,0.2313
0.3452,0.5386,0.1859
0.3584,0.5030,0.1803
0.3197,0.5457,0.1745
0.3533,0.4761,0.1682
0.3556,0.4970,0.1768
0.3321,0.5067,0.1682
0.3201,0.5095,0.1631
0.3017,0.4641,0.1400
0.2803,0.5098,0.1429
0.4352,0.6169,0.2685
0.4628,0.4690,0.2170
0.3404,0.5228,0.1779
0.3834,0.5259,0.2016
0.3152,0.5322,0.1678
0.3297,0.4737,0.1562
0.3318,0.5234,0.1737
0.3478,0.4946,0.1720
0.3832,0.5696,0.2183
0.3227,0.5116,0.1651
0.2970,0.5109,0.1517
0.3393,0.5362,0.1819
0.2866,0.4632,0.1327
0.4002,0.5107,0.2044
0.4412,0.5658,0.2496
0.3355,0.5153,0.1729
0.3344,0.5816,0.1945
0.5424,0.5112,0.2772
0.3011,0.5048,0.1520
0.3241,0.5323,0.1725
0.3062,0.5014,0.1535
0.3366,0.5080,0.1710
0.2963,0.5472,0.1621
0.5543,0.5193,0.2878
