faithfulness,naturalness,score
0.8371,0.6646,0.5563
0.7863,0.6041,0.4750
0.7811,0.5979,0.4670
0.8809,0.7397,0.6516
0.8000,0.7331,0.5865
0.8380,0.6372,0.5339
0.7912,0.6426,0.5084
0.8548,0.6590,0.5633
0.8834,0.7743,0.6840
0.7945,0.6409,0.5092
0.8405,0.6821,0.5733
0.8061,0.5915,0.4768
0.8828,0.7053,0.6226
0.8567,0.7074,0.6060
0.8511,0.6883,0.5858
0.8402,0.6812,0.5724
0.8298,0.6582,0.5462
0.7606,0.6034,0.4589
0.7300,0.5921,0.4322
0.9142,0.7809,0.7139
0.7341,0.6099,0.4477
0.6814,0.6047,0.4120
0.8234,0.6419,0.5286
0.7878,0.5936,0.4676
0.8358,0.6635,0.5545
0.8333,0.7016,0.5846
0.8691,0.6766,0.5880
0.8475,0.7336,0.6217
0.8033,0.6417,0.5154
0.7677,0.5653,0.4340
0.8621,0.7299,0.6292
0.8539,0.7099,0.6062
0.8575,0.7261,0.6226
0.7901,0.6090,0.4812
0.7978,0.6691,0.5338
0.8411,0.6637,0.5583
0.8102,0.6662,0.5398
0.8155,0.6595,0.5378
0.7448,0.5796,0.4317
0.9114,0.7542,0.6874
0.7851,0.5978,0.4693
0.7621,0.5768,0.4396
0.8207,0.6449,0.5293
0.8303,0.7252,0.6021
0.8395,0.6901,0.5793
0.8942,0.6951,0.6215
0.7485,0.6147,0.4601
0.8123,0.6704,0.5446
0.7923,0.6520,0.5165
0.7921,0.6170,0.4887
0.7938,0.6870,0.5453
0.8406,0.7102,0.5970
0.7684,0.6303,0.4843
0.8006,0.5895,0.4720
0.8387,0.6482,0.5437
0.9110,0.7828,0.7131
0.8141,0.5944,0.4839
0.8015,0.6270,0.5025
0.8844,0.6991,0.6183
0.8398,0.6697,0.5624
0.8223,0.6306,0.5186
0.8218,0.7224,0.5936
0.8213,0.6914,0.5678
0.7530,0.6092,0.4587
0.9064,0.7523,0.6819
0.7836,0.6057,0.4746
0.8353,0.6465,0.5400
0.8447,0.6987,0.5902
0.8022,0.6515,0.5227
0.8193,0.6780,0.5555
0.9387,0.7542,0.7080
0.8117,0.6861,0.5569
0.7826,0.6268,0.4905
0.8227,0.6159,0.5067
0.8682,0.6918,0.6006
0.7774,0.6287,0.4887
0.8546,0.7535,0.6439
0.7859,0.6263,0.4922
0.8875,0.7122,0.6321
0.7952,0.6481,0.5154
0.8126,0.7143,0.5805
0.8260,0.6915,0.5712
0.8187,0.6615,0.5416
0.8245,0.6938,0.5720
0.7865,0.5729,0.4506
0.8827,0.7200,0.6355
0.8146,0.6297,0.5130
0.8460,0.7319,0.6191
0.7743,0.5855,0.4534
0.7623,0.5945,0.4532
0.7944,0.6938,0.5512
0.7659,0.6006,0.4600
0.8558,0.6544,0.5600
0.7817,0.6899,0.5393
0.8267,0.6306,0.5213
0.8787,0.7318,0.6430
0.8311,0.7585,0.6304
0.7505,0.6505,0.4882
0.8119,0.6784,0.5508
0.7436,0.6038,0.4490
