faithfulness,naturalness,score
0.4645,0.4551,0.2114
0.3952,0.5139,0.2031
0.6021,0.5937,0.3575
0.3968,0.5312,0.2108
0.5822,0.4563,0.2656
0.5715,0.4027,0.2302
0.4496,0.4444,0.1998
0.4720,0.4578,0.2161
0.5585,0.4416,0.2467
0.4050,0.5951,0.2410
0.6070,0.5615,0.3409
0.6092,0.5054,0.3079
0.5069,0.5265,0.2669
0.4253,0.4900,0.2084
0.5711,0.4870,0.2781
0.5259,0.6066,0.3190
0.5613,0.5672,0.3184
0.4961,0.3922,0.1946
0.5978,0.5220,0.3120
0.5631,0.5589,0.3147
0.5711,0.4576,0.2613
0.4495,0.3665,0.1648
0.4297,0.4934,0.2120
0.4421,0.4673,0.2066
0.4485,0.4471,0.2005
0.7527,0.6157,0.4635
0.5383,0.5388,0.2900
0.5328,0.4398,0.2343
0.4732,0.4241,0.2007
0.5569,0.5714,0.3182
0.5000,0.5103,0.2551
0.4432,0.6135,0.2719
0.4150,0.4539,0.1884
0.3617,0.4386,0.1587
0.4551,0.5160,0.2348
0.3947,0.5210,0.2057
0.5647,0.5059,0.2857
0.3811,0.4505,0.1717
0.5747,0.5746,0.3303
0.4819,0.6090,0.2935
0.4980,0.6069,0.3022
0.5063,0.5204,0.2635
0.4478,0.3501,0.1568
0.4211,0.4900,0.2063
0.4598,0.6458,0.2969
0.4603,0.5222,0.2404
0.4257,0.5423,0.2308
0.4559,0.6707,0.3057
0.3998,0.3990,0.1595
0.5234,0.4733,0.2477
0.5434,0.4520,0.2456
0.5446,0.5001,0.2723
0.4563,0.5405,0.2466
0.4765,0.4689,0.2234
0.3997,0.4873,0.1948
0.4763,0.4780,0.2276
0.4939,0.4094,0.2022
0.4211,0.5452,0.2296
0.5275,0.4485,0.2366
0.3997,0.4073,0.1628
0.5549,0.6222,0.3452
0.3811,0.4756,0.1813
0.3891,0.5669,0.2206
0.3908,0.5888,0.2301
0.4910,0.5111,0.2509
0.6167,0.5351,0.3300
0.4938,0.4819,0.2380
0.5035,0.4404,0.2218
0.4449,0.3856,0.1715
0.6421,0.5364,0.3444
0.4833,0.5577,0.2695
0.5078,0.6005,0.3049
0.4168,0.3571,0.1488
0.4084,0.4081,0.1667
0.5808,0.3968,0.2305
0.4497,0.5737,0.2580
0.4645,0.6119,0.2843
0.3301,0.5048,0.1666
0.4958,0.4071,0.2019
0.4014,0.6554,0.2630
0.4381,0.5204,0.2280
0.4754,0.4689,0.2229
0.3643,0.5242,0.1909
0.4659,0.4751,0.2214
0.4182,0.6010,0.2514
0.5585,0.5143,0.2872
0.5559,0.4899,0.2723
0.5665,0.5680,0.3218
0.4228,0.5105,0.2158
0.4569,0.4570,0.2088
0.5837,0.5955,0.3475
0.5214,0.6407,0.3341
0.5198,0.4214,0.2191
0.4186,0.5268,0.2205
0.6062,0.5932,0.3596
0.4266,0.3926,0.1675
0.5758,0.5143,0.2961
0.5043,0.3611,0.1821
0.6048,0.5633,0.3407
0.4436,0.5040,0.2236
