faithfulness,naturalness,score
0.4670,0.5587,0.2609
0.5552,0.6355,0.3528
0.4234,0.6106,0.2585
0.4732,0.6188,0.2928
0.4688,0.5944,0.2786
0.5158,0.6999,0.3610
0.4570,0.6114,0.2794
0.4020,0.5628,0.2263
0.6209,0.6995,0.4343
0.4461,0.7805,0.3482
0.2712,0.4151,0.1126
0.4698,0.5886,0.2765
0.3755,0.5777,0.2170
0.4567,0.6127,0.2798
0.7402,0.6990,0.5174
0.4921,0.6221,0.3061
0.3886,0.5050,0.1963
0.4301,0.5593,0.2406
0.4758,0.5497,0.2615
0.4680,0.5669,0.2653
0.3381,0.4811,0.1627
0.3805,0.6118,0.2328
0.4262,0.5718,0.2437
0.5708,0.6576,0.3753
0.3704,0.4936,0.1829
0.5278,0.6898,0.3641
0.5454,0.6481,0.3535
0.4745,0.5901,0.2800
0.5307,0.5981,0.3174
0.4110,0.5805,0.2386
0.4992,0.6923,0.3456
0.5327,0.6539,0.3483
0.3789,0.4799,0.1818
0.4345,0.6037,0.2623
0.3618,0.5315,0.1923
0.4200,0.5905,0.2480
0.4454,0.6039,0.2689
0.4193,0.5473,0.2295
0.5461,0.7991,0.4364
0.4616,0.5742,0.2651
0.4337,0.6537,0.2835
0.5480,0.6460,0.3540
0.5295,0.5878,0.3113
0.4230,0.5414,0.2290
0.4353,0.6184,0.2692
0.3511,0.4247,0.1491
0.5097,0.6704,0.3417
0.4120,0.5016,0.2066
0.4993,0.6295,0.3143
0.3021,0.6189,0.1869
0.5526,0.7068,0.3906
0.3816,0.5780,0.2206
0.4537,0.6267,0.2843
0.4793,0.5634,0.2701
0.4747,0.6575,0.3121
0.3775,0.6063,0.2288
0.4333,0.5868,0.2542
0.5468,0.5771,0.3156
0.4703,0.5164,0.2428
0.5121,0.5380,0.2755
0.4091,0.5693,0.2329
0.4640,0.5397,0.2505
0.4926,0.6891,0.3395
0.5358,0.5880,0.3151
0.4375,0.5852,0.2560
0.5447,0.6659,0.3627
0.4996,0.6913,0.3454
0.4689,0.5468,0.2564
0.4960,0.6474,0.3211
0.5314,0.5590,0.2970
0.5378,0.7118,0.3828
0.4101,0.6148,0.2521
0.6179,0.7223,0.4463
0.4706,0.6491,0.3055
0.4428,0.5294,0.2344
0.5823,0.5971,0.3477
0.3695,0.5165,0.1908
0.3795,0.5716,0.2169
0.4605,0.5811,0.2676
0.4734,0.6558,0.3105
0.4821,0.5275,0.2543
0.4505,0.5996,0.2701
0.3792,0.5134,0.1947
0.5224,0.6283,0.3283
0.4917,0.5182,0.2548
0.4270,0.5212,0.2226
0.4457,0.6121,0.2728
0.4028,0.5844,0.2354
0.4037,0.5816,0.2348
0.6054,0.7169,0.4340
0.5947,0.6094,0.3624
0.6568,0.7206,0.4733
0.4505,0.5757,0.2593
0.4640,0.5854,0.2717
0.4516,0.6526,0.2947
0.5062,0.6576,0.3328
0.3662,0.6205,0.2273
0.4221,0.6194,0.2615
0.4509,0.6115,0.2757
0.5219,0.7718,0.4028
