faithfulness,naturalness,score
0.4763,0.4102,0.1954
0.4058,0.5171,0.2099
0.3271,0.4034,0.1319
0.5749,0.4832,0.2778
0.6065,0.5488,0.3329
0.5762,0.5085,0.2930
0.3534,0.4501,0.1591
0.5498,0.4134,0.2273
0.5264,0.4805,0.2530
0.4255,0.4414,0.1878
0.4418,0.4602,0.2033
0.5932,0.5711,0.3387
0.3790,0.4222,0.1600
0.3745,0.4572,0.1712
0.4765,0.4545,0.2165
0.4275,0.5038,0.2153
0.4107,0.5272,0.2166
0.4240,0.5461,0.2316
0.3530,0.3946,0.1393
0.4943,0.5802,0.2868
0.3861,0.5020,0.1938
0.5505,0.5793,0.3189
0.6561,0.5139,0.3371
0.4835,0.4467,0.2160
0.4451,0.5077,0.2260
0.4575,0.5379,0.2461
0.4048,0.4737,0.1918
0.3064,0.4132,0.1266
0.3604,0.3863,0.1392
0.3187,0.3451,0.1100
0.5912,0.6435,0.3805
0.5687,0.4706,0.2676
0.5621,0.5000,0.2811
0.4229,0.4764,0.2014
0.3028,0.3997,0.1210
0.3550,0.4669,0.1658
0.3905,0.4145,0.1618
0.4665,0.5018,0.2341
0.4720,0.4999,0.2359
0.5417,0.5371,0.2910
0.4534,0.5236,0.2374
0.3278,0.4421,0.1449
0.6006,0.6442,0.3869
0.3289,0.4724,0.1553
0.4519,0.4816,0.2177
0.2791,0.3489,0.0974
0.5076,0.4525,0.2297
0.4601,0.4119,0.1895
0.3883,0.3579,0.1390
0.5136,0.4763,0.2446
0.6234,0.5538,0.3452
0.4040,0.4457,0.1801
0.5084,0.4912,0.2498
0.4598,0.5418,0.2491
0.4752,0.4671,0.2220
0.4318,0.3530,0.1524
0.6453,0.5851,0.3776
0.4937,0.4973,0.2455
0.6098,0.6356,0.3876
0.2917,0.4381,0.1278
0.4836,0.5028,0.2431
0.4517,0.4513,0.2038
0.4251,0.5225,0.2221
0.3626,0.3641,0.1320
0.3659,0.4538,0.1661
0.4482,0.4502,0.2018
0.4952,0.5206,0.2578
0.6423,0.4645,0.2983
0.7703,0.5699,0.4390
0.3767,0.4015,0.1512
0.6213,0.6047,0.3757
0.5566,0.6219,0.3461
0.3377,0.4615,0.1559
0.6227,0.5371,0.3344
0.3508,0.4594,0.1611
0.4536,0.5200,0.2359
0.6539,0.5498,0.3595
0.4716,0.4825,0.2276
0.4731,0.5210,0.2465
0.4166,0.4564,0.1901
0.3847,0.5061,0.1947
0.3786,0.5119,0.1938
0.5243,0.6878,0.3606
0.4923,0.5215,0.2568
0.4980,0.4961,0.2470
0.4973,0.5120,0.2547
0.4871,0.5683,0.2769
0.5279,0.5158,0.2723
0.4017,0.4837,0.1943
0.5551,0.5533,0.3071
0.6706,0.5095,0.3417
0.5269,0.5220,0.2750
0.4714,0.4793,0.2260
0.3755,0.4742,0.1781
0.6258,0.5337,0.3340
0.4595,0.4672,0.2147
0.5875,0.4683,0.2751
0.3615,0.4682,0.1693
0.4630,0.4952,0.2293
0.5443,0.5656,0.3078
