faithfulness,naturalness,score
0.4419,0.4879,0.2156
0.4114,0.4628,0.1904
0.5316,0.5438,0.2891
0.4645,0.5290,0.2457
0.5477,0.6125,0.3355
0.5954,0.6458,0.3845
0.3982,0.4823,0.1921
0.4474,0.5377,0.2406
0.5153,0.5644,0.2908
0.4192,0.5414,0.2269
0.6054,0.4997,0.3025
0.6930,0.6498,0.4503
0.6488,0.6361,0.4127
0.4399,0.5057,0.2225
0.4939,0.5238,0.2587
0.4203,0.5048,0.2122
0.4778,0.5982,0.2858
0.5102,0.4242,0.2165
0.5601,0.5268,0.2950
0.5162,0.5453,0.2815
0.3376,0.4691,0.1584
0.5053,0.5071,0.2563
0.3569,0.5495,0.1961
0.6552,0.6066,0.3974
0.5534,0.4397,0.2434
0.5614,0.5057,0.2839
0.3952,0.5052,0.1996
0.3841,0.5121,0.1967
0.5742,0.5595,0.3213
0.7312,0.6475,0.4735
0.5209,0.5005,0.2607
0.4468,0.5226,0.2335
0.5455,0.5680,0.3099
0.4000,0.4588,0.1835
0.4098,0.5330,0.2184
0.4569,0.4799,0.2193
0.4486,0.5750,0.2580
0.4392,0.5758,0.2529
0.4700,0.4357,0.2048
0.5145,0.5536,0.2848
0.7139,0.7153,0.5107
0.5313,0.6092,0.3237
0.5150,0.5406,0.2784
0.5959,0.4910,0.2926
0.4380,0.5439,0.2382
0.5108,0.6015,0.3073
0.3695,0.4916,0.1816
0.4559,0.4600,0.2097
0.4156,0.5454,0.2266
0.5525,0.5779,0.3193
0.4515,0.4931,0.2227
0.4283,0.5372,0.2301
0.6267,0.5887,0.3689
0.5274,0.6335,0.3341
0.5694,0.6391,0.3639
0.5136,0.4960,0.2547
0.4309,0.5157,0.2222
0.6300,0.6388,0.4024
0.7075,0.5721,0.4047
0.4539,0.4994,0.2267
0.4975,0.6016,0.2993
0.3612,0.4121,0.1488
0.4009,0.4547,0.1823
0.3158,0.4750,0.1500
0.4378,0.5534,0.2423
0.4102,0.5611,0.2301
0.4907,0.5059,0.2482
0.4579,0.4625,0.2118
0.6131,0.5701,0.3496
0.4041,0.5005,0.2023
0.4193,0.6498,0.2725
0.4107,0.5758,0.2365
0.5702,0.5827,0.3322
0.6430,0.6274,0.4034
0.4058,0.5448,0.2210
0.7097,0.6232,0.4423
0.5300,0.4416,0.2340
0.4242,0.4637,0.1967
0.4433,0.6062,0.2687
0.4976,0.6387,0.3178
0.3947,0.4327,0.1708
0.4840,0.5843,0.2828
0.3319,0.5416,0.1797
0.5431,0.5707,0.3099
0.4961,0.4665,0.2314
0.4079,0.5440,0.2219
0.3817,0.4744,0.1811
0.4545,0.6023,0.2737
0.4989,0.5007,0.2498
0.3561,0.5372,0.1913
0.4569,0.5300,0.2422
0.4057,0.4952,0.2009
0.5813,0.5643,0.3281
0.5917,0.5932,0.3510
0.2875,0.5083,0.1461
0.5056,0.4770,0.2412
0.5190,0.6246,0.3242
0.4596,0.6499,0.2987
0.5612,0.5809,0.3260
0.4667,0.5898,0.2753
