faithfulness,naturalness,score
0.8115,0.5932,0.4814
0.7550,0.5875,0.4436
0.7923,0.5931,0.4699
0.8184,0.5894,0.4824
0.8335,0.6824,0.5687
0.7679,0.5620,0.4315
0.7921,0.6096,0.4828
0.7402,0.5294,0.3919
0.7449,0.5576,0.4154
0.8220,0.6268,0.5152
0.7694,0.5972,0.4595
0.7639,0.5510,0.4209
0.7911,0.5870,0.4643
0.7902,0.6651,0.5255
0.8388,0.6830,0.5729
0.8273,0.6360,0.5261
0.7808,0.6190,0.4833
0.8277,0.6569,0.5437
0.7947,0.6650,0.5285
0.7727,0.6149,0.4751
0.7453,0.5501,0.4100
0.7773,0.6245,0.4854
0.8114,0.5802,0.4708
0.7941,0.5802,0.4607
0.7992,0.6263,0.5005
0.8163,0.6792,0.5544
0.8059,0.6124,0.4935
0.8419,0.6037,0.5082
0.7823,0.5493,0.4298
0.7320,0.5607,0.4105
0.7544,0.6191,0.4670
0.7798,0.6193,0.4829
0.7976,0.6119,0.4881
0.7574,0.5167,0.3913
0.7912,0.6130,0.4850
0.8062,0.6076,0.4899
0.7721,0.5338,0.4121
0.7777,0.5399,0.4199
0.7695,0.5482,0.4218
0.7714,0.6364,0.4910
0.8707,0.7178,0.6251
0.7700,0.5993,0.4614
0.7742,0.5940,0.4599
0.7880,0.6676,0.5260
0.7942,0.6144,0.4880
0.8559,0.6161,0.5273
0.7764,0.6736,0.5229
0.8131,0.6890,0.5603
0.7905,0.6240,0.4933
0.7808,0.6132,0.4788
0.7736,0.6004,0.4645
0.8494,0.7022,0.5964
0.8257,0.6412,0.5295
0.7730,0.5586,0.4319
0.7018,0.4708,0.3304
0.7751,0.6241,0.4837
0.8244,0.6150,0.5070
0.7546,0.5929,0.4474
0.7183,0.6024,0.4327
0.7973,0.5919,0.4719
0.7425,0.5753,0.4272
0.8765,0.6985,0.6123
0.7699,0.6124,0.4715
0.7580,0.6011,0.4556
0.8033,0.5604,0.4501
0.8128,0.6177,0.5021
0.8220,0.6157,0.5061
0.7430,0.5554,0.4127
0.7307,0.5972,0.4363
0.8423,0.6517,0.5489
0.7587,0.6110,0.4636
0.8322,0.7082,0.5894
0.7556,0.5773,0.4362
0.7847,0.5854,0.4594
0.8114,0.6863,0.5569
0.7507,0.5681,0.4264
0.7745,0.6056,0.4690
0.8021,0.6148,0.4931
0.7784,0.5177,0.4030
0.8241,0.6744,0.5558
0.7610,0.6154,0.4683
0.7910,0.6242,0.4937
0.8183,0.6583,0.5386
0.7857,0.5824,0.4576
0.8245,0.7020,0.5788
0.7951,0.5682,0.4517
0.7889,0.5806,0.4580
0.7932,0.5732,0.4546
0.7950,0.5822,0.4629
0.7838,0.5911,0.4633
0.7849,0.6126,0.4808
0.7734,0.6115,0.4730
0.7019,0.5646,0.3963
0.7504,0.6249,0.4689
0.6956,0.5265,0.3662
0.8369,0.6554,0.5485
0.7016,0.5270,0.3697
0.8038,0.6002,0.4825
0.8158,0.6043,0.4930
0.8643,0.6350,0.5488
