faithfulness,naturalness,score
0.3960,0.5495,0.2176
0.6779,0.6478,0.4392
0.6644,0.5486,0.3645
0.6842,0.5856,0.4007
0.7060,0.6029,0.4256
0.7451,0.6363,0.4741
0.7292,0.6225,0.4539
0.7185,0.6865,0.4933
0.5854,0.5034,0.2947
0.7058,0.5895,0.4161
0.5422,0.6747,0.3658
0.6785,0.5507,0.3737
0.4081,0.5779,0.2358
0.7778,0.6654,0.5176
0.6240,0.5719,0.3568
0.7420,0.6573,0.4877
0.7974,0.7368,0.5875
0.3910,0.5227,0.2044
0.6642,0.5697,0.3784
0.4835,0.6328,0.3059
0.6704,0.5157,0.3457
0.6787,0.5273,0.3579
0.6862,0.6174,0.4237
0.7398,0.6770,0.5008
0.6435,0.5648,0.3634
0.6252,0.4765,0.2979
0.4977,0.5426,0.2701
0.3862,0.5400,0.2085
0.5884,0.5771,0.3395
0.6057,0.5499,0.3330
0.7590,0.6874,0.5217
0.7185,0.5667,0.4071
0.4286,0.5232,0.2242
0.4897,0.5949,0.2913
0.7296,0.6162,0.4496
0.7283,0.5987,0.4360
0.7758,0.6800,0.5276
0.7643,0.6864,0.5246
0.6472,0.5768,0.3733
0.6340,0.5284,0.3350
0.7502,0.6309,0.4733
0.6008,0.5317,0.3194
0.6841,0.5213,0.3566
0.6735,0.5887,0.3965
0.7491,0.6710,0.5027
0.7419,0.6677,0.4954
0.4501,0.6055,0.2725
0.5519,0.5392,0.2976
0.7726,0.6945,0.5365
0.4655,0.6265,0.2916
0.3670,0.4719,0.1732
0.5161,0.6348,0.3276
0.5993,0.6129,0.3673
0.6655,0.6428,0.4278
0.4903,0.4657,0.2283
0.4176,0.5519,0.2305
0.7129,0.6291,0.4485
0.7019,0.6461,0.4535
0.6864,0.6743,0.4629
0.7435,0.6691,0.4975
0.6221,0.6607,0.4110
0.7853,0.6773,0.5319
0.5666,0.5017,0.2843
0.6679,0.5804,0.3877
0.6949,0.7039,0.4892
0.4738,0.5072,0.2403
0.7409,0.6435,0.4768
0.4163,0.4562,0.1899
0.5097,0.6067,0.3092
0.7183,0.5515,0.3961
0.6960,0.6601,0.4594
0.7058,0.6121,0.4320
0.7601,0.6562,0.4988
0.7053,0.6096,0.4299
0.6925,0.6069,0.4203
0.6212,0.5586,0.3470
0.7654,0.6283,0.4809
0.6391,0.5485,0.3505
0.3698,0.4247,0.1571
0.6869,0.6122,0.4205
0.7732,0.7208,0.5573
0.7687,0.6892,0.5298
0.5091,0.5859,0.2983
0.6245,0.5757,0.3596
0.6218,0.5295,0.3292
0.7091,0.6360,0.4510
0.5305,0.5762,0.3056
0.5892,0.5135,0.3026
0.6165,0.4778,0.2946
0.7224,0.6270,0.4529
0.7317,0.6341,0.4640
0.7533,0.6064,0.4568
0.6392,0.5547,0.3546
0.3607,0.4513,0.1628
0.6572,0.5467,0.3593
0.6983,0.5710,0.3987
0.6777,0.5494,0.3723
0.7901,0.6977,0.5513
0.4703,0.6045,0.2843
0.7230,0.6198,0.4481
